gene_short_name,V515-06187-A1,17-00109-8_S14Aligned_cufflinks,TNT-271,TNT-192,TNT-272,TNT-3,TNT-41,TNT-326,17-00107-9_S10Aligned_cufflinks,TNT-299,TNT-234
PLEKHB1,14.583,0.0,1.52853,0.0,4.17103,0.0,3.4508900000000002,0.0,0.0,2.5600099999999997,1.4164299999999999
PMAIP1,1.6239299999999999,0.0,3.5981099999999997,0.0,6.874969999999999,2.36542,3.41365,0.752031,0.0,4.82886,0.687533
PSMB9,0.0,0.0,11.5524,9.184460000000001,9.40904,8.96825,19.2126,4.83253,0.0,5.5591,26.4592
PTGDS,1.49063,15.7746,4.04427,5.05302,0.752749,3.9356,1.31059,0.0,6.37324,2.39453,7.37632
RARRES3,10.7933,4.0892800000000005,18.4448,28.6045,20.9999,0.382705,9.089089999999999,5.39538,12.6041,7.0246699999999995,10.8688
RTP4,0.772275,0.0,4.43542,2.39055,0.749472,1.10019,6.97178,1.81004,0.803098,3.77599,3.08606
S100A1,196.638,0.0,3.9719900000000004,0.0,6.65775,1.16293,15.2162,3.6356699999999997,0.0,32.7335,3.24423
S100A7,6.579160000000001,800.868,0.183064,48.571999999999996,239.183,0.0,0.0,0.0,6.51391,7.09766,0.49355299999999996
S100A8,3.4999599999999997,356.125,1.17487,11.6298,259.716,0.998749,2.234,2.63903,27.7981,24.8919,1.2311299999999998
SCRG1,23.221999999999998,0.0,12.0128,0.0,1.5624,0.417468,5.2875,1.8769799999999999,0.0,35.6581,0.0346114
SEMA3C,89.189,84.3966,5.74939,76.66199999999999,33.857,11.8076,23.3876,27.273000000000003,63.9728,37.7756,23.6758
SERHL2,5.02658,0.0,7.25241,195.24099999999999,2.1636900000000003,3.5335699999999997,3.43356,0.0,1.83139,0.5387390000000001,3.8201099999999997
SFRP1,35.3095,4.28439,14.8229,23.7525,6.14424,0.159813,38.3568,10.1147,1.20859,11.8774,15.3514
SIDT1,0.9090090000000001,1.8106900000000001,10.5153,5.42047,1.06168,0.0,1.50153,3.11273,24.0965,2.94446,6.04401
SOX10,3.84721,0.0,0.8560700000000001,0.141943,1.368,0.0,1.1078299999999999,0.241657,0.0,2.03024,3.83049
SPDEF,0.141878,0.7903680000000001,1.04728,2.99063,0.026523900000000003,0.0,0.0,0.0,0.0,0.868376,0.0
SPRR1B,0.09447810000000001,408.35400000000004,0.0,0.0,0.0,0.0,0.0,0.0,7.9079,0.278642,0.523364
SPTLC2,28.7351,11.6443,37.9832,92.5973,34.3879,34.0779,40.6695,19.0873,20.6055,26.9449,49.8823
SRPX,12.4869,6.32479,2.86267,12.4008,1.3637,5.38411,9.47686,2.1743900000000003,9.574110000000001,2.8907,3.09636
TCF7L1,11.751,8.40343,16.9241,4.49596,36.1423,3.12443,44.3834,27.8505,5.48526,10.5965,29.2323
TFAP2B,1.18026,3.19162,3.51015,30.4718,0.162396,0.0,0.41227600000000003,9.64635,0.202828,2.20139,0.651673
THBS4,8.67223,1.54847,10.0297,94.5627,5.2676300000000005,0.079968,16.1641,1.19803,33.2562,8.9721,5.82503
TNFAIP8,5.97248,24.3064,31.349,26.2559,15.1367,20.1621,13.7256,29.3606,5.88908,8.407010000000001,48.2796
TNFSF10,24.8142,17.6515,24.6704,58.4692,22.141,5.4336400000000005,115.984,37.3773,27.9843,8.92687,21.3954
TRIM68,7.67148,0.409947,4.6321,6.42502,3.4083900000000003,2.86079,4.9053,0.822314,7.91414,1.65405,5.37981
TSC22D3,7.24202,6.559939999999999,10.3469,3.23766,8.29544,3.62291,15.5388,1.96725,13.8724,13.1949,16.2892
UBD,0.0,0.319009,10.8372,6.694189999999999,130.505,1.89398,9.98192,2.44506,0.0,2.67944,21.5359
UGT2B28,0.0,0.0,9.48852,118.359,0.09635139999999999,0.0416066,0.0847062,0.0,0.0,6.18025,0.0461205
XBP1,26.3139,34.5791,22.5333,91.6678,51.9931,43.9749,23.1296,99.6604,20.5809,22.8505,60.5242
ZCCHC24,0.75321,0.781416,0.361983,0.06784739999999999,0.159236,1.21215,0.70298,0.015883,1.1772,0.17440899999999998,1.3421
