gene_short_name,V515-06187-A1,TNT-4,TNT-1,TNT-223,17-00280-7_S4Aligned_cufflinks,TNT-105,17-00163-6_S7Aligned_cufflinks,TNT-65,TNT-8,17-00111-2_S4_cufflinks,TNT-282
RARRES3,10.7933,36.1807,214.764,5.725569999999999,45.1096,0.474576,2.74916,0.96754,8.06708,24.2394,101.685
RTP4,0.772275,0.0,1.68055,0.0,3.0403599999999997,3.08054,2.11816,0.0,2.07602,1.49429,6.157769999999999
S100A1,196.638,0.0,0.0,11.2886,1.5461799999999999,1.14229,210.674,0.0,31.9064,12.5874,1.77668
S100A7,6.579160000000001,138.622,1.695,2883.09,1.52681,0.287052,4.38432,383.536,3.72373,38.5416,318.707
S100A8,3.4999599999999997,105.69200000000001,6.869330000000001,208.519,28.2072,2.19215,24.6743,550.03,0.35623299999999997,24.6541,366.35900000000004
SCRG1,23.221999999999998,0.917041,1.2327299999999999,0.0,0.11776500000000001,8.46354,55.2941,1.90969,53.977,0.130842,1.61784
SEMA3C,89.189,122.228,26.6623,182.94,21.9289,11.2917,13.6893,140.311,22.714000000000002,32.9593,59.1956
SERHL2,5.02658,96.2706,0.603352,5.80047,72.8702,1.23294,2.30145,1.11256,16.1385,2.3940900000000003,2.15706
SFRP1,35.3095,2.25192,0.445617,0.0,0.32416300000000003,9.92695,1.5730600000000001,0.0,42.6241,2.96769,4.15131
SIDT1,0.9090090000000001,13.2347,14.2356,84.0145,22.2534,7.382060000000001,0.5139630000000001,2.77711,0.644053,5.32792,5.48231
SOX10,3.84721,0.0,0.28333800000000003,0.0,0.0778642,0.136748,0.0,0.023847,1.87999,1.2086,0.07446439999999999
SPDEF,0.141878,3.17591,10.6382,2.5880799999999997,12.1178,0.17005699999999999,0.223563,0.11919400000000001,0.869403,0.735854,0.115434
SPRR1B,0.09447810000000001,0.0,5.8520199999999996,0.0,0.0,0.0,0.308586,0.0,0.0,93.0754,7.65229
SPTLC2,28.7351,29.6352,32.4383,55.0856,55.1443,17.4526,32.8332,15.0217,27.8543,32.5144,178.102
SRPX,12.4869,6.64019,3.72821,3.35209,1.21131,1.8690799999999999,1.92123,1.9365900000000003,3.72588,8.0017,0.9796940000000001
TCF7L1,11.751,7.7230300000000005,2.02222,1.08168,5.660909999999999,7.84506,26.805,6.70851,87.3457,5.32251,1.45767
TFAP2B,1.18026,7.528460000000001,0.0,83.7343,14.087,3.45665,0.956076,6.92479,2.2852200000000003,1.07807,0.0384123
THBS4,8.67223,4.58691,0.7613449999999999,87.3978,4.36571,6.39966,1.21156,4.33286,21.1983,2.1271400000000003,1.69832
TNFAIP8,5.97248,26.519000000000002,12.597999999999999,41.4164,16.454,14.0833,8.02079,12.5995,3.41071,14.427999999999999,18.8429
TNFSF10,24.8142,23.4715,34.7003,55.0767,132.384,14.3237,3.33955,7.56815,14.0586,21.9902,273.724
TRIM68,7.67148,0.779116,6.65522,5.11825,8.45792,6.166530000000001,0.8307700000000001,4.91971,5.83645,4.82695,2.04787
TSC22D3,7.24202,19.5717,19.0169,11.1697,9.54262,1.22046,18.3645,13.0211,9.521510000000001,105.06700000000001,8.62
UBD,0.0,6.7378,28.7398,0.267461,0.0,11.7216,0.0,0.0,6.70224,0.0,48.1235
UGT2B28,0.0,70.8305,0.0,0.26037,0.10263800000000001,22.5777,0.0,8.16426,8.20575,0.0354788,0.915341
XBP1,26.3139,57.555,50.1395,421.015,304.504,17.2361,39.7686,36.2975,28.7927,74.46600000000001,71.5768
ZCCHC24,0.75321,1.65927,0.502634,0.0473286,0.520663,0.624831,0.257006,0.14769100000000002,0.171518,3.40631,0.7914220000000001
