gene_short_name,V515-06187-A1,TNT-1,TNT-271,TNT-322,TNT-194,TNT-296,17-00107-9_S10Aligned_cufflinks,TNT-239,TNT-94,TNT-50,TNT-24
RTP4,0.772275,1.68055,4.43542,3.03186,2.22149,3.4568199999999996,0.803098,2.47434,0.0518934,2.39764,8.94065
S100A1,196.638,0.0,3.9719900000000004,36.3341,19.5795,0.0,0.0,6.14099,0.552142,57.1312,88.1761
S100A7,6.579160000000001,1.695,0.183064,0.0,0.538471,0.20705,6.51391,7.22335,0.0,21.4672,4.37861
S100A8,3.4999599999999997,6.869330000000001,1.17487,0.869452,6.44369,6.7621199999999995,27.7981,10.8895,0.0,4.7933699999999995,6.0969
SCRG1,23.221999999999998,1.2327299999999999,12.0128,24.5745,56.2852,2.43223,0.0,0.616513,3.22388,0.9672209999999999,8.62836
SEMA3C,89.189,26.6623,5.74939,24.3407,8.37491,4.72316,63.9728,63.8822,14.8,140.37,11.163
SERHL2,5.02658,0.603352,7.25241,6.08545,5.66259,0.7395149999999999,1.83139,5.637169999999999,0.0,12.6058,1.56208
SFRP1,35.3095,0.445617,14.8229,26.554000000000002,9.52922,11.6134,1.20859,15.3376,3.6155,16.7954,22.0046
SIDT1,0.9090090000000001,14.2356,10.5153,1.7792599999999998,0.8704559999999999,1.30631,24.0965,14.1793,2.89244,1.63791,3.34404
SOX10,3.84721,0.28333800000000003,0.8560700000000001,2.17461,1.39412,0.0,0.0,0.45138,0.108668,0.0526336,3.58091
SPDEF,0.141878,10.6382,1.04728,0.516921,0.123991,0.0,0.0,0.381323,0.191206,3.06071,0.433642
SPRR1B,0.09447810000000001,5.8520199999999996,0.0,0.0,0.0,0.0,7.9079,1.77931,0.0,0.10400699999999999,0.0
SPTLC2,28.7351,32.4383,37.9832,35.8602,19.9639,17.2495,20.6055,75.5368,58.4078,168.345,59.4068
SRPX,12.4869,3.72821,2.86267,3.19103,5.00084,0.08347339999999999,9.574110000000001,1.4964,0.0,3.51456,5.288819999999999
TCF7L1,11.751,2.02222,16.9241,12.017000000000001,26.9459,11.2977,5.48526,6.582000000000001,8.26598,8.4502,13.9768
TFAP2B,1.18026,0.0,3.51015,5.6748400000000006,2.1715299999999997,0.187122,0.202828,1.99583,19.4703,6.84501,0.23612399999999997
THBS4,8.67223,0.7613449999999999,10.0297,39.4894,16.24,7.621689999999999,33.2562,5.87345,6.38352,6.72779,4.62645
TNFAIP8,5.97248,12.597999999999999,31.349,14.2634,15.6913,15.7102,5.88908,134.384,10.5429,16.5976,29.7009
TNFSF10,24.8142,34.7003,24.6704,11.1771,19.8522,38.096,27.9843,70.8998,35.5034,21.0228,125.454
TRIM68,7.67148,6.65522,4.6321,2.0345,4.0406699999999995,6.33707,7.91414,2.42572,0.0,2.0903099999999997,3.02313
TSC22D3,7.24202,19.0169,10.3469,21.122,20.4103,7.56735,13.8724,7.86074,12.0391,16.4595,28.3699
UBD,0.0,28.7398,10.8372,1.2589,8.18793,189.13099999999997,0.0,46.9344,80.8682,1.46836,82.3521
UGT2B28,0.0,0.0,9.48852,0.696688,1.8360400000000001,10.9314,0.0,0.36485100000000004,0.052959900000000004,0.036528,0.0
XBP1,26.3139,50.1395,22.5333,39.6349,31.2455,27.0571,20.5809,40.5142,38.7536,53.3026,91.0118
ZCCHC24,0.75321,0.502634,0.361983,0.5140100000000001,0.122868,0.0278627,1.1772,0.334794,0.0,2.49551,1.52345
