gene_short_name,V515-06187-A1,TNT-113,TNT-94,TNT-277,TNT-202,TNT-92,17-00105-7_S10_cufflinks,17-00271-8_S16Aligned_cufflinks,TNT-239,TNT-214,TNT-252
LBP,0.573258,3.7789,4.36765,0.0,0.29684099999999997,0.143624,0.0,30.34,3.42086,0.0,1.23834
LHFP,2.0952,0.13284400000000002,0.0018709,2.84979,0.392373,0.553532,7.958480000000001,6.7217,0.784121,0.275027,0.400838
MFAP4,1.60954,0.0752608,0.0,10.7208,0.311481,4.86294,23.1121,41.3266,3.85388,1.3753799999999998,1.56435
MIA,21.0747,0.0,10.5257,0.0,2.7299999999999985e-291,21.7525,1.86336,0.9598,38.436,0.0,0.0
MID1,36.2366,8.52765,8.964210000000001,9.22419,20.6841,22.1864,11.2098,14.4386,27.8837,32.5246,6.974189999999999
MYBL1,4.603619999999999,30.3994,26.6594,8.94398,230.329,59.4487,2.16644,1.7769099999999998,10.6215,25.1219,22.9374
NEK2,17.1321,52.4039,67.4823,2.3382,47.6521,6.27886,3.87849,2.752,24.1101,72.595,7.60347
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0638543,0.0437792,0.0,0.0,0.0
OGN,1.27872,13.3446,14.1949,21.9407,12.3851,38.5116,25.744,87.9032,4.3811,2.94053,14.1862
PI3,0.0,5.16361,0.0,0.0,17.4779,4.07739,1.07606,0.0,0.0,0.0,0.0
PLEKHB1,14.583,2.2507,2.4264900000000003,0.175991,1.01767,1.19539,0.8474889999999999,0.6133390000000001,1.5604799999999999,3.27526,0.264925
PMAIP1,1.6239299999999999,0.0,14.323,6.5842,6.59513,0.914623,0.531778,2.49894,4.33091,0.0,3.1896400000000003
PSMB9,0.0,36.9638,0.784733,10.9249,17.354,15.3154,0.0,0.0,22.3266,21.5042,25.7982
PTGDS,1.49063,3.52126,0.8192729999999999,24.8969,1.9078,1.74508,11.2347,32.4277,14.9539,2.59815,13.8446
RARRES3,10.7933,44.1109,0.0,17.8497,7.53713,21.3796,14.9961,31.4226,115.305,11.8512,33.9218
RTP4,0.772275,0.0,0.0518934,0.0,0.217629,3.1673,1.2501200000000001,0.11482,2.47434,2.50685,3.18352
S100A1,196.638,1.81255,0.552142,0.0,16.643,8.06103,0.517951,8.57125,6.14099,11.3813,0.289516
S100A7,6.579160000000001,3.07872,0.0,0.0,10.9899,9.78629,0.777217,116.993,7.22335,2.55438,0.0
S100A8,3.4999599999999997,0.0,0.0,0.0,2.47669,17.065,0.306788,98.5857,10.8895,0.49825600000000003,0.927515
SCRG1,23.221999999999998,0.0,3.22388,0.0,15.2656,0.673348,0.0,0.162206,0.616513,5.00511,0.2654
SEMA3C,89.189,7.66827,14.8,65.9215,32.5006,67.1468,36.7929,68.2334,63.8822,11.3266,3.3975800000000005
SERHL2,5.02658,3.6563,0.0,1.0151700000000001,0.991125,1.4759200000000001,2.4453,574.127,5.637169999999999,1.6351200000000001,2.05094
SFRP1,35.3095,5.040830000000001,3.6155,5.733619999999999,4.3348,20.5385,3.78211,4.8108900000000006,15.3376,25.2839,0.8670100000000001
SIDT1,0.9090090000000001,19.857,2.89244,24.6341,2.41152,3.7080900000000003,2.94982,8.51488,14.1793,4.16664,29.98
SOX10,3.84721,0.11274300000000001,0.108668,0.0,0.7131270000000001,0.205921,1.75675,0.7094550000000001,0.45138,0.46237700000000004,0.0
SPDEF,0.141878,0.0,0.191206,0.146751,0.0501171,0.113258,0.0,3.8249800000000005,0.381323,0.552673,0.293069
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.731959,0.0,0.0,0.0,1.77931,0.0,0.0
SPTLC2,28.7351,30.3911,58.4078,43.5769,23.592,34.9804,15.1177,49.9711,75.5368,58.1008,69.7546
SRPX,12.4869,1.4795399999999999,0.0,6.43555,2.13951,6.28365,10.6326,30.9274,1.4964,0.9009450000000001,1.39382
TCF7L1,11.751,33.2491,8.26598,1.6715,12.4548,11.4878,13.3002,6.54781,6.582000000000001,5.4955300000000005,1.03906
TFAP2B,1.18026,0.0,19.4703,8.63893,0.043904900000000004,1.46155,1.07282,8.73733,1.99583,0.0,0.705329
THBS4,8.67223,13.0656,6.38352,20.1354,9.82113,20.4333,4.27227,11.9439,5.87345,9.84095,19.072
TNFAIP8,5.97248,25.5365,10.5429,99.2981,11.4387,27.0821,6.5877,10.2542,134.384,15.2486,152.685
TNFSF10,24.8142,45.1035,35.5034,34.8402,53.0847,52.0291,8.1043,18.0931,70.8998,16.9577,20.8352
TRIM68,7.67148,4.45127,0.0,0.298528,2.2568799999999998,2.9636,2.83981,5.80638,2.42572,2.6401,0.917264
TSC22D3,7.24202,4.5372900000000005,12.0391,9.40428,5.32342,13.8093,25.9435,125.664,7.86074,7.05311,5.53498
UBD,0.0,128.718,80.8682,30.8867,19.2552,81.9667,0.0,0.0,46.9344,28.6271,27.5734
UGT2B28,0.0,0.0,0.052959900000000004,1.2680200000000001,0.0,0.0313859,0.0,533.419,0.36485100000000004,0.0,0.0
XBP1,26.3139,91.84,38.7536,32.9098,36.7108,44.0054,24.8762,71.8158,40.5142,46.6396,27.9228
ZCCHC24,0.75321,0.0,0.0,0.173812,0.0990294,0.674429,3.8414599999999997,2.3669,0.334794,0.00335999,0.291738
