gene_short_name,V515-06187-A1,TNT-192,TNT-278,TNT-6,TNT-313,17-00270-5_S14Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,TNT-133,TNT-288,TNT-297
GBP1,41.394,185.85299999999998,53.7536,72.8056,222.533,151.737,0.0,162.069,79.0541,217.05700000000002,144.925
GCHFR,0.42253100000000005,0.9483219999999999,0.0,0.5545329999999999,0.0,2.0417099999999997,0.0,2.50636,0.8878870000000001,0.0,0.145981
GPR87,0.9514879999999999,0.0,0.0,0.480814,0.22916999999999998,1.74747,0.0,0.176977,0.0,0.8004439999999999,1.51442
GZMB,1.4986,2.56301,8.82977,0.835723,3.70516,6.61711,0.0,7.94791,0.114792,0.375847,1.0732
HGD,4.21735,25.9325,2.51632,22.4211,0.12058599999999998,27.7762,0.0,1.72268,0.0,1.9272200000000002,7.776619999999999
HTRA1,91.2943,118.212,26.2691,151.88,49.7,156.50799999999998,0.0,267.781,57.5539,82.3084,50.6764
IDO1,0.29142399999999996,3.9493,3.05783,3.83281,7.03383,19.0683,0.0,8.13453,0.0,2.89899,2.3577
IGFBP4,13.3498,3.45961,0.34994000000000003,6.3947,1.0656,22.6642,0.0,19.7173,10.6492,5.49812,2.95592
IGHM,55.218999999999994,67.8109,94.4486,37.4842,804.47,377.42400000000004,36.7639,419.759,144.781,1.60124,8.56503
IGJ,20.0186,845.132,361.046,13.2475,696.573,149.07399999999998,0.0,267.344,651.057,4.11939,5.5107
IGKC,182.34599999999998,2130.1,1159.8,532.116,16377.5,8345.27,613.677,3901.46,3728.87,30.4239,22.8967
IL23A,0.049007300000000004,0.0,0.0,0.130425,0.246941,0.0,0.0,0.0,0.243693,0.195698,0.39657
IL33,0.8833290000000001,13.1507,1.50942,1.10622,0.673393,1.6797900000000001,0.0,4.89805,3.54569,0.20175,3.82804
INPP4B,37.1722,27.5809,31.4489,45.7751,7.730180000000001,53.968999999999994,40.7486,8.444239999999999,9.4802,2.2043,22.1376
ITM2A,5.13433,22.2147,18.3801,25.4941,27.5243,6.668019999999999,17.7311,34.0268,5.674119999999999,7.76191,74.1134
JAM2,11.2143,26.995,14.3004,8.80717,5.56231,14.5784,0.0,15.3358,8.22675,13.6999,8.94908
KCNK5,7.320460000000001,0.0,0.0171516,0.0,1.89058,0.164958,0.0,0.569483,0.0,1.51053,0.779464
KIAA1324,6.46799,53.7366,46.4182,151.768,26.8004,57.3075,30.4415,2.97874,116.535,33.3498,31.6459
