gene_short_name,V515-06187-A1,TNT-227,17-00121-8_S12_cufflinks,TNT-182,17-00110-9_S15Aligned_cufflinks,TNT-54,TNT-281,TNT-218,TNT-275,TNT-201,17-00132-8_S16Aligned_cufflinks
SPTLC2,28.7351,101.03299999999999,47.5721,74.3666,18.5445,78.933,43.3611,33.454,34.6502,55.1168,23.3392
SRPX,12.4869,0.7029489999999999,14.9014,5.445119999999999,0.814167,12.1905,0.0,0.6244350000000001,3.03912,4.59853,11.9724
TCF7L1,11.751,7.03705,18.4465,17.4982,26.4978,5.8485,4.3718699999999995,16.0211,10.4131,18.7519,7.31608
TFAP2B,1.18026,0.488196,5.71247,0.296831,19.6334,13.5869,0.00802045,0.0511936,0.6146199999999999,0.514811,0.0
THBS4,8.67223,1.73265,2.38517,34.1712,2.78039,94.12100000000001,2.93782,4.25511,14.4432,13.2923,9.82158
TNFAIP8,5.97248,67.6812,9.13379,28.5502,10.863,40.9456,22.9848,37.9827,33.8904,10.9691,25.2074
TNFSF10,24.8142,18.0991,39.5965,18.4707,10.6811,35.323,43.6615,30.9646,12.908,31.0437,8.998339999999999
TRIM68,7.67148,0.9345129999999999,3.06494,1.91287,4.71341,1.61214,13.5519,3.6204699999999996,0.257472,0.516001,1.5954700000000002
TSC22D3,7.24202,19.0487,52.071999999999996,7.29858,6.786910000000001,38.0792,6.87321,13.5572,22.2448,7.32937,18.3978
UBD,0.0,31.2003,0.0,124.22399999999999,0.0,33.4749,137.485,85.5883,14.192,3.42841,13.8943
UGT2B28,0.0,0.0506694,2.56628,0.034224300000000006,0.0,0.0,5.3234,0.0,0.261173,1.67524,0.0
XBP1,26.3139,33.7205,159.843,78.4326,58.4986,99.5383,35.2366,25.345,54.7944,37.2038,45.1453
ZCCHC24,0.75321,0.0,1.6559099999999998,0.8638319999999999,0.532574,0.589845,0.0,0.351457,0.0777878,0.154573,3.27612
