gene_short_name,V515-06187-A1,TNT-326,TNT-157,17-00132-8_S16Aligned_cufflinks,TNT-267,TNT-53,17-00108-5_S18Aligned_cufflinks,TNT-225,TNT-139,TNT-158,TNT-269
CHI3L1,52.4824,1.96055,42.6231,4.97049,0.374262,47.8151,5.20908,13.4776,11.9292,37.3911,22.9312
COL2A1,124.822,5.7244,0.165699,0.0,0.0,31.4125,1.39677,2.20486,14.4149,69.285,3.86954
COL5A1,145.37,27.0058,18.2057,187.40400000000002,17.0328,57.393,27.9288,113.037,75.3596,62.7231,91.8004
COL5A2,202.313,23.1253,26.7943,187.753,1.08796,62.0196,21.5128,173.274,97.3976,103.473,109.73200000000001
CRAT,3.09639,0.143253,1.38838,27.5127,5.195790000000001,4.58664,4.16699,1.33989,2.73225,2.67745,4.34124
CROT,17.2031,2.16177,8.916360000000001,9.844560000000001,6.6875100000000005,3.7599699999999996,1.35921,8.52486,11.9831,8.122910000000001,6.66257
CXCL10,2.29941,56.2198,91.8598,5.4040300000000006,14.0868,1027.76,15.9386,8.15851,66.1195,63.0364,41.6064
CXCL11,0.642556,13.0665,8.917819999999999,0.0,0.0,117.484,3.99119,0.637592,28.2921,9.6686,5.55652
CXCL13,0.0413495,85.4836,46.1831,3.3446800000000003,39.7643,13.8145,7.95022,6.32163,4.47169,7.40388,13.0681
CYP4F8,0.048019099999999995,0.0,0.0,16.5797,0.0418865,0.446875,0.24557600000000002,0.16966900000000001,0.0,0.19008599999999998,0.585101
DBI,412.371,65.8549,134.685,22.3556,8.62491,341.228,107.854,130.439,272.91700000000003,694.721,128.767
DEFB1,3.16262,0.0,0.135413,0.0,0.341007,1.69422,0.328307,0.09093530000000001,0.762547,0.0,1.8986299999999998
DHCR24,38.1374,11.0616,74.3837,1.5266,0.146062,20.8399,13.0362,9.11603,18.4995,17.0556,26.682
DUSP5,2.6614299999999997,1.6522400000000002,6.9571,8.864889999999999,0.359641,4.52794,3.8480300000000005,4.35424,7.58368,3.3713900000000003,9.342319999999999
FABP7,2.25652,13.8638,0.054773199999999994,0.569974,8.49745,0.566084,10.5533,54.5626,4.85553,0.591094,1.82876
FASN,124.609,7.60798,41.2107,129.708,3.4030699999999996,10.4043,47.9147,1.28864,26.8524,15.7474,3.1549400000000003
FGFR4,2.32432,0.0,4.540719999999999,0.0,1.03641,0.23045100000000002,0.38490599999999997,0.044059,0.487249,0.248822,0.270629
FGL2,2.48121,5.61145,10.3349,3.5266599999999997,8.86134,5.875319999999999,4.67698,7.08488,4.2316199999999995,3.65538,7.5293600000000005
FOXA1,1.38574,9.37556,1.01931,6.5881,4.93459,0.2382,0.291452,1.9514099999999999,8.97258,0.319701,1.54293
FOXC1,9.10755,19.3417,28.4132,4.69982,4.4918,34.1132,41.1188,23.0437,70.1013,24.0372,19.7763
GABRP,8.66089,493.65,503.14,12.2303,3.02588,837.778,72.6743,369.529,663.0939999999999,174.048,834.3860000000001
GALNT7,12.4003,18.1204,12.2184,14.665999999999999,17.9817,12.0992,7.659210000000001,29.7218,16.3709,11.58,18.4089
GBP1,41.394,518.4630000000001,527.597,191.46099999999998,16.5986,169.81099999999998,36.9994,106.125,219.584,230.77599999999998,201.665
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.0,0.0,0.32195999999999997,0.166209,0.0,0.0,0.0
GPR87,0.9514879999999999,0.820931,0.402631,0.0,0.0,0.6578970000000001,0.289317,5.90917,8.56737,2.7559099999999996,1.8530900000000001
GZMB,1.4986,4.26578,6.50588,8.95933,0.709413,5.61985,3.03103,1.69408,0.105476,10.3752,3.4740900000000003
HGD,4.21735,0.946356,2.29015,2.49273,0.0,0.533701,1.29588,3.4355800000000003,0.34505,0.951151,2.32145
HTRA1,91.2943,7.8475600000000005,21.359,105.08,3.74508,18.0935,10.4438,176.986,37.3821,46.2655,76.2697
IDO1,0.29142399999999996,17.2985,12.8347,5.1959,4.0778099999999995,14.6102,2.49456,3.65246,44.8251,4.99432,7.54905
IGFBP4,13.3498,1.0725,2.9835,34.9053,0.0,2.04998,11.6234,0.5581729999999999,8.66618,1.16772,0.457959
IGHM,55.218999999999994,250.338,350.832,0.0,61.7722,45.6794,213.12400000000002,6.72957,55.1274,21.4105,44.5514
IGJ,20.0186,141.02100000000002,302.263,113.281,78.6381,140.38299999999998,86.6554,36.8565,65.2352,77.067,195.93099999999998
IGKC,182.34599999999998,5790.14,5900.1,8891.08,338.281,503.449,11833.8,343.62300000000005,623.875,5458.16,5166.69
IL23A,0.049007300000000004,0.0,0.0,0.0,0.0,0.253118,0.187825,0.0341362,0.0,0.0,0.0
IL33,0.8833290000000001,1.2426,2.4586099999999997,17.0119,0.0,0.556894,1.09261,1.94563,1.0214299999999998,2.00852,1.73481
