gene_short_name,V515-06187-A1,TNT-105,17-00160-1_S2Aligned_cufflinks,TNT-44,TNT-296,TNT-67,TNT-201,TNT-14,TNT-80,17-00212-8_S3Aligned_cufflinks,17-00124-3_S12Aligned_cufflinks
PSMB9,0.0,4.74485,0.0,8.41277,26.9052,6.8512,5.581869999999999,20.2724,11.7228,0.0,47.0763
PTGDS,1.49063,1.51005,1.8430900000000001,4.868469999999999,0.210943,3.62713,0.552674,2.6254,3.91785,14.6355,14.7771
RARRES3,10.7933,0.474576,6.713660000000001,29.4438,7.02486,27.8473,16.6005,10.9955,64.2713,22.884,45.9482
RTP4,0.772275,3.08054,3.2141900000000003,0.707379,3.4568199999999996,0.386714,2.4659999999999997,9.087810000000001,5.03062,1.14486,4.2497
S100A1,196.638,1.14229,13.8277,16.0569,0.0,0.8709809999999999,58.3911,69.4896,8.52798,0.346523,50.3418
S100A7,6.579160000000001,0.287052,16.7462,5.847,0.20705,550.909,0.0,2.50007,143.445,115.285,31.581
S100A8,3.4999599999999997,2.19215,7.4687399999999995,5.58615,6.7621199999999995,273.093,0.64226,8.07722,2.6507,11.5963,0.0
SCRG1,23.221999999999998,8.46354,0.353705,8.82788,2.43223,1.82312,26.926,4.0537,6.72893,0.0353548,0.0
SEMA3C,89.189,11.2917,5.61644,55.7138,4.72316,97.1217,7.6334,7.385160000000001,28.6527,53.0699,20.1514
SERHL2,5.02658,1.23294,2.62127,0.26898299999999997,0.7395149999999999,17.4401,4.88326,11.0643,8.24695,256.397,0.0
SFRP1,35.3095,9.92695,9.885769999999999,12.8129,11.6134,4.03949,44.181000000000004,12.4205,0.560566,0.426925,7.284860000000001
SIDT1,0.9090090000000001,7.382060000000001,0.6342270000000001,13.0942,1.30631,8.95075,2.67896,4.10468,15.5163,14.2961,30.0365
SOX10,3.84721,0.136748,7.16494,1.10416,0.0,0.0,4.45913,3.3060300000000002,0.0,0.04504930000000001,4.99757
SPDEF,0.141878,0.17005699999999999,0.302264,0.8678819999999999,0.0,3.88299,1.48852,1.77865,6.83263,9.11262,1.1740000000000002
SPRR1B,0.09447810000000001,0.0,0.52413,0.0,0.0,0.0,1.12615,0.0,0.0,0.06539339999999999,23.7501
SPTLC2,28.7351,17.4526,49.6177,29.1229,17.2495,69.1719,55.1168,50.5338,67.5695,69.0722,48.7606
SRPX,12.4869,1.8690799999999999,1.60124,14.3073,0.08347339999999999,20.0714,4.59853,1.23219,1.1818799999999998,3.76485,8.0311
TCF7L1,11.751,7.84506,12.7575,8.50101,11.2977,7.453639999999999,18.7519,51.7263,7.0518600000000005,2.6816,4.91668
TFAP2B,1.18026,3.45665,0.0538654,2.00691,0.187122,29.399,0.514811,2.5493799999999998,107.23,28.0595,0.0
THBS4,8.67223,6.39966,0.485063,63.4373,7.621689999999999,26.4865,13.2923,0.667736,37.9981,10.1305,37.7683
TNFAIP8,5.97248,14.0833,9.44032,29.6814,15.7102,23.0743,10.9691,12.4301,47.828,23.0422,26.3933
TNFSF10,24.8142,14.3237,32.8667,31.8392,38.096,33.9976,31.0437,14.402000000000001,74.6867,48.7501,13.0099
TRIM68,7.67148,6.166530000000001,0.76994,10.9883,6.33707,4.33092,0.516001,4.73203,2.5768299999999997,7.4270000000000005,2.84572
TSC22D3,7.24202,1.22046,9.99221,16.5943,7.56735,18.2428,7.32937,3.04296,17.4109,18.1725,5.4525
UBD,0.0,11.7216,0.0,7.67732,189.13099999999997,4.5420300000000005,3.42841,6.246659999999999,20.8482,0.0,10.425
UGT2B28,0.0,22.5777,0.0,12.458,10.9314,21.4999,1.67524,0.0,0.332913,2.89132,0.0
XBP1,26.3139,17.2361,57.7395,57.6598,27.0571,161.284,37.2038,60.9409,120.91799999999999,136.75,31.529
ZCCHC24,0.75321,0.624831,0.34524299999999997,3.9076699999999995,0.0278627,2.91343,0.154573,0.18821300000000002,0.155914,1.17116,3.48435
