gene_short_name,V515-06187-A1,TNT-79,TNT-224,TNT-220,TNT-53,17-00152-9_S4Aligned_cufflinks,TNT-283,TNT-318,17-00283-0_S6Aligned_cufflinks,17-00132-8_S16Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks
PTGDS,1.49063,0.10525999999999999,0.288846,34.6464,0.588428,0.0,0.60063,0.44939399999999996,14.6894,18.3436,1.18425
RARRES3,10.7933,23.8117,18.9184,21.933000000000003,7.36159,0.0,64.8345,33.635,12.4003,14.6898,2.42794
RTP4,0.772275,0.735006,2.87871,0.881473,2.7307099999999997,0.0,2.64071,8.07012,1.17662,1.0854,0.17491800000000002
S100A1,196.638,11.3904,38.8232,1.9811400000000001,28.8386,0.0,2.17375,45.1651,31.5658,0.0,20.9965
S100A7,6.579160000000001,0.0,80.8664,0.6977369999999999,226.52700000000002,186.014,0.0,1.41924,9.21769,8.466339999999999,271.001
S100A8,3.4999599999999997,0.24511599999999997,275.425,2.33908,44.2431,0.0,1.97965,2.3352,19.887999999999998,2.52279,100.677
SCRG1,23.221999999999998,14.0368,1.7016200000000001,1.84844,6.450019999999999,0.0,0.09951310000000001,2.32151,0.0692026,0.0,0.0193065
SEMA3C,89.189,30.6627,45.6935,10.7517,8.49986,13.8256,4.05474,33.6265,57.5002,23.1293,73.134
SERHL2,5.02658,7.426839999999999,1.8443200000000002,1.4366,0.96246,0.0,18.7518,1.62353,1.59135,10.0127,2.86803
SFRP1,35.3095,8.06581,0.31843499999999997,8.36326,17.0348,0.0,0.0,62.9304,3.24058,0.651243,1.14134
SIDT1,0.9090090000000001,0.512936,13.8929,16.2039,1.47696,147.595,23.4269,6.2171400000000006,2.26422,8.83893,0.697295
SOX10,3.84721,0.35642199999999996,0.0,1.01821,2.81897,2.5556799999999997,0.0,2.23541,0.872099,0.18970599999999999,0.0
SPDEF,0.141878,0.0,2.45309,0.36541399999999996,0.029937599999999998,4.64858,7.9692,0.0,0.033780199999999996,0.0,0.0
SPRR1B,0.09447810000000001,0.0,19.5733,0.0,0.0,0.0,0.0,0.0,2.01348,7.156569999999999,3.26633
SPTLC2,28.7351,30.6108,52.7982,23.8886,25.3893,0.0,46.537,41.8028,33.8155,23.3392,40.5093
SRPX,12.4869,2.00317,5.92513,6.6176699999999995,1.37933,0.0,2.36183,4.89765,12.2752,11.9724,3.5157199999999995
TCF7L1,11.751,4.14436,3.49831,10.6683,23.572,43.2203,0.731486,28.1337,4.77297,7.31608,13.5439
TFAP2B,1.18026,0.0,18.2922,3.98359,0.6125689999999999,0.0,0.851188,0.236125,0.077316,0.0,0.625831
THBS4,8.67223,2.09436,43.7954,29.7523,5.73771,0.0,4.76762,6.8529,8.05528,9.82158,7.681989999999999
TNFAIP8,5.97248,18.9576,26.8295,45.6794,18.9355,0.0,12.5094,23.671,13.0806,25.2074,6.64522
TNFSF10,24.8142,25.2807,27.5024,33.2544,29.5446,1.52524,30.3826,15.4007,14.5029,8.998339999999999,31.6048
TRIM68,7.67148,3.06815,1.52447,1.17435,0.2459,0.0,5.22976,2.08187,3.12594,1.5954700000000002,2.5005900000000003
TSC22D3,7.24202,10.0686,21.898000000000003,5.49314,11.5905,0.0,61.7873,10.0065,80.2953,18.3978,4.73979
UBD,0.0,13.958,1.80785,16.25,146.91,0.0,6.55876,50.1398,36.639,13.8943,0.0
UGT2B28,0.0,0.07032260000000001,1.0239200000000002,0.0,1.3952,0.0,2.7391900000000002,0.040862699999999995,0.0,0.0,0.0
XBP1,26.3139,53.1686,54.6752,26.5347,37.965,116.27,377.60400000000004,29.8963,29.0413,45.1453,16.4091
ZCCHC24,0.75321,0.00902465,0.847806,0.641638,0.0592135,0.0,0.290128,0.360548,1.6516,3.27612,0.896906
