gene_short_name,V515-06187-A1,17-00107-9_S10Aligned_cufflinks,TNT-56,17-00100-2_S17Aligned_cufflinks,TNT-26,TNT-50,TNT-214,TNT-30,17-00104-2_S7Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-270
GALNT7,12.4003,30.8292,16.1462,18.5846,19.6479,11.5386,8.64044,6.88271,26.588,11.0325,157.514
GBP1,41.394,81.1056,172.96099999999998,194.71900000000002,54.4518,71.5431,174.83599999999998,178.53099999999998,12.1963,291.445,39.4209
GCHFR,0.42253100000000005,0.0,0.0,0.19724,0.1355,0.20549,0.096755,0.153757,0.190252,0.0,0.714842
GPR87,0.9514879999999999,0.0,1.19563,0.9885799999999999,0.8265629999999999,4.06842,1.90972,0.514935,21.0117,0.160558,0.5245029999999999
GZMB,1.4986,1.17603,8.3297,8.62832,0.11918800000000002,2.96307,3.38941,1.30313,0.0,1.21038,0.6652239999999999
HGD,4.21735,0.0,6.980580000000001,0.449058,0.244245,2.01073,0.0,0.539208,2.7930900000000003,10.300999999999998,63.5226
HTRA1,91.2943,226.924,45.2441,55.8889,169.942,121.51299999999999,15.8426,72.8846,6.07297,146.35299999999998,28.7858
IDO1,0.29142399999999996,0.0,22.2742,48.9137,0.879626,8.63063,40.6568,6.2950099999999996,0.0,1.67701,1.39216
IGFBP4,13.3498,63.5614,0.331702,18.1202,1.3705399999999999,3.0842400000000003,0.927897,6.21226,9.80542,52.3011,0.30803
IGHM,55.218999999999994,119.759,81.8868,0.0,3.04095,119.376,111.369,25.1123,0.0,0.0,39.0876
IGJ,20.0186,35.7426,668.235,238.87599999999998,21.932,101.14,159.628,71.54,4.29243,234.137,97.7094
IGKC,182.34599999999998,1401.24,2605.97,6672.11,127.93,1160.89,2153.64,887.2189999999999,66.0953,3004.06,2435.65
IL23A,0.049007300000000004,0.0,0.0,0.209331,0.083901,0.391571,0.0,0.0,0.0,0.0,0.0
IL33,0.8833290000000001,7.387639999999999,2.91535,0.665625,1.17252,0.9289459999999999,2.23115,0.679134,1.19507,2.46716,0.765195
INPP4B,37.1722,18.2547,14.4201,10.2353,13.2894,17.8934,11.1627,14.2863,7.46138,30.0611,108.73299999999999
