gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,TNT-322,TNT-157,17-00139-2_S9Aligned_cufflinks,TNT-80,17-00140-2_S2_cufflinks,TNT-27,TNT-67,TNT-41,TNT-57
SFRP1,35.3095,9.57648,26.554000000000002,5.6944300000000005,1.51994,0.560566,2.53916,33.8663,4.03949,38.3568,41.9017
SIDT1,0.9090090000000001,10.0237,1.7792599999999998,5.13203,0.872016,15.5163,3.1283,0.9532959999999999,8.95075,1.50153,1.0019
SOX10,3.84721,3.93353,2.17461,0.515416,0.24186300000000002,0.0,5.45062,0.9355959999999999,0.0,1.1078299999999999,4.406619999999999
SPDEF,0.141878,3.7916800000000004,0.516921,0.35286799999999996,0.058434900000000005,6.83263,0.141015,0.41343100000000005,3.88299,0.0,0.026727499999999998
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,137.28799999999998,0.0,0.0,0.0,0.42824700000000004
SPTLC2,28.7351,31.9106,35.8602,23.1361,24.144000000000002,67.5695,33.5879,54.4677,69.1719,40.6695,51.2638
SRPX,12.4869,11.315999999999999,3.19103,3.4083,1.27999,1.1818799999999998,3.0198400000000003,2.94887,20.0714,9.47686,7.25335
TCF7L1,11.751,17.9877,12.017000000000001,19.2652,11.0243,7.0518600000000005,11.4746,4.68032,7.453639999999999,44.3834,51.5262
TFAP2B,1.18026,3.9222699999999997,5.6748400000000006,0.0,0.257357,107.23,0.613329,0.171971,29.399,0.41227600000000003,0.631304
THBS4,8.67223,17.7867,39.4894,10.2009,6.218719999999999,37.9981,1.39697,4.17952,26.4865,16.1641,6.38016
TNFAIP8,5.97248,11.2917,14.2634,37.2349,5.70276,47.828,22.7301,3.46861,23.0743,13.7256,12.7164
TNFSF10,24.8142,18.0064,11.1771,37.5497,48.6482,74.6867,44.791000000000004,9.22564,33.9976,115.984,14.0494
TRIM68,7.67148,18.792,2.0345,0.6743640000000001,0.120771,2.5768299999999997,2.501,5.14035,4.33092,4.9053,3.50355
TSC22D3,7.24202,28.8027,21.122,9.78657,3.85501,17.4109,2.3329299999999997,2.81851,18.2428,15.5388,9.533710000000001
UBD,0.0,0.0,1.2589,30.8208,0.0,20.8482,0.0,8.23e-15,4.5420300000000005,9.98192,1.25475
UGT2B28,0.0,0.39282100000000003,0.696688,0.532721,0.0,0.332913,0.0,0.0,21.4999,0.0847062,0.803126
XBP1,26.3139,63.70399999999999,39.6349,51.8027,18.3573,120.91799999999999,48.3852,17.6839,161.284,23.1296,62.5597
ZCCHC24,0.75321,5.1231800000000005,0.5140100000000001,1.2597399999999999,0.116612,0.155914,0.389981,0.0,2.91343,0.70298,0.80106
