gene_short_name,V515-06187-A1,17-00113-4_S11_cufflinks,TNT-117,TNT-211,TNT-277,17-00280-7_S4Aligned_cufflinks,TNT-94,TNT-187,TNT-220,17-00125-8_S13Aligned_cufflinks,TNT-313
CROT,17.2031,5.8188,7.6070199999999994,55.7176,9.29257,15.8075,7.724880000000001,5.30959,16.9421,4.49909,9.1463
CXCL10,2.29941,26.4345,122.946,26.1821,23.6985,50.6872,20.6893,79.7082,18.2258,0.0,48.9679
CXCL11,0.642556,5.58739,9.78471,0.0,4.14639,10.4707,4.12924,15.2041,1.35964,0.0,3.51615
CXCL13,0.0413495,7.414060000000001,37.6351,8.82121,117.78399999999999,11.7207,0.0,8.6131,26.0305,0.0,64.2703
CYP4F8,0.048019099999999995,0.0,0.355451,0.0,0.0,0.562419,0.0,0.301548,0.0,5.58269,0.150132
DBI,412.371,79.2129,76.2147,90.8411,61.8252,128.964,186.812,147.524,205.25799999999998,14.5811,139.847
DEFB1,3.16262,0.0,1.9851400000000001,0.0,0.0,1.20338,0.0,0.744099,0.0,0.0,0.9545950000000001
DHCR24,38.1374,4.51013,32.4208,0.45603599999999994,0.32005300000000003,57.3044,5.51588,19.7136,0.44259,26.3007,20.656
DUSP5,2.6614299999999997,2.2951200000000003,8.2184,2.08853,9.356530000000001,1.67691,11.9441,6.913710000000001,4.8123,17.2635,7.489269999999999
FABP7,2.25652,7.1750300000000005,0.985374,0.0475985,0.0,2.61417,234.22099999999998,0.23061199999999998,2.41871,1.4797200000000001,0.0867112
FASN,124.609,36.0866,9.33763,7.09244,0.5104609999999999,284.185,12.7001,41.1579,5.13523,188.59599999999998,2.98044
FGFR4,2.32432,0.484282,0.0,0.0,0.138728,7.213310000000001,0.0,3.1471299999999998,0.0,0.0,0.253247
FGL2,2.48121,3.70126,10.2123,29.2128,13.9472,9.03129,4.0132900000000005,4.42777,13.1522,5.21316,5.9402099999999995
FOXA1,1.38574,1.0287899999999999,0.275353,0.0259267,16.9152,166.25599999999997,52.9129,1.1465100000000001,2.5503099999999996,70.9237,1.1556
FOXC1,9.10755,44.431000000000004,43.8821,42.6333,0.385336,1.5149299999999999,8.84632,34.9737,14.558,12.1608,47.1304
GABRP,8.66089,461.20599999999996,1315.98,174.106,0.15685,5.342890000000001,392.793,331.8,204.752,79.957,236.085
GALNT7,12.4003,17.6967,12.4562,26.8887,9.3507,58.7644,59.2443,13.8611,18.5998,20.9316,16.6628
GBP1,41.394,75.7986,140.22299999999998,61.8333,127.90299999999999,101.148,17.1528,517.396,79.1625,93.6234,222.533
GCHFR,0.42253100000000005,0.0,0.348706,0.0,0.0,0.7385430000000001,0.0,0.0,0.0,8.82467,0.0
GPR87,0.9514879999999999,1.6453799999999998,1.68203,0.0,0.5834239999999999,0.14515,3.5010000000000003,0.828652,8.70819,0.0,0.22916999999999998
GZMB,1.4986,2.88027,24.1368,2.34563,6.83507,3.9882400000000002,0.0,0.52895,29.3709,6.68157,3.70516
HGD,4.21735,1.52329,0.9588110000000001,0.0,0.278291,83.8595,0.0,5.1163300000000005,1.22995,0.0,0.12058599999999998
HTRA1,91.2943,48.8061,17.8627,5.43417,92.2482,47.9654,4.2443800000000005,98.4168,33.9299,84.7862,49.7
IDO1,0.29142399999999996,3.82295,24.9349,38.5196,33.9794,4.65914,0.0,26.4344,41.4352,0.0,7.03383
IGFBP4,13.3498,12.6485,1.7579099999999999,0.972145,0.29838400000000004,6.40402,1.46345,4.454219999999999,2.1301200000000002,60.3488,1.0656
IGHM,55.218999999999994,0.0,803.919,64.7857,60.5221,125.662,5.60384,10.0265,59.7954,31.0737,804.47
IGJ,20.0186,33.6241,225.572,182.497,585.126,139.326,0.571862,42.1971,192.062,110.391,696.573
IGKC,182.34599999999998,606.637,5939.7,664.077,2331.36,1796.2,84.4972,272.14,872.279,689.578,16377.5
IL23A,0.049007300000000004,0.619544,0.872439,0.0,0.0,0.158848,0.0,0.28326599999999996,0.0685048,0.0,0.246941
