gene_short_name,V515-06187-A1,17-00140-2_S2_cufflinks,TNT-214,TNT-283,TNT-311,17-00174-6_S15Aligned_cufflinks,TNT-152,17-00108-5_S18Aligned_cufflinks,17-00271-8_S16Aligned_cufflinks,TNT-328,TNT-281
FGFR4,2.32432,0.622948,0.29037199999999996,0.42262,0.0657728,0.5663100000000001,15.2911,0.38490599999999997,0.310467,0.0,10.5211
FGL2,2.48121,3.84026,7.35359,4.1031699999999995,6.20109,2.7137700000000002,11.0158,4.67698,17.2755,13.4369,6.78257
FOXA1,1.38574,0.725695,5.57404,135.889,0.9381450000000001,3.41172,26.0362,0.291452,86.8978,3.16782,1.55029
FOXC1,9.10755,17.2027,48.272,3.01998,33.2057,29.4622,0.79214,41.1188,7.0417,11.1992,8.70012
GABRP,8.66089,275.553,124.557,1.8258599999999998,590.01,1.23011,18.8446,72.6743,19.9296,13.0795,175.713
GALNT7,12.4003,14.8314,8.64044,80.39,14.3397,11.8491,26.0401,7.659210000000001,28.8384,0.875309,8.255519999999999
GBP1,41.394,94.1626,174.83599999999998,95.4322,62.836000000000006,135.247,80.4756,36.9994,153.619,22.651999999999997,535.638
GCHFR,0.42253100000000005,0.55353,0.096755,0.0,0.0,1.3619,1.02698,0.32195999999999997,0.39271999999999996,0.0,0.0
GPR87,0.9514879999999999,4.25574,1.90972,1.1195700000000002,31.4702,4.33496,0.0,0.289317,2.26563,0.0,0.519255
GZMB,1.4986,5.9785,3.38941,0.77617,2.90159,1.8939700000000002,0.0,3.03103,4.72534,0.0,6.77791
HGD,4.21735,1.2829899999999999,0.0,6.59139,0.23399499999999998,9.092410000000001,92.87100000000001,1.29588,23.7782,9.049489999999999,8.127139999999999
HTRA1,91.2943,22.5779,15.8426,30.5015,73.8052,38.6136,142.922,10.4438,221.53099999999998,22.5486,9.95982
IDO1,0.29142399999999996,27.5373,40.6568,3.09202,1.6902700000000002,21.1778,0.843558,2.49456,9.55688,4.34852,24.7108
IGFBP4,13.3498,12.5501,0.927897,0.49661000000000005,0.9239069999999999,18.0548,7.366410000000001,11.6234,57.7482,1.2525899999999999,0.5106609999999999
IGHM,55.218999999999994,707.6,111.369,5.19747,11.8723,13.6533,329.702,213.12400000000002,336.897,18.2147,213.67
IGJ,20.0186,104.18299999999999,159.628,27.8626,167.984,20.4514,568.173,86.6554,446.48900000000003,28.6686,378.825
IGKC,182.34599999999998,2567.62,2153.64,801.068,654.382,533.576,12039.2,11833.8,2529.53,73.3224,2270.71
IL23A,0.049007300000000004,0.17563800000000002,0.0,0.0,0.0,0.29478899999999997,0.0,0.187825,0.0,0.0,0.147824
IL33,0.8833290000000001,4.0518,2.23115,0.5539649999999999,3.4302900000000003,2.28455,9.99245,1.09261,7.259510000000001,0.0,1.07443
INPP4B,37.1722,10.305,11.1627,12.8883,11.0164,19.0709,40.6346,8.1298,30.2415,2.22397,3.00811
ITM2A,5.13433,5.2159699999999996,11.7579,9.52588,13.8727,5.51003,61.5291,6.958360000000001,67.9227,2.31869,68.0098
JAM2,11.2143,2.42791,3.4278,0.335613,9.94855,5.43396,14.2398,2.33619,20.8529,0.0612626,5.9953
KCNK5,7.320460000000001,1.7767700000000002,0.29323499999999997,0.207736,0.38399099999999997,3.3860300000000003,0.0,5.83935,0.399446,4.4551099999999995,1.91526
KIAA1324,6.46799,1.1698,49.3905,38.4246,7.696439999999999,7.0919300000000005,70.4997,12.8659,28.2916,14.6388,4.29164
KMO,1.44589,11.3322,7.213260000000001,6.845339999999999,0.66819,1.93187,34.7041,5.28187,11.095999999999998,1.46333,24.4904
KRT14,118.37100000000001,568.828,2.48054,0.7119479999999999,7.60157,708.6610000000001,9.551219999999999,38.0093,111.476,230.732,276.062
KRT16,91.0343,340.18199999999996,33.9761,2.65956,29.1762,2146.49,8.6163,61.3773,6.562539999999999,56.5354,349.52099999999996
KRT17,105.34700000000001,101.24,15.0611,8.14209,16.9229,1735.05,8.751660000000001,31.6651,169.488,3.7010099999999997,219.024
