gene_short_name,V515-06187-A1,17-00166-3_S11Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-85,17-00121-8_S12_cufflinks,TNT-14,TNT-94,TNT-65,TNT-300,TNT-269,TNT-71
KCNK5,7.320460000000001,3.7345099999999998,2.19827,1.42137,0.897058,1.8995,0.327907,0.0,0.741297,0.729846,0.887702
KIAA1324,6.46799,4.61868,0.46954799999999997,26.8834,51.9074,0.938493,18.6514,26.6,3.78249,15.4293,5.69649
KMO,1.44589,3.72039,5.2506,2.61179,0.307289,10.7046,31.2493,34.8601,2.60659,4.17707,7.643680000000001
KRT14,118.37100000000001,456.65,62.9592,10.4352,616.609,2.10125,2.19612,0.0395644,1.1598,280.186,6.66913
KRT16,91.0343,133.63299999999998,26.2046,18.7238,44.915,24.2042,4.77604,0.052877,18.1238,65.8219,17.0193
KRT17,105.34700000000001,144.903,9.91211,90.4727,1050.05,48.217,0.815724,4.63325,14.628,423.059,51.9748
KRT6A,54.2242,26.9924,5.23452,17.4194,159.842,10.655999999999999,7.5121899999999995,11.4816,56.762,191.293,27.6608
KRT6B,86.6584,13.1079,3.50011,15.7364,109.40100000000001,4.38034,2.87622,0.903227,75.3859,93.8724,9.681510000000001
KYNU,14.7879,6.43355,5.392,4.71817,10.171,2.87511,0.0,93.9778,25.2282,13.5045,87.4812
LBP,0.573258,0.12130099999999999,0.652367,1.18249,0.029158999999999997,9.36242,4.36765,850.753,12.2516,0.9664790000000001,0.103459
LHFP,2.0952,0.9247780000000001,0.932149,1.88011,5.71544,0.44400600000000007,0.0018709,0.768759,0.553075,0.730913,0.813163
MFAP4,1.60954,2.0764099999999996,0.288673,1.10077,25.4246,0.611251,0.0,3.01056,0.09322489999999999,0.951592,5.00249
MIA,21.0747,15.2975,0.845535,20.3728,20.5634,13.5693,10.5257,0.0,0.23780500000000002,5.15897,14.7819
MID1,36.2366,34.6828,13.0013,16.0742,19.6636,27.3804,8.964210000000001,16.6227,20.0863,20.813000000000002,11.2812
MYBL1,4.603619999999999,64.6053,88.7484,48.2984,2.9388799999999997,161.042,26.6594,25.6909,8.29579,21.5336,191.485
NEK2,17.1321,26.2258,23.2843,45.9645,0.954536,22.8411,67.4823,23.6071,38.2809,19.2192,51.1749
NTN3,0.023557599999999998,0.0,0.175515,0.0,0.115061,0.184201,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,1.1390200000000001,0.632217,19.6786,59.6459,6.075080000000001,14.1949,29.5179,9.317730000000001,10.315999999999999,12.4251
PI3,0.0,0.255808,2.08188,12.9848,4.09301,0.327406,0.0,6.60849,0.0,1.10054,5.31341
PLEKHB1,14.583,6.752510000000001,0.949499,1.19545,1.9737900000000002,5.895,2.4264900000000003,0.805946,1.02945,1.49254,6.5829
PMAIP1,1.6239299999999999,3.3964199999999996,2.63308,0.0,0.931723,3.0045,14.323,6.57748,3.43615,4.10292,12.9616
PSMB9,0.0,0.0,0.0,1.28821,0.0,20.2724,0.784733,4.64345,13.1326,11.1926,5.38454
PTGDS,1.49063,1.6732900000000002,0.5857060000000001,1.5046899999999999,21.2047,2.6254,0.8192729999999999,0.9198209999999999,0.60036,1.9471900000000002,1.4413
RARRES3,10.7933,26.6514,7.35418,5.74631,41.5227,10.9955,0.0,0.96754,45.0648,17.6594,12.5633
RTP4,0.772275,5.59083,0.724984,0.0949046,0.45024200000000003,9.087810000000001,0.0518934,0.0,16.0639,2.94246,4.32465
S100A1,196.638,129.17700000000002,5.58359,12.5233,7.334110000000001,69.4896,0.552142,0.0,18.1472,8.73881,0.8991629999999999
S100A7,6.579160000000001,4.80324,0.5287649999999999,1.3312,0.154637,2.50007,0.0,383.536,6.39159,2.95783,330.407
S100A8,3.4999599999999997,5.70424,3.62696,2.91237,4.58775,8.07722,0.0,550.03,12.3968,3.39661,34.2738
SCRG1,23.221999999999998,0.663198,0.143501,44.7074,0.037281800000000004,4.0537,3.22388,1.90969,0.527354,1.8791400000000003,0.787397
SEMA3C,89.189,13.7459,46.9475,41.3754,122.44,7.385160000000001,14.8,140.311,6.19792,25.4501,32.5338
SERHL2,5.02658,17.3606,9.03314,0.700095,22.6899,11.0643,0.0,1.11256,2.8854900000000003,3.41625,2.12248
SFRP1,35.3095,9.127289999999999,31.8986,7.5595,22.2943,12.4205,3.6155,0.0,7.01728,3.45491,5.5372900000000005
SIDT1,0.9090090000000001,2.2453,1.4220700000000002,0.9001629999999999,9.90997,4.10468,2.89244,2.77711,4.66646,4.39133,2.0698
SOX10,3.84721,7.360760000000001,0.0,0.780131,5.7557,3.3060300000000002,0.108668,0.023847,1.22571,0.8508389999999999,0.10395599999999999
SPDEF,0.141878,0.251675,0.7834220000000001,0.268385,3.26226,1.77865,0.191206,0.11919400000000001,0.378686,0.0780796,0.214666
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.10971800000000001,0.0,0.0,0.0,0.0,0.486325,4.1324
SPTLC2,28.7351,34.4548,44.3926,27.1889,47.5721,50.5338,58.4078,15.0217,104.515,49.8859,41.79600000000001
SRPX,12.4869,1.95249,5.55629,2.9674099999999997,14.9014,1.23219,0.0,1.9365900000000003,1.1670399999999999,4.5408,1.4254
TCF7L1,11.751,15.9373,21.8613,10.6981,18.4465,51.7263,8.26598,6.70851,16.0625,7.46634,9.74195
TFAP2B,1.18026,0.330716,0.418495,0.306106,5.71247,2.5493799999999998,19.4703,6.92479,0.0,0.547532,4.96422
THBS4,8.67223,2.8859,1.0911799999999998,13.8041,2.38517,0.667736,6.38352,4.33286,0.41319300000000003,32.1965,5.57063
TNFAIP8,5.97248,7.56284,9.78406,22.5981,9.13379,12.4301,10.5429,12.5995,18.8236,20.2453,19.1099
TNFSF10,24.8142,23.8705,6.811710000000001,15.7083,39.5965,14.402000000000001,35.5034,7.56815,48.8902,17.3422,73.0496
TRIM68,7.67148,2.62711,0.781292,2.11095,3.06494,4.73203,0.0,4.91971,1.68145,1.25878,0.502216
TSC22D3,7.24202,4.91444,8.16817,2.68451,52.071999999999996,3.04296,12.0391,13.0211,12.245,6.35501,2.8311599999999997
UBD,0.0,0.0,0.0,5.77332,0.0,6.246659999999999,80.8682,0.0,12.4107,20.2151,188.513
UGT2B28,0.0,0.0,0.573986,0.0,2.56628,0.0,0.052959900000000004,8.16426,0.08589010000000001,1.55169,0.679177
XBP1,26.3139,47.1995,43.428000000000004,41.7376,159.843,60.9409,38.7536,36.2975,57.6415,81.4529,61.7748
ZCCHC24,0.75321,0.869927,0.9831700000000001,0.259422,1.6559099999999998,0.18821300000000002,0.0,0.14769100000000002,0.0,0.41810299999999995,0.12222000000000001
