gene_short_name,V515-06187-A1,TNT-214,TNT-195,17-00258-5_S5Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,TNT-24,TNT-56,17-00280-7_S4Aligned_cufflinks,TNT-98,TNT-194,TNT-208
MID1,36.2366,32.5246,16.7236,12.8176,38.3648,24.9344,17.1153,1.8419299999999998,26.0626,20.3668,26.7608
MYBL1,4.603619999999999,25.1219,57.5484,40.251999999999995,14.6385,50.6087,15.0244,3.99811,4.37374,10.1981,6.4873400000000006
NEK2,17.1321,72.595,22.1877,14.2971,9.50352,7.708189999999999,25.9521,16.8509,6.4425300000000005,25.116,4.71088
NTN3,0.023557599999999998,0.0,0.0,0.029489799999999997,0.0290064,0.0,0.0,0.0959572,0.0,0.0,0.0
OGN,1.27872,2.94053,40.6724,4.57913,8.20645,7.165780000000001,48.4188,1.52814,30.8342,18.5507,5.90913
PI3,0.0,0.0,0.19831500000000002,0.0,1.08444,0.310929,0.792696,0.167212,24.7948,0.8458530000000001,0.538994
PLEKHB1,14.583,3.27526,0.389207,13.993,5.81267,3.86976,0.0,1.5825799999999999,0.0,3.57226,0.41071899999999995
PMAIP1,1.6239299999999999,0.0,2.54785,2.15123,1.60111,2.36075,0.0,1.77395,0.0,3.5289800000000002,0.108547
PSMB9,0.0,21.5042,22.4078,0.0,9.59711,49.1147,5.67696,0.0,22.5962,10.4857,10.6131
PTGDS,1.49063,2.59815,17.0388,7.08018,8.94655,2.5061,3.40536,5.35736,9.09855,0.669607,7.60203
RARRES3,10.7933,11.8512,39.2069,23.5313,5.33786,45.1789,35.2318,45.1096,32.007,7.320310000000001,59.575
RTP4,0.772275,2.50685,2.39704,3.0802400000000003,0.359175,8.94065,0.165472,3.0403599999999997,1.8151,2.22149,0.763183
S100A1,196.638,11.3813,8.99812,179.938,43.4994,88.1761,0.0,1.5461799999999999,0.38298899999999997,19.5795,12.8427
S100A7,6.579160000000001,2.55438,10.7501,0.36102399999999996,1.15754,4.37861,11.3459,1.52681,55.8724,0.538471,0.836478
S100A8,3.4999599999999997,0.49825600000000003,16.3063,2.18289,2.80385,6.0969,30.4107,28.2072,18.9458,6.44369,3.90436
SCRG1,23.221999999999998,5.00511,5.83464,5.63925,5.63649,8.62836,0.0,0.11776500000000001,0.540506,56.2852,1.54064
SEMA3C,89.189,11.3266,37.1668,11.4289,113.926,11.163,104.979,21.9289,61.4877,8.37491,89.8808
SERHL2,5.02658,1.6351200000000001,1.57418,14.0748,3.74914,1.56208,12.1442,72.8702,8.79175,5.66259,23.9761
SFRP1,35.3095,25.2839,5.8487599999999995,20.2949,15.0663,22.0046,4.7891900000000005,0.32416300000000003,3.23093,9.52922,2.9735099999999997
SIDT1,0.9090090000000001,4.16664,4.88103,6.00681,1.31951,3.34404,24.3258,22.2534,18.52,0.8704559999999999,17.9819
SOX10,3.84721,0.46237700000000004,1.4996399999999999,10.7546,6.6931199999999995,3.58091,0.0,0.0778642,0.545676,1.39412,0.20005799999999999
SPDEF,0.141878,0.552673,1.43333,0.68243,0.09151419999999999,0.433642,1.59912,12.1178,0.787379,0.123991,4.01216
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.35722600000000004,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,58.1008,44.4492,36.547,40.6082,59.4068,52.2154,55.1443,27.576,19.9639,177.357
SRPX,12.4869,0.9009450000000001,13.5443,3.4638,11.5373,5.288819999999999,5.61139,1.21131,3.13155,5.00084,2.6516
TCF7L1,11.751,5.4955300000000005,6.93266,9.43708,9.27533,13.9768,5.5587599999999995,5.660909999999999,6.33703,26.9459,4.7443
TFAP2B,1.18026,0.0,4.9751,0.438146,0.435733,0.23612399999999997,34.3267,14.087,1.95417,2.1715299999999997,63.8229
THBS4,8.67223,9.84095,19.324,5.44268,12.4065,4.62645,23.8532,4.36571,5.17795,16.24,17.0684
TNFAIP8,5.97248,15.2486,63.4308,14.6041,8.940669999999999,29.7009,38.1764,16.454,32.1947,15.6913,34.1046
TNFSF10,24.8142,16.9577,44.5186,16.7985,11.2988,125.454,102.78,132.384,88.3038,19.8522,26.7468
TRIM68,7.67148,2.6401,2.8009,3.2025099999999997,3.88962,3.02313,0.825205,8.45792,3.16214,4.0406699999999995,2.18424
TSC22D3,7.24202,7.05311,30.3757,11.6497,47.9913,28.3699,28.3239,9.54262,13.0232,20.4103,32.9086
UBD,0.0,28.6271,22.4284,0.0,0.0,82.3521,13.7983,0.0,90.6399,8.18793,13.3971
UGT2B28,0.0,0.0,0.0,0.0,0.0,0.0,4.225169999999999,0.10263800000000001,0.0,1.8360400000000001,1.10677
XBP1,26.3139,46.6396,124.742,61.1886,32.6882,91.0118,65.331,304.504,162.27700000000002,31.2455,148.80200000000002
ZCCHC24,0.75321,0.00335999,1.40477,1.27759,1.4920799999999999,1.52345,0.152013,0.520663,0.351353,0.122868,1.13434
