gene_short_name,V515-06187-A1,17-00252-2_S13Aligned_cufflinks,TNT-304,TNT-113,TNT-157,TNT-105,TNT-277,TNT-158,TNT-133,17-00141-7_S14Aligned_cufflinks,TNT-177
SIDT1,0.9090090000000001,21.9994,1.73806,19.857,5.13203,7.382060000000001,24.6341,0.340445,19.9844,5.71251,0.0
SOX10,3.84721,0.07534919999999999,0.549191,0.11274300000000001,0.515416,0.136748,0.0,3.99361,0.0,5.33047,1.8337
SPDEF,0.141878,26.3392,0.485162,0.0,0.35286799999999996,0.17005699999999999,0.146751,0.803342,3.02298,1.26166,0.0
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,12.3582,0.0,0.0,0.0
SPTLC2,28.7351,45.0153,22.3435,30.3911,23.1361,17.4526,43.5769,48.0065,69.4324,37.3209,17.4346
SRPX,12.4869,2.65072,1.7645400000000002,1.4795399999999999,3.4083,1.8690799999999999,6.43555,3.1099900000000003,4.51251,4.7557599999999995,8.21848
TCF7L1,11.751,5.74571,9.31606,33.2491,19.2652,7.84506,1.6715,23.0176,1.12875,12.9167,12.356
TFAP2B,1.18026,22.5216,0.318333,0.0,0.0,3.45665,8.63893,0.6508619999999999,19.6431,2.2997099999999997,0.0
THBS4,8.67223,15.5802,5.10417,13.0656,10.2009,6.39966,20.1354,4.14394,129.305,0.9029379999999999,22.2968
TNFAIP8,5.97248,11.3768,31.3755,25.5365,37.2349,14.0833,99.2981,20.5731,6.36265,10.2742,10.7572
TNFSF10,24.8142,41.5292,16.7768,45.1035,37.5497,14.3237,34.8402,8.43641,49.6478,8.05405,37.211
TRIM68,7.67148,5.67096,1.0104600000000001,4.45127,0.6743640000000001,6.166530000000001,0.298528,3.30925,5.30821,5.42481,5.86097
TSC22D3,7.24202,17.9219,3.52469,4.5372900000000005,9.78657,1.22046,9.40428,1.1964700000000001,33.7243,12.8591,8.69121
UBD,0.0,0.0,5.88761,128.718,30.8208,11.7216,30.8867,3.13763,3.4039699999999997,0.0,26.4524
UGT2B28,0.0,1.4067,0.0,0.0,0.532721,22.5777,1.2680200000000001,1.31145,0.0,0.0,0.0
XBP1,26.3139,392.314,47.3865,91.84,51.8027,17.2361,32.9098,31.5778,168.671,63.0414,11.0742
ZCCHC24,0.75321,1.66041,0.0,0.0,1.2597399999999999,0.624831,0.173812,0.0,3.33165,3.65675,0.08366749999999999
