gene_short_name,V515-06187-A1,TNT-300,TNT-4,TNT-57,TNT-48,TNT-219,TNT-245,TNT-204,TNT-141,TNT-92,17-00099-0_S15_cufflinks
CYP4F8,0.048019099999999995,0.119626,27.8697,0.859841,2.12906,0.0,10.0754,0.254896,0.0,0.0470314,1.3096
DBI,412.371,118.947,273.298,123.693,191.773,76.507,37.6406,305.276,89.2729,62.0434,354.092
DEFB1,3.16262,17.0221,1.9527599999999998,0.23947399999999996,0.0,0.0,10.5864,2.1574400000000002,0.0,6.211,3.46354
DHCR24,38.1374,98.1209,25.3035,26.688000000000002,10.783,68.512,29.3965,9.13265,49.9297,18.6696,70.036
DUSP5,2.6614299999999997,4.9109,9.615960000000001,2.64648,4.1079300000000005,6.56814,5.5220400000000005,3.80245,20.0687,7.785639999999999,7.49855
FABP7,2.25652,0.577967,1.97922,33.7576,3.7808900000000003,0.0,0.0,0.529954,0.0,15.3098,0.0870091
FASN,124.609,30.4868,69.4728,20.7734,12.8,53.3196,1.73233,27.5321,74.7024,3.44193,50.4576
FGFR4,2.32432,2.06335,1.93565,0.19916,0.136404,0.0,0.0,7.755260000000001,0.0,0.5438390000000001,0.908697
FGL2,2.48121,5.92215,18.1586,3.20866,8.078710000000001,6.8079600000000005,11.3854,7.284560000000001,5.29114,13.8813,5.3003
FOXA1,1.38574,3.2480700000000002,44.0487,1.82645,1.29449,91.4593,18.2225,121.10799999999999,208.476,4.61343,1.55697
FOXC1,9.10755,25.3759,6.6412,53.8272,16.4598,0.735023,10.5082,5.1843699999999995,0.0,15.6674,26.2312
GABRP,8.66089,1312.73,3.7613199999999996,573.122,336.68199999999996,0.0,591.755,11.243,29.198,1884.93,7.995539999999999
GALNT7,12.4003,28.9779,29.7102,11.9499,12.8103,42.2046,38.4835,31.3368,26.2825,28.7253,22.436999999999998
GBP1,41.394,381.344,117.684,99.51100000000001,69.3219,95.0405,138.955,194.60299999999998,80.0908,144.004,69.2423
GCHFR,0.42253100000000005,0.0,0.344589,0.167516,0.571889,0.0,0.0,0.235974,0.0,0.154028,0.963942
GPR87,0.9514879999999999,1.8344,0.0,1.00728,10.7434,0.96726,2.33446,5.54019,1.5469700000000002,1.65936,0.738929
GZMB,1.4986,2.3361099999999997,1.33328,1.4836799999999999,0.42035500000000003,4.365419999999999,8.37932,5.68281,0.8169270000000001,12.6172,3.8167699999999996
HGD,4.21735,2.68364,6.88391,13.2817,0.0,5.92545,0.0,7.773969999999999,28.3891,2.84976,1.41826
HTRA1,91.2943,15.2161,291.691,72.1096,72.5206,58.4941,10.2875,28.7803,57.1879,40.4089,17.2681
IDO1,0.29142399999999996,58.7348,1.58873,1.98322,9.82597,11.2391,54.218999999999994,29.6198,0.0,3.5528699999999995,3.9772800000000004
IGFBP4,13.3498,0.976242,7.64763,4.93166,4.21509,2.90062,0.650443,1.63285,2.98923,2.38984,4.1304
IGHM,55.218999999999994,81.722,43.9422,31.8551,143.437,168.525,253.91299999999998,241.665,32.3916,68.2459,0.0
IGJ,20.0186,477.129,218.31,40.1732,427.30699999999996,240.695,224.59799999999998,968.825,151.69299999999998,224.46200000000002,285.552
IGKC,182.34599999999998,3901.31,980.865,1984.64,1551.45,8029.29,2347.46,3663.16,368.829,1125.71,13083.9
IL23A,0.049007300000000004,0.0811747,0.0,0.0454602,0.0,0.0,1.12968,0.0,0.0,0.239774,0.299525
