gene_short_name,V515-06187-A1,TNT-192,TNT-214,TNT-67,17-00113-4_S11_cufflinks,TNT-158,TNT-269,TNT-240,TNT-53,TNT-267,TNT-71
NEK2,17.1321,1.18318,72.595,0.0331213,35.7282,63.4262,19.2192,24.6302,78.344,0.0,51.1749
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499616,0.0,0.0
OGN,1.27872,69.8515,2.94053,133.8,9.560789999999999,27.0655,10.315999999999999,21.5396,18.1887,77.2047,12.4251
PI3,0.0,0.0,0.0,3.1659900000000003,14.1712,4.7016,1.10054,0.0,4.59305,0.0,5.31341
PLEKHB1,14.583,0.0,3.27526,2.2614400000000003,1.27312,9.21203,1.49254,0.0,0.313393,0.0,6.5829
PMAIP1,1.6239299999999999,0.0,0.0,1.3434700000000002,13.1758,0.0,4.10292,0.139094,3.4954300000000003,0.0,12.9616
PSMB9,0.0,9.184460000000001,21.5042,6.8512,0.0,8.527289999999999,11.1926,13.8639,6.66335,10.8514,5.38454
PTGDS,1.49063,5.05302,2.59815,3.62713,4.56134,0.41365100000000005,1.9471900000000002,0.945333,0.588428,4.4359,1.4413
RARRES3,10.7933,28.6045,11.8512,27.8473,5.6112,12.6827,17.6594,0.6503479999999999,7.36159,0.643687,12.5633
RTP4,0.772275,2.39055,2.50685,0.386714,3.38501,1.4921200000000001,2.94246,1.98636,2.7307099999999997,0.0,4.32465
S100A1,196.638,0.0,11.3813,0.8709809999999999,4.30015,24.8818,8.73881,4.30047,28.8386,0.0,0.8991629999999999
S100A7,6.579160000000001,48.571999999999996,2.55438,550.909,0.277898,0.0,2.95783,0.0,226.52700000000002,0.0,330.407
S100A8,3.4999599999999997,11.6298,0.49825600000000003,273.093,5.84994,0.47805200000000003,3.39661,9.6087,44.2431,7.82419,34.2738
SCRG1,23.221999999999998,0.0,5.00511,1.82312,0.0855807,10.0471,1.8791400000000003,0.2811,6.450019999999999,0.0,0.787397
SEMA3C,89.189,76.66199999999999,11.3266,97.1217,31.7723,60.6751,25.4501,0.5151819999999999,8.49986,22.9813,32.5338
SERHL2,5.02658,195.24099999999999,1.6351200000000001,17.4401,1.81287,0.80852,3.41625,0.0,0.96246,7.636589999999999,2.12248
SFRP1,35.3095,23.7525,25.2839,4.03949,1.9379099999999998,22.7723,3.45491,4.988169999999999,17.0348,0.0948535,5.5372900000000005
SIDT1,0.9090090000000001,5.42047,4.16664,8.95075,1.03892,0.340445,4.39133,2.4719,1.47696,14.4285,2.0698
SOX10,3.84721,0.141943,0.46237700000000004,0.0,1.62839,3.99361,0.8508389999999999,0.229275,2.81897,0.824018,0.10395599999999999
SPDEF,0.141878,2.99063,0.552673,3.88299,0.0,0.803342,0.0780796,0.0,0.029937599999999998,0.0,0.214666
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,12.3582,0.486325,0.0,0.0,0.0,4.1324
SPTLC2,28.7351,92.5973,58.1008,69.1719,37.4772,48.0065,49.8859,15.8622,25.3893,7.865289999999999,41.79600000000001
SRPX,12.4869,12.4008,0.9009450000000001,20.0714,4.32891,3.1099900000000003,4.5408,0.236994,1.37933,0.0,1.4254
TCF7L1,11.751,4.49596,5.4955300000000005,7.453639999999999,12.1978,23.0176,7.46634,33.1589,23.572,6.91885,9.74195
TFAP2B,1.18026,30.4718,0.0,29.399,0.300197,0.6508619999999999,0.547532,0.0,0.6125689999999999,53.7207,4.96422
THBS4,8.67223,94.5627,9.84095,26.4865,2.00873,4.14394,32.1965,0.373618,5.73771,1.26627,5.57063
TNFAIP8,5.97248,26.2559,15.2486,23.0743,12.079,20.5731,20.2453,15.1801,18.9355,29.2799,19.1099
TNFSF10,24.8142,58.4692,16.9577,33.9976,20.4693,8.43641,17.3422,34.5012,29.5446,1.91878,73.0496
TRIM68,7.67148,6.42502,2.6401,4.33092,2.78882,3.30925,1.25878,0.0,0.2459,0.0,0.502216
TSC22D3,7.24202,3.23766,7.05311,18.2428,6.2024,1.1964700000000001,6.35501,0.0,11.5905,0.0,2.8311599999999997
UBD,0.0,6.694189999999999,28.6271,4.5420300000000005,57.6173,3.13763,20.2151,29.6678,146.91,1.80293,188.513
UGT2B28,0.0,118.359,0.0,21.4999,0.0,1.31145,1.55169,0.018775299999999998,1.3952,0.0,0.679177
XBP1,26.3139,91.6678,46.6396,161.284,31.089000000000002,31.5778,81.4529,89.0039,37.965,5.91547,61.7748
ZCCHC24,0.75321,0.06784739999999999,0.00335999,2.91343,0.503292,0.0,0.41810299999999995,0.0,0.0592135,0.0,0.12222000000000001
