gene_short_name,V515-06187-A1,TNT-115,TNT-204,TNT-69,TNT-139,TNT-219,TNT-211,17-00160-1_S2Aligned_cufflinks,TNT-24,TNT-218,17-00143-5_S2Aligned_cufflinks
COL5A2,202.313,62.6035,44.7471,54.6831,97.3976,49.8738,8.718119999999999,114.544,150.156,6.21086,19.6112
CRAT,3.09639,2.79293,8.49002,5.31904,2.73225,3.7134699999999996,2.71205,20.0761,8.24192,0.5931930000000001,16.3546
CROT,17.2031,9.149460000000001,12.995999999999999,4.64999,11.9831,18.417,55.7176,6.76398,3.4378800000000003,12.5985,21.1097
CXCL10,2.29941,324.884,65.778,83.8667,66.1195,25.0919,26.1821,31.7238,216.143,39.2311,5.9346
CXCL11,0.642556,47.492,12.7703,1.3225,28.2921,4.67742,0.0,17.1679,61.4537,3.00026,1.10673
CXCL13,0.0413495,92.5893,12.2053,5.602609999999999,4.47169,13.2194,8.82121,5.12899,102.936,63.1377,4.2982
CYP4F8,0.048019099999999995,0.980398,0.254896,0.54584,0.0,0.0,0.0,0.0,0.444958,2.6428700000000003,3.67657
DBI,412.371,264.715,305.276,110.56,272.91700000000003,76.507,90.8411,180.298,169.278,52.9657,114.67399999999999
DEFB1,3.16262,4.61075,2.1574400000000002,0.0,0.762547,0.0,0.0,1.3347200000000001,2.59478,0.263783,12.7599
DHCR24,38.1374,12.9893,9.13265,10.5851,18.4995,68.512,0.45603599999999994,40.4215,37.4488,24.8616,140.125
DUSP5,2.6614299999999997,5.81537,3.80245,1.8848200000000002,7.58368,6.56814,2.08853,0.8976430000000001,10.3833,2.54009,5.98185
FABP7,2.25652,0.359381,0.529954,31.3579,4.85553,0.0,0.0475985,0.256128,0.489068,0.101355,0.0
FASN,124.609,5.79216,27.5321,5.368180000000001,26.8524,53.3196,7.09244,52.2629,41.3008,3.9148099999999997,264.185
FGFR4,2.32432,0.486908,7.755260000000001,3.41509,0.487249,0.0,0.0,0.592591,2.47027,1.14783,37.3663
FGL2,2.48121,9.94236,7.284560000000001,2.2448200000000003,4.2316199999999995,6.8079600000000005,29.2128,7.74095,8.67615,6.97558,0.907804
FOXA1,1.38574,1.13544,121.10799999999999,0.252733,8.97258,91.4593,0.0259267,1.38504,1.60243,0.06618439999999999,143.36
FOXC1,9.10755,14.4227,5.1843699999999995,33.4287,70.1013,0.735023,42.6333,48.0158,88.3583,33.0458,3.12932
GABRP,8.66089,284.178,11.243,723.575,663.0939999999999,0.0,174.106,347.089,896.727,1786.59,22.4545
GALNT7,12.4003,19.2697,31.3368,15.0502,16.3709,42.2046,26.8887,24.7308,24.1949,15.9673,59.9791
GBP1,41.394,455.04699999999997,194.60299999999998,128.634,219.584,95.0405,61.8333,183.03400000000002,317.85,121.512,23.1936
GCHFR,0.42253100000000005,0.49881499999999995,0.235974,0.0870739,0.0,0.0,0.0,0.0872098,0.28047300000000003,0.0,0.606169
GPR87,0.9514879999999999,0.799525,5.54019,2.20498,8.56737,0.96726,0.0,0.0774054,4.14233,1.34816,0.0
