gene_short_name,V515-06187-A1,TNT-208,TNT-204,TNT-49,17-00156-7_S13Aligned_cufflinks,TNT-223,17-00243-6_S9Aligned_cufflinks,TNT-299,TNT-265,TNT-134,TNT-44
GZMB,1.4986,12.2091,5.68281,7.11879,0.0,0.0,5.20754,1.1810200000000002,7.258210000000001,5.879519999999999,1.57691
HGD,4.21735,2.81248,7.773969999999999,0.0,509.63800000000003,98.4728,3.72477,5.35348,0.775345,0.0,2.59817
HTRA1,91.2943,73.8624,28.7803,33.8866,22.5573,36.1322,381.336,29.4327,9.89311,62.1455,135.477
IDO1,0.29142399999999996,9.37852,29.6198,0.588023,81.5059,0.0,3.1867799999999997,5.30639,21.2085,0.0,11.717
IGFBP4,13.3498,1.30095,1.63285,3.3940099999999997,0.0,0.03453219999999999,42.5683,0.510139,0.701976,5.52265,6.0380400000000005
IGHM,55.218999999999994,463.994,241.665,353.006,0.0,22.3816,0.0,3.53685,305.596,20.2621,50.9729
IGJ,20.0186,406.11300000000006,968.825,545.047,45.924,49.1445,501.588,33.8066,266.589,53.8699,252.016
IGKC,182.34599999999998,6576.43,3663.16,3743.13,5465.48,291.998,8367.3,90.5595,2069.78,1214.16,928.331
IL23A,0.049007300000000004,0.0,0.0,0.890747,0.0,0.241058,0.17344400000000001,0.44470299999999996,0.339316,0.0,0.0
IL33,0.8833290000000001,8.277989999999999,2.37094,0.0,0.0,0.690947,5.03543,0.618799,8.029069999999999,2.26428,10.2893
INPP4B,37.1722,29.8777,15.7299,34.4208,106.64399999999999,33.6431,31.7449,7.82662,25.6114,7.97554,35.38
ITM2A,5.13433,14.9446,35.1851,11.7709,0.0,1.07971,51.0475,10.8233,28.377,4.3337900000000005,43.8775
JAM2,11.2143,6.14658,6.6045300000000005,7.401839999999999,0.0,4.30702,29.0208,7.395589999999999,3.6322699999999997,8.43175,28.1835
KCNK5,7.320460000000001,0.20579099999999997,0.248838,0.0,1.21499,0.00994656,0.144255,0.9591649999999999,0.324207,2.40978,1.2931700000000002
