gene_short_name,V515-06187-A1,17-00160-1_S2Aligned_cufflinks,TNT-13,TNT-2,TNT-53,17-00149-2_S3_cufflinks,17-00252-2_S13Aligned_cufflinks,TNT-132,17-00166-3_S11Aligned_cufflinks,17-00214-4_S8Aligned_cufflinks,17-00118-2_S5Aligned_cufflinks
SCRG1,23.221999999999998,0.353705,12.1846,1.34104,6.450019999999999,0.00211499,0.0471849,0.0,0.663198,7.32965,0.0
SEMA3C,89.189,5.61644,51.7291,20.5534,8.49986,27.6404,158.167,24.1565,13.7459,55.6406,46.8309
SERHL2,5.02658,2.62127,0.36131199999999997,0.26018800000000003,0.96246,1.3887,399.14599999999996,9.62371,17.3606,2.18722,9.31367
SFRP1,35.3095,9.885769999999999,26.1441,0.346055,17.0348,19.715999999999998,0.42449799999999993,3.43042,9.127289999999999,16.7218,13.2394
SIDT1,0.9090090000000001,0.6342270000000001,0.557344,29.3222,1.47696,5.21851,21.9994,21.0521,2.2453,2.4102200000000003,21.2172
SOX10,3.84721,7.16494,0.79293,0.0,2.81897,0.28732800000000003,0.07534919999999999,0.0750195,7.360760000000001,7.533589999999999,6.1676
SPDEF,0.141878,0.302264,0.36596300000000004,4.22867,0.029937599999999998,0.506156,26.3392,4.62556,0.251675,0.147078,1.19861
SPRR1B,0.09447810000000001,0.52413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41108,0.0
SPTLC2,28.7351,49.6177,11.7933,51.4217,25.3893,62.1005,45.0153,15.6968,34.4548,25.4354,10.1009
SRPX,12.4869,1.60124,5.93244,2.93003,1.37933,38.6601,2.65072,7.88364,1.95249,3.6618199999999996,7.353160000000001
TCF7L1,11.751,12.7575,14.4279,2.31134,23.572,18.683,5.74571,2.5219400000000003,15.9373,7.433680000000001,15.4859
TFAP2B,1.18026,0.0538654,4.86966,1.6630099999999999,0.6125689999999999,9.60052,22.5216,18.4351,0.330716,1.03148,10.5496
THBS4,8.67223,0.485063,13.4366,9.77135,5.73771,15.0262,15.5802,13.3943,2.8859,2.33005,0.844511
TNFAIP8,5.97248,9.44032,6.384580000000001,42.9762,18.9355,17.7323,11.3768,58.0308,7.56284,10.1745,12.507
TNFSF10,24.8142,32.8667,38.3791,17.5029,29.5446,63.7544,41.5292,32.1512,23.8705,13.3069,13.4055
TRIM68,7.67148,0.76994,4.08395,5.19011,0.2459,0.46161800000000003,5.67096,2.88826,2.62711,1.6770900000000002,0.51408
TSC22D3,7.24202,9.99221,15.0742,39.5943,11.5905,95.8656,17.9219,25.4171,4.91444,11.9395,41.9399
UBD,0.0,0.0,1.8886900000000002,68.3213,146.91,0.0,0.0,15.0962,0.0,0.0,0.0
UGT2B28,0.0,0.0,0.567944,1.13481,1.3952,0.0,1.4067,260.887,0.0,0.163083,0.0
XBP1,26.3139,57.7395,29.0285,142.80700000000002,37.965,67.0486,392.314,90.569,47.1995,56.2418,82.6609
ZCCHC24,0.75321,0.34524299999999997,0.0,1.45581,0.0592135,5.41346,1.66041,2.47759,0.869927,1.6613799999999999,1.23345
