gene_short_name,V515-06187-A1,17-00214-4_S8Aligned_cufflinks,TNT-8,TNT-138,17-00105-7_S10_cufflinks,TNT-104,TNT-35,TNT-269,17-00131-5_S8Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks,TNT-322
CDC20,19.1111,13.8681,8.34843,7.318789999999999,2.38084,0.06501280000000001,6.233619999999999,10.3008,8.15222,24.4458,6.0292
CHI3L1,52.4824,43.1058,265.642,4.73091,4.30004,1.02785,8.07722,22.9312,168.771,49.4362,35.8325
COL2A1,124.822,38.3583,82.9299,28.685,0.613052,0.22212300000000001,0.182251,3.86954,0.035063699999999996,0.383356,53.7069
COL5A1,145.37,117.96799999999999,39.1658,104.083,145.623,47.013000000000005,63.0796,91.8004,11.9765,46.8246,112.95200000000001
COL5A2,202.313,94.7823,37.0824,180.77900000000002,236.74099999999999,87.7715,92.2053,109.73200000000001,14.2269,95.8911,161.19899999999998
CRAT,3.09639,9.62832,6.769639999999999,21.3933,10.8298,22.0853,21.7538,4.34124,1.26799,5.729019999999999,4.34071
CROT,17.2031,4.8099300000000005,4.73515,25.7858,13.6305,53.6453,11.1741,6.66257,5.52752,5.47545,12.2274
CXCL10,2.29941,17.2238,179.872,27.7287,3.5350699999999997,10.2874,75.8828,41.6064,58.1687,109.851,18.7623
CXCL11,0.642556,7.14727,6.863389999999999,11.7097,1.68925,3.13731,14.3433,5.55652,8.21909,38.6206,4.628769999999999
CXCL13,0.0413495,4.41918,9.364989999999999,47.9078,1.16042,1.0281799999999999,54.2101,13.0681,9.9852,10.1775,3.45115
CYP4F8,0.048019099999999995,0.0,1.05944,0.0,0.0,1.2353399999999999,21.2027,0.585101,0.0,0.0,0.319508
DBI,412.371,68.0057,205.30599999999998,140.30200000000002,24.5286,300.908,176.50900000000001,128.767,19.1439,139.231,322.902
DEFB1,3.16262,0.21700300000000003,0.372892,0.0,0.0,0.0,0.42481199999999997,1.8986299999999998,2.9607,1.1212799999999998,0.0
DHCR24,38.1374,48.2115,13.1796,10.8436,10.2971,43.5835,166.30900000000003,26.682,7.69733,35.2547,13.3313
DUSP5,2.6614299999999997,2.85197,6.2158,12.0054,7.9805600000000005,1.31806,12.0404,9.342319999999999,1.1767,2.6019,3.6230800000000003
FABP7,2.25652,1.79528,10.3147,3.49154,0.132922,1.60248,18.504,1.82876,0.609712,711.5219999999999,9.84249
FASN,124.609,46.6293,14.5119,84.7906,33.3583,68.8874,149.665,3.1549400000000003,141.922,37.527,4.11901
FGFR4,2.32432,1.46328,2.5085599999999997,0.23881999999999998,6.27721,9.378739999999999,7.897930000000001,0.270629,0.555021,0.468103,1.26775
FGL2,2.48121,3.71159,6.19449,8.125810000000001,1.65977,9.87236,12.85,7.5293600000000005,9.03785,7.09258,4.80815
FOXA1,1.38574,0.913379,0.161866,0.9089700000000001,2.09953,106.805,67.0924,1.54293,0.399233,5.58076,3.72445
FOXC1,9.10755,62.6473,26.6282,22.5072,8.20116,1.76016,3.63065,19.7763,71.1802,15.7271,53.1081
GABRP,8.66089,38.9273,672.327,866.449,25.1786,7.01519,16.394000000000002,834.3860000000001,192.75900000000001,110.37299999999999,9.75716
GALNT7,12.4003,22.3963,18.8899,6.7878,11.0325,359.37,35.5447,18.4089,13.0624,33.2821,8.96135
GBP1,41.394,330.43199999999996,109.555,235.575,291.445,36.3345,150.278,201.665,226.399,132.468,72.4958
GCHFR,0.42253100000000005,0.469542,0.0,0.11525099999999999,0.0,0.200914,0.266475,0.0,0.589551,0.294779,0.0
GPR87,0.9514879999999999,0.20525100000000002,0.0,0.255178,0.160558,0.679588,0.895159,1.8530900000000001,1.2016200000000001,0.632517,0.811492
GZMB,1.4986,3.3492,4.6982,1.4718200000000001,1.21038,4.66964,24.6299,3.4740900000000003,5.461040000000001,3.9503199999999996,2.85827
HGD,4.21735,4.26171,0.0,1.58196,10.300999999999998,0.0,65.5599,2.32145,0.948775,0.353446,0.723087
HTRA1,91.2943,68.2334,19.4989,69.6612,146.35299999999998,55.0878,92.7031,76.2697,5.30595,40.5043,89.2861
IDO1,0.29142399999999996,22.6298,56.6511,5.92848,1.67701,6.65627,32.8161,7.54905,17.0065,30.934,2.73532
IGFBP4,13.3498,20.0795,3.1655900000000003,3.7754300000000005,52.3011,1.3245,4.31,0.457959,2.89407,8.82504,1.5095299999999998
IGHM,55.218999999999994,0.0,109.855,2048.59,0.0,62.7591,1198.52,44.5514,145.031,0.0,22.8218
IGJ,20.0186,94.8326,60.6776,667.293,234.137,363.991,1876.16,195.93099999999998,34.6306,113.14200000000001,90.7233
IGKC,182.34599999999998,5541.41,695.666,12117.4,3004.06,1291.64,9549.54,5166.69,2381.84,1150.07,4574.11
IL23A,0.049007300000000004,0.0,0.0,0.0,0.0,0.0,1.05001,0.0,0.157318,6.55169,0.175262
IL33,0.8833290000000001,0.15948800000000002,0.914559,0.0,2.46716,9.4019,5.4115400000000005,1.73481,1.05634,2.2137700000000002,1.3740299999999999
INPP4B,37.1722,11.7989,4.79361,16.7371,30.0611,22.5329,51.7312,9.697569999999999,6.39065,6.02461,11.0585
ITM2A,5.13433,2.32602,2.28009,42.6476,19.0463,22.7929,65.8933,9.52181,12.5426,9.43338,8.41023
JAM2,11.2143,4.97098,7.85367,0.342646,18.7018,17.7037,10.3561,9.30236,1.4881,5.72804,14.3878
KCNK5,7.320460000000001,4.70967,1.41812,1.8769900000000002,2.18497,0.138828,0.263253,0.729846,3.6835400000000003,0.511742,1.8551400000000002
KIAA1324,6.46799,13.901,21.9507,10.5216,1.93052,94.4477,43.7592,15.4293,2.73313,5.38614,44.5245
KMO,1.44589,5.3916,14.9334,21.1807,0.752159,84.6825,32.8196,4.17707,9.83803,4.13572,7.929060000000001
