gene_short_name,V515-06187-A1,TNT-265,TNT-53,17-00103-7_S3Aligned_cufflinks,17-00156-7_S13Aligned_cufflinks,TNT-224,TNT-289,TNT-4,17-00165-0_S10Aligned_cufflinks,TNT-259,TNT-240
FASN,124.609,22.6256,10.4043,48.321000000000005,38.7403,2.27257,7.68728,69.4728,103.23200000000001,1.18795,2.22264
FGFR4,2.32432,0.794633,0.23045100000000002,1.37858,21.8094,1.20116,5.34385,1.93565,2.18025,0.335385,0.0
FGL2,2.48121,6.590339999999999,5.875319999999999,12.1423,5.3298,5.29089,3.17752,18.1586,11.3333,6.70472,1.62754
FOXA1,1.38574,3.09199,0.2382,4.26885,0.0,35.7877,0.742095,44.0487,2.3287299999999997,0.319283,0.212673
FOXC1,9.10755,34.8431,34.1132,16.9357,41.8526,9.267430000000001,60.9547,6.6412,49.3215,3.57756,75.5876
GABRP,8.66089,447.85699999999997,837.778,589.325,467.371,0.360717,23.4685,3.7613199999999996,213.666,740.4110000000001,316.714
GALNT7,12.4003,11.2769,12.0992,18.8425,0.0,97.6033,4.23746,29.7102,30.3282,9.15928,14.0325
GBP1,41.394,268.497,169.81099999999998,204.12400000000002,0.0,95.76700000000001,208.94299999999998,117.684,174.017,218.737,470.39300000000003
GCHFR,0.42253100000000005,0.19162,0.0,0.28362,0.0,0.12175799999999999,0.223262,0.344589,0.13203900000000002,0.0,0.0
GPR87,0.9514879999999999,0.251076,0.6578970000000001,0.08576389999999999,0.0,5.18365,0.7766390000000001,0.0,0.09515549999999999,7.69994,0.10629200000000001
GZMB,1.4986,7.258210000000001,5.61985,6.384930000000001,0.0,3.7382199999999997,0.21130300000000002,1.33328,23.5314,32.7245,54.2343
HGD,4.21735,0.775345,0.533701,1.21189,509.63800000000003,6.23131,1.87352,6.88391,1.4383299999999999,5.68914,0.041827699999999995
HTRA1,91.2943,9.89311,18.0935,113.456,22.5573,140.532,82.6346,291.691,52.5467,40.9797,6.5399400000000005
IDO1,0.29142399999999996,21.2085,14.6102,8.94561,81.5059,23.0307,0.400109,1.58873,16.5229,56.6019,3.4327
IGFBP4,13.3498,0.701976,2.04998,19.3841,0.0,1.9677200000000001,2.9954099999999997,7.64763,20.4877,0.43888299999999997,0.0745325
IGHM,55.218999999999994,305.596,45.6794,362.51599999999996,0.0,13.8008,8.20091,43.9422,0.0,136.843,597.3530000000001
IGJ,20.0186,266.589,140.38299999999998,336.337,45.924,39.1471,3.92075,218.31,254.797,120.395,100.61200000000001
IGKC,182.34599999999998,2069.78,503.449,5557.59,5465.48,711.2360000000001,59.211000000000006,980.865,9760.16,1516.83,7653.8
IL23A,0.049007300000000004,0.339316,0.253118,0.0,0.0,0.06553610000000001,0.0,0.0,0.15506,0.0,0.0
IL33,0.8833290000000001,8.029069999999999,0.556894,3.6510000000000002,0.0,0.255235,0.9259370000000001,5.825130000000001,5.68884,0.602038,0.268377
INPP4B,37.1722,25.6114,7.195010000000001,15.0117,106.64399999999999,29.1727,1.9416799999999999,26.069000000000003,32.4208,13.6166,8.53091
ITM2A,5.13433,28.377,12.1728,12.7233,0.0,7.06133,4.83082,15.3956,23.9956,18.4724,0.10563199999999999
JAM2,11.2143,3.6322699999999997,4.91331,8.33709,0.0,12.0033,13.9681,17.8065,11.0835,2.31682,0.0881896
