gene_short_name,V515-06187-A1,TNT-186,17-00243-6_S9Aligned_cufflinks,17-00122-1_S1_cufflinks,17-00252-2_S13Aligned_cufflinks,TNT-269,TNT-111,17-00143-5_S2Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-272,17-00110-9_S15Aligned_cufflinks
SFRP1,35.3095,22.215999999999998,6.72849,0.7392770000000001,0.42449799999999993,3.45491,2.2210799999999997,0.5283640000000001,0.9832989999999999,6.14424,11.7983
SIDT1,0.9090090000000001,4.6348199999999995,9.63895,11.5365,21.9994,4.39133,22.7282,14.89,2.97838,1.06168,26.2512
SOX10,3.84721,1.85598,1.24586,1.4270100000000001,0.07534919999999999,0.8508389999999999,0.122019,0.0,0.0116108,1.368,13.8201
SPDEF,0.141878,1.47995,2.54524,1.55112,26.3392,0.0780796,8.59881,15.935,0.0,0.026523900000000003,10.8008
SPRR1B,0.09447810000000001,0.0,0.10835,10.5353,0.0,0.486325,0.0,0.0,0.0649554,0.0,0.0
SPTLC2,28.7351,30.6768,28.4852,11.985,45.0153,49.8859,153.029,94.7651,34.5352,34.3879,18.5445
SRPX,12.4869,11.4884,14.706,4.18922,2.65072,4.5408,9.55792,0.776788,2.21329,1.3637,0.814167
TCF7L1,11.751,17.1422,10.1506,29.4036,5.74571,7.46634,3.0540700000000003,14.8675,7.3748,36.1423,26.4978
TFAP2B,1.18026,0.129733,6.80933,0.117817,22.5216,0.547532,60.1361,34.9977,1.80719,0.162396,19.6334
THBS4,8.67223,28.225,12.7354,7.5362800000000005,15.5802,32.1965,24.2651,0.592485,3.8008699999999997,5.2676300000000005,2.78039
TNFAIP8,5.97248,3.41552,14.1535,13.5491,11.3768,20.2453,12.6779,7.87435,11.0254,15.1367,10.863
TNFSF10,24.8142,29.4987,35.1596,12.4991,41.5292,17.3422,20.7587,18.7849,45.96,22.141,10.6811
TRIM68,7.67148,8.30637,2.74792,2.71829,5.67096,1.25878,7.69963,6.18412,5.43264,3.4083900000000003,4.71341
TSC22D3,7.24202,1.6837,25.3356,1.8407099999999998,17.9219,6.35501,47.5759,43.2554,6.84425,8.29544,6.786910000000001
UBD,0.0,3.0822700000000003,15.4556,0.0,0.0,20.2151,1.09897,0.0,0.0,130.505,0.0
UGT2B28,0.0,0.0,0.44190799999999997,0.0,1.4067,1.55169,259.096,0.0956985,0.0,0.09635139999999999,0.0
XBP1,26.3139,24.5811,91.5877,41.883,392.314,81.4529,180.636,330.69699999999995,66.946,51.9931,58.4986
ZCCHC24,0.75321,0.581619,2.24439,0.204038,1.66041,0.41810299999999995,2.02662,0.28010100000000004,1.10658,0.159236,0.532574
