gene_short_name,V515-06187-A1,TNT-71,TNT-321,TNT-223,TNT-6,TNT-299,TNT-282,17-00149-2_S3_cufflinks,17-00097-1_S9_cufflinks,17-00157-0_S11Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks
CRAT,3.09639,6.561939999999999,1.25434,26.14,270.69,4.597519999999999,1.76532,24.4152,8.16269,4.3305,5.729019999999999
CROT,17.2031,5.04884,5.05084,24.6569,71.4203,13.238,17.5883,2.63143,4.92995,4.56994,5.47545
CXCL10,2.29941,219.018,166.33700000000002,1.15513,6.60035,37.0993,44.8489,49.8271,14.6049,2.0649,109.851
CXCL11,0.642556,11.3213,8.00378,2.02828,0.934983,5.7525699999999995,6.8698,13.9609,2.5685700000000002,0.506209,38.6206
CXCL13,0.0413495,29.1612,31.7095,0.10202699999999999,1.54946,4.014880000000001,41.0339,13.0693,3.01473,4.07947,10.1775
CYP4F8,0.048019099999999995,0.0,0.45900799999999997,12.2088,30.0292,2.01316,8.548969999999999,0.0,0.234377,0.0,0.0
DBI,412.371,162.036,37.7055,128.19,646.11,210.795,94.6861,98.0767,170.882,133.718,139.231
DEFB1,3.16262,34.9808,0.0,0.7604770000000001,0.0,1.58477,39.0385,1.7242400000000002,0.0,1.31565,1.1212799999999998
DHCR24,38.1374,41.8574,2.13481,62.6917,231.222,7.01083,103.38,13.2626,44.06100000000001,36.7396,35.2547
DUSP5,2.6614299999999997,3.61122,0.626178,13.9662,20.7856,4.161490000000001,1.47901,5.49924,3.6152800000000003,7.80812,2.6019
FABP7,2.25652,0.7407279999999999,0.5947180000000001,0.776385,461.68699999999995,8.852910000000001,254.77900000000002,1.9464400000000002,0.060764,19.8938,711.5219999999999
FASN,124.609,7.28892,2.64205,15.5662,619.2719999999999,2.40165,13.0917,63.1845,57.3003,77.9457,37.527
FGFR4,2.32432,0.162787,1.1440700000000001,5.66742,23.8482,2.10462,0.356516,0.9911909999999999,2.04738,0.9193459999999999,0.468103
FGL2,2.48121,4.60607,7.86768,4.23182,2.74346,4.40214,10.6796,22.3538,2.54605,4.94528,7.09258
FOXA1,1.38574,5.15771,1.4144299999999999,79.9745,193.55200000000002,1.74342,6.46327,8.119439999999999,0.09799169999999999,2.59678,5.58076
FOXC1,9.10755,27.0297,1.81013,0.369856,3.31141,41.9665,17.1276,8.852730000000001,65.4708,22.169,15.7271
GABRP,8.66089,664.1030000000001,36.8389,0.0315845,0.739897,3.8757300000000003,471.699,9.4546,7.864789999999999,12.7787,110.37299999999999
GALNT7,12.4003,30.12,20.0622,515.1030000000001,166.072,14.0614,26.6716,43.6994,7.85755,16.9598,33.2821
GBP1,41.394,69.4365,96.45,33.577,72.8056,101.95700000000001,203.558,113.411,84.0119,33.4805,132.468
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.5545329999999999,0.0,0.0,0.28915599999999997,0.42294,0.333965,0.294779
GPR87,0.9514879999999999,1.21789,0.0,2.6789,0.480814,3.18233,2.89692,0.07313430000000001,0.0,0.58282,0.632517
GZMB,1.4986,4.58183,1.34449,0.0,0.835723,1.1810200000000002,3.2459599999999997,21.1877,1.86027,4.43361,3.9503199999999996
HGD,4.21735,4.08314,0.0,98.4728,22.4211,5.35348,10.2078,19.0091,0.17512,5.07111,0.353446
HTRA1,91.2943,21.8461,8.17597,36.1322,151.88,29.4327,4.14392,142.372,44.1674,120.1,40.5043
IDO1,0.29142399999999996,4.2683,10.8723,0.0,3.83281,5.30639,39.4807,95.1002,4.31044,0.7165699999999999,30.934
IGFBP4,13.3498,2.86954,0.201905,0.03453219999999999,6.3947,0.510139,0.515297,90.76100000000001,7.9226399999999995,25.3081,8.82504
IGHM,55.218999999999994,232.99900000000002,12.2838,22.3816,37.4842,3.53685,466.11400000000003,0.0,0.0,37.0321,0.0
IGJ,20.0186,506.164,73.5181,49.1445,13.2475,33.8066,419.336,242.19299999999998,23.1658,39.9957,113.14200000000001
IGKC,182.34599999999998,2492.68,261.971,291.998,532.116,90.5595,4173.32,1951.67,5865.29,412.756,1150.07
IL23A,0.049007300000000004,0.520363,0.0,0.241058,0.130425,0.44470299999999996,0.0,0.0,0.0,0.059104899999999995,6.55169
IL33,0.8833290000000001,3.52311,0.654726,0.690947,1.10622,0.618799,7.39602,8.54754,0.470318,3.79564,2.2137700000000002
INPP4B,37.1722,8.29696,6.40754,33.6431,45.7751,7.82662,3.2087,41.3692,25.3966,15.8445,6.02461
ITM2A,5.13433,17.6113,8.807739999999999,1.07971,25.4941,10.8233,28.7268,21.2462,5.86859,12.4601,9.43338
JAM2,11.2143,6.04114,21.0118,4.30702,8.80717,7.395589999999999,1.8003799999999999,35.404,2.99247,11.2515,5.72804
