,gene_short_name,V515-06187-A1,17-00160-1_S2Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-231,TNT-208,TNT-154,17-00141-7_S14Aligned_cufflinks,TNT-45,TNT-209,TNT-240,TNT-115
21,CXCL11,0.642556,17.1679,2.56857,14.1107,2.78925,4.87385,0.511637,13.4844,11.491,44.9543,47.492
22,CXCL13,0.0413495,5.12899,3.01473,52.2161,13.4793,0.332221,0.10165,1.80252,48.6593,91.6347,92.5893
23,CYP4F8,0.0480191,0.0,0.234377,0.010545,11.5078,0.0,0.0,0.113976,0.0,0.0414823,0.980398
24,DBI,412.371,180.298,170.882,105.985,363.298,147.326,41.5496,61.8241,62.2924,118.743,264.715
25,DEFB1,3.16262,1.33472,0.0,6.56505,1.37071,0.0,0.928965,0.17211,7.68559,0.0,4.61075
26,DHCR24,38.1374,40.4215,44.061,52.1513,112.684,11.695,8.79103,6.56267,12.4287,0.817277,12.9893
27,DUSP5,2.66143,0.897643,3.61528,12.2249,13.306,2.10403,9.1031,2.98412,13.6718,19.3721,5.81537
28,FABP7,2.25652,0.256128,0.060764,0.166318,0.301185,0.357028,0.729541,19.2089,0.385028,0.665736,0.359381
29,FASN,124.609,52.2629,57.3003,11.447,9.89772,52.6081,110.826,7.90951,2.64918,2.22264,5.79216
30,FGFR4,2.32432,0.592591,2.04738,0.0,0.446859,0.327716,1.23672,0.676813,0.229108,0.0,0.486908
31,FGL2,2.48121,7.74095,2.54605,11.6829,6.86792,4.60628,2.91686,2.29528,18.6347,1.62754,9.94236
32,FOXA1,1.38574,1.38504,0.0979917,107.32,139.02,0.0,22.9237,4.18446,0.921874,0.212673,1.13544
33,FOXC1,9.10755,48.0158,65.4708,5.24262,2.76586,26.0512,18.3546,82.3449,6.7351,75.5876,14.4227
34,GABRP,8.66089,347.089,7.86479,40.2214,2.12072,827.906,145.533,429.953,463.373,316.714,284.178
35,GALNT7,12.4003,24.7308,7.85755,45.0253,67.8158,27.9426,17.1514,34.2443,15.0174,14.0325,19.2697
36,GBP1,41.394,183.034,84.0119,82.1542,105.891,106.422,92.1187,124.809,181.239,470.393,455.047
37,GCHFR,0.422531,0.0872098,0.42294,0.0,0.306355,0.0,0.0,0.342741,0.152916,0.0,0.498815
38,GPR87,0.951488,0.0774054,0.0,0.0,0.183902,7.91863,0.0,3.55765,0.611755,0.106292,0.799525
39,GZMB,1.4986,3.31634,1.86027,4.58215,12.2091,16.5766,0.557907,3.96746,12.1013,54.2343,7.92905
40,HGD,4.21735,0.248937,0.17512,6.21582,2.81248,0.0,3.67167,0.926136,0.0,0.0418277,1.74789
41,HTRA1,91.2943,38.5339,44.1674,30.4542,73.8624,15.4234,106.556,23.6414,4.80522,6.53994,27.1148
42,IDO1,0.291424,9.38429,4.31044,86.3031,9.37852,0.0,0.683896,4.55117,40.1029,3.4327,35.7412
43,IGFBP4,13.3498,3.68364,7.92264,2.07548,1.30095,0.0520306,37.1521,0.610431,0.523827,0.0745325,0.507902
44,IGHM,55.219,261.798,0.0,483.259,463.994,104.776,0.0,60.1804,143.454,597.353,497.514
45,IGJ,20.0186,93.7332,23.1658,690.221,406.113,46.9569,196.381,113.147,278.422,100.612,970.496
46,IGKC,182.346,3271.85,5865.29,7960.46,6576.43,1253.87,2241.32,5655.79,1074.44,7653.8,13844.9
47,IL23A,0.0490073,0.0419799,0.0,0.0,0.0,0.0,0.239204,0.226546,0.0,0.0,0.353477
48,IL33,0.883329,0.236836,0.470318,10.9333,8.27799,0.0,1.8586,0.455691,11.9004,0.268377,1.235
49,INPP4B,37.1722,7.95597,25.3966,81.5535,29.8777,27.0667,25.1375,10.6943,56.2819,8.53091,21.6641
50,ITM2A,5.13433,8.61838,5.86859,66.1656,14.9446,0.0,6.32241,7.11034,31.2676,0.105632,24.0371
51,JAM2,11.2143,3.97655,2.99247,1.47935,6.14658,0.476561,10.662,6.61829,8.83228,0.0881896,3.7899
52,KCNK5,7.32046,4.97692,2.19827,0.587631,0.205791,0.0198674,1.93303,2.44618,0.888863,0.107842,0.3558
53,KIAA1324,6.46799,0.90376,0.469548,8.24147,109.379,3.67492,4.31167,47.721,7.93069,10.908,1.5275
54,KMO,1.44589,3.05037,5.2506,10.9062,9.14121,0.0,3.59431,5.06744,15.3557,2.61844,5.41624
55,KRT14,118.371,0.909254,62.9592,2.55607,0.181523,22.4748,36.7775,3.86085,2.35315,0.409527,0.551354
56,KRT16,91.0343,36.6867,26.2046,1.04947,3.55465,48.4438,53.5803,16.9141,18.1525,0.552605,9.47135
57,KRT17,105.347,137.314,9.91211,55.7271,0.600122,146.226,207.128,73.8602,14.5962,2.04527,2.63747
58,KRT6A,54.2242,10.3745,5.23452,386.178,8.43293,83.6546,95.3601,8.03037,23.0089,1.48816,4.88946
59,KRT6B,86.6584,105.963,3.50011,18.7064,0.298235,216.348,46.9562,63.3655,35.6332,1.18657,4.74016
60,KYNU,14.7879,6.34854,5.392,78.1365,26.8288,9.76652,4.16904,11.9074,20.5119,25.463,10.3495
61,LBP,0.573258,0.24971,0.652367,6.15042,3.46219,10.0094,0.0597122,0.496781,0.266536,0.0,1.52584
62,LHFP,2.0952,0.461709,0.932149,1.33739,2.59058,0.145005,3.25874,0.711071,0.986658,0.0,0.434194
63,MFAP4,1.60954,1.02248,0.288673,1.51408,6.0048,5.3912,13.5576,1.58376,1.31587,0.0449818,2.83094
64,MIA,21.0747,0.580011,0.845535,0.0,0.82752,0.0,9.90153,18.2909,2.02941,0.0,0.0
65,MID1,36.2366,11.5278,13.0013,82.5869,26.7608,0.0374986,32.269,26.6167,13.1301,0.157822,4.80063
66,MYBL1,4.60362,10.6239,88.7484,2.33652,6.48734,21.4126,16.2934,2.2844,20.9162,74.0125,40.5034
67,NEK2,17.1321,26.3562,23.2843,9.82627,4.71088,33.9301,11.1588,13.142,8.19896,24.6302,29.8304
