,gene_short_name,V515-06187-A1,TNT-1,TNT-296,17-00127-8_S3Aligned_cufflinks,17-00113-4_S11_cufflinks,17-00122-1_S1_cufflinks,TNT-105,17-00118-2_S5Aligned_cufflinks,TNT-30,TNT-65,TNT-299
0,ABCA8,1.07397,47.3435,12.0717,5.2732,15.3024,15.2547,31.9528,24.4092,3.5160400000000003,9.975389999999999,8.87917
1,ADRA2A,0.196819,0.120636,0.51861,0.0,1.17333,1.06565,0.0701431,3.19406,0.202828,0.0,0.321954
2,AKAP12,3.7524300000000004,4.00906,3.8555,1.2662,3.4871199999999996,3.36502,9.491489999999999,14.0568,9.44357,3.85601,8.3169
3,ALDH3B2,34.613,8.46557,2.50943,3.25937,0.0,19.7483,0.0,3.2972599999999996,10.5998,1.98891,2.22473
4,APOD,101.54799999999999,6.4374,16.3223,81.4037,364.67199999999997,39.0799,114.32,185.233,78.6344,88.1029,26.3483
5,ART3,19.2103,0.194101,4.89082,34.0727,34.7165,0.0,17.1801,0.0,2.3747,4.04652,47.8547
6,ASPN,31.1651,38.4711,13.9013,0.0,24.2658,22.2786,168.207,16.7672,73.809,110.46799999999999,14.6382
7,AZGP1,64.9749,13.4994,0.852334,195.738,1.9705,21.2686,9.073,72.8132,43.5564,93.0043,144.884
8,BLVRB,6.57613,23.8841,0.378983,0.0,1.3641299999999998,2.08356,0.431008,1.8396400000000002,4.9334,5.949330000000001,1.49672
9,C7,0.29143,0.277686,12.4669,0.0,1.0167,16.0706,5.95524,24.8705,0.511494,2.48137,4.52315
10,CCL5,1.03708,5.85725,2.0144,0.0,18.6956,0.0,6.4528300000000005,3.56215,4.70011,4.2336800000000006,6.02102
11,CD36,36.5005,12.6625,18.1203,0.0,17.7305,6.4267199999999995,49.5897,119.60700000000001,15.5684,140.793,80.6752
12,CD52,5.15236,28.6878,23.3851,0.0,10.3919,12.6459,19.3671,2.24641,11.0281,17.9,14.2911
13,CDC20,19.1111,10.419,21.6756,19.4809,13.2209,28.4023,3.94257,0.0,5.88238,10.3176,4.88095
14,CHI3L1,52.4824,5.10433,10.3386,3.8606199999999995,14.252,3.2886599999999997,5.77056,12.7697,52.7601,0.527097,21.8619
15,COL2A1,124.822,0.0,0.27657800000000005,9.34079,40.7805,5.51192,4.955830000000001,0.0,0.0929615,0.146536,8.712819999999999
16,COL5A1,145.37,136.494,16.8683,74.985,68.1556,105.51700000000001,51.5344,52.95,179.37900000000002,87.8912,36.7694
17,COL5A2,202.313,181.264,13.0316,26.139,101.402,45.6436,93.8971,24.6562,246.265,111.348,49.6448
18,CRAT,3.09639,8.602030000000001,1.49166,0.737631,2.69333,3.73345,3.66532,10.0312,4.45403,0.619898,4.597519999999999
19,CROT,17.2031,8.033710000000001,21.9133,21.1361,5.8188,34.0231,11.0311,11.6213,9.49973,9.344610000000001,13.238
20,CXCL10,2.29941,18.7691,12.8441,14.1618,26.4345,12.7818,20.2306,3.6803,24.6676,35.4013,37.0993
21,CXCL11,0.642556,4.29667,2.58412,0.0,5.58739,1.42336,4.0881099999999995,0.0,2.20598,3.02595,5.7525699999999995
22,CXCL13,0.0413495,16.4184,12.7154,0.0,7.414060000000001,12.3406,5.1081900000000005,0.0,7.550910000000001,0.0,4.014880000000001
23,CYP4F8,0.048019099999999995,0.0,0.800571,0.0,0.0,0.0,1.98386,0.0,0.0,0.00128774,2.01316
24,DBI,412.371,88.0907,92.3906,94.0731,79.2129,19.3784,33.3223,19.5872,185.61,415.849,210.795
25,DEFB1,3.16262,0.0,0.186356,0.0,0.0,1.33079,1.66839,0.0,3.46823,0.0,1.58477
26,DHCR24,38.1374,85.4416,7.1537,9.27006,4.51013,65.7614,4.70632,14.4419,21.093000000000004,52.2747,7.01083
27,DUSP5,2.6614299999999997,4.9567,7.56295,2.0363,2.2951200000000003,3.4757800000000003,2.66086,11.1119,5.77455,2.33399,4.161490000000001
28,FABP7,2.25652,0.0,41.4076,4.2431,7.1750300000000005,0.0,5.16667,0.428058,4.77493,2.0540000000000003,8.852910000000001
29,FASN,124.609,71.0935,8.639389999999999,36.2518,36.0866,97.7484,0.486821,23.8917,33.5896,10.7493,2.40165
30,FGFR4,2.32432,2.2993900000000003,0.749579,0.755862,0.484282,3.56694,0.5812229999999999,1.08178,2.3529,0.0,2.10462
31,FGL2,2.48121,4.36658,3.5620300000000005,0.059887300000000004,3.70126,3.0994599999999997,3.3641199999999998,3.5442400000000003,3.95632,6.2819400000000005,4.40214
32,FOXA1,1.38574,61.0078,30.7378,5.49379,1.0287899999999999,23.318,6.09365,90.0389,0.279061,37.9063,1.74342
33,FOXC1,9.10755,0.48579700000000003,15.1327,26.7646,44.431000000000004,52.0178,61.004,15.4442,28.9814,1.83015,41.9665
34,GABRP,8.66089,0.056124400000000005,85.2671,223.362,461.20599999999996,191.482,176.33599999999998,123.86,193.312,0.0,3.8757300000000003
35,GALNT7,12.4003,42.6968,17.9387,27.8541,17.6967,29.3886,29.8458,17.0883,6.88271,28.8918,14.0614
36,GBP1,41.394,324.355,50.2438,162.607,75.7986,82.2882,96.5449,50.1795,178.53099999999998,22.5078,101.95700000000001
37,GCHFR,0.42253100000000005,0.707112,0.0,0.857477,0.0,1.22014,0.0,0.0,0.153757,0.0,0.0
