,gene_short_name,V515-06187-A1,TNT-49,TNT-56,TNT-58,TNT-166,TNT-83,TNT-275,17-00160-1_S2Aligned_cufflinks,TNT-328,TNT-85,TNT-281
0,ABCA8,1.07397,46.919,53.5647,0.0,8.041939999999999,5.2367099999999995,4.6609,0.7198220000000001,9.23817,13.9148,39.0365
1,ADRA2A,0.196819,0.128019,0.818513,0.0,0.17244400000000001,0.048419699999999996,0.629714,0.203424,0.0,0.126968,0.0
2,AKAP12,3.7524300000000004,3.20903,7.0299,6.38661,11.4176,10.1537,4.96091,1.14141,9.39584,9.65515,10.6971
3,ALDH3B2,34.613,9.3486,2.74039,3.93287,11.936,11.9552,4.76105,5.40626,14.562000000000001,3.0914200000000003,4.0044699999999995
4,APOD,101.54799999999999,473.105,3331.85,100.74600000000001,59.2515,45.576,27.9631,10.1478,32.4682,880.669,0.10930699999999999
5,ART3,19.2103,31.5205,4.69583,0.0,20.1966,1.52685,30.6309,5.258319999999999,13.5651,23.9716,34.497
6,ASPN,31.1651,46.012,27.5234,46.5225,58.4273,19.273,30.936,21.9529,15.9623,34.7116,7.35584
7,AZGP1,64.9749,53.7874,112.811,3.7303599999999997,279.16200000000003,89.7751,0.675944,45.7678,39.4368,35.7304,48.4283
8,BLVRB,6.57613,0.257732,1.36521,0.152304,3.27208,6.63001,0.581462,3.17095,1.26662,1.67536,0.0
9,C7,0.29143,3.14767,9.02806,0.0578067,1.81001,1.0988,4.90062,0.7452850000000001,0.0,2.5042,18.9547
10,CCL5,1.03708,50.3871,15.388,0.08316989999999999,2.824,8.35195,15.9024,0.0,1.60917,8.38996,6.88903
11,CD36,36.5005,71.9816,1102.89,8.52927,87.4212,764.051,28.1601,5.95287,18.5983,17.1364,17.1781
12,CD52,5.15236,92.3369,120.281,0.0,16.3847,28.8448,41.958,12.1882,0.0,20.4057,13.2159
