,gene_short_name,V515-06187-A1,TNT-62,17-00280-7_S4Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks,TNT-318,17-00165-0_S10Aligned_cufflinks,TNT-299,TNT-326,17-00271-8_S16Aligned_cufflinks,TNT-154,TNT-82
70,PI3,0.0,0.852695,0.167212,86.9353,0.47272,4.34973,19.5937,26.7844,0.0,0.0,11.2038
71,PLEKHB1,14.583,2.45002,1.58258,0.0,1.25835,8.26421,2.56001,0.0,0.613339,0.469332,4.00297
72,PMAIP1,1.62393,4.94654,1.77395,0.0,5.03438,0.650526,4.82886,0.752031,2.49894,0.0,8.2696
73,PSMB9,0.0,15.7677,0.0,0.0,28.5825,0.0,5.5591,4.83253,0.0,12.6717,8.1736
74,PTGDS,1.49063,0.579019,5.35736,0.0,0.449394,14.0798,2.39453,0.0,32.4277,3.71266,0.361893
75,RARRES3,10.7933,17.812,45.1096,0.0,33.635,23.4369,7.02467,5.39538,31.4226,0.0,11.6381
76,RTP4,0.772275,3.40133,3.04036,0.0,8.07012,1.85726,3.77599,1.81004,0.11482,2.48729,0.418178
77,S100A1,196.638,20.1712,1.54618,0.0,45.1651,103.93,32.7335,3.63567,8.57125,11.4917,6.23529
78,S100A7,6.57916,0.453435,1.52681,186.014,1.41924,17.0718,7.09766,0.0,116.993,0.0,11.176
79,S100A8,3.49996,0.860568,28.2072,0.0,2.3352,20.8239,24.8919,2.63903,98.5857,2.37332,8.25177
80,SCRG1,23.222,15.5805,0.117765,0.0,2.32151,5.45342,35.6581,1.87698,0.162206,8.04444,16.9336
81,SEMA3C,89.189,18.5492,21.9289,13.8256,33.6265,24.187,37.7756,27.273,68.2334,15.6864,59.9662
82,SERHL2,5.02658,0.84822,72.8702,0.0,1.62353,11.0512,0.538739,0.0,574.127,0.266631,6.88061
83,SFRP1,35.3095,50.8834,0.324163,0.0,62.9304,14.3896,11.8774,10.1147,4.81089,0.300806,11.0022
84,SIDT1,0.909009,2.8378,22.2534,147.595,6.21714,4.71277,2.94446,3.11273,8.51488,0.799825,1.21553
85,SOX10,3.84721,2.12555,0.0778642,2.55568,2.23541,6.15337,2.03024,0.241657,0.709455,1.1984,2.68954
86,SPDEF,0.141878,0.125309,12.1178,4.64858,0.0,2.14608,0.868376,0.0,3.82498,2.73134,0.0
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.669671,0.278642,0.0,0.0,0.0,0.0
