,gene_short_name,V515-06187-A1,TNT-115,TNT-71,TNT-49,TNT-297,TNT-56,TNT-16,TNT-166,17-00212-8_S3Aligned_cufflinks,17-00131-5_S8Aligned_cufflinks,17-00105-7_S10_cufflinks
14,CHI3L1,52.4824,32.3937,304.561,14.0802,75.8848,2.97668,2.78629,33.8687,3.5127800000000002,168.771,4.30004
15,COL2A1,124.822,0.0,0.165655,26.9015,8.031789999999999,0.0649235,0.0761304,26.8688,0.029408999999999998,0.035063699999999996,0.613052
16,COL5A1,145.37,23.0038,30.2796,37.8918,58.3068,56.8638,148.389,226.456,109.637,11.9765,145.623
17,COL5A2,202.313,62.6035,70.6025,53.004,67.2474,67.1142,246.925,340.56199999999995,225.09400000000002,14.2269,236.74099999999999
18,CRAT,3.09639,2.79293,6.561939999999999,1.2801200000000001,5.6469,1.48946,23.7683,7.4177800000000005,37.2093,1.26799,10.8298
19,CROT,17.2031,9.149460000000001,5.04884,0.6217159999999999,7.720680000000001,24.9742,70.0792,5.9184,55.8078,5.52752,13.6305
20,CXCL10,2.29941,324.884,219.018,73.1395,13.1438,383.87300000000005,2.78132,11.8491,10.818,58.1687,3.5350699999999997
21,CXCL11,0.642556,47.492,11.3213,12.7646,3.98929,91.8946,0.439709,4.78148,2.1760200000000003,8.21909,1.68925
22,CXCL13,0.0413495,92.5893,29.1612,61.183,8.68471,24.9641,0.740487,2.4597900000000004,16.0517,9.9852,1.16042
23,CYP4F8,0.048019099999999995,0.980398,0.0,0.0,0.37554099999999996,0.0,1.66215,0.0,93.9124,0.0,0.0
24,DBI,412.371,264.715,162.036,51.5853,174.365,601.0269999999999,229.267,270.719,180.87,19.1439,24.5286
25,DEFB1,3.16262,4.61075,34.9808,0.0,0.35243800000000003,7.80312,7.23493,0.57757,0.8506879999999999,2.9607,0.0
26,DHCR24,38.1374,12.9893,41.8574,31.3659,29.6213,14.4239,160.55,90.6298,41.4729,7.69733,10.2971
27,DUSP5,2.6614299999999997,5.81537,3.61122,5.478680000000001,5.9017800000000005,8.5035,19.7283,7.79961,2.6576400000000002,1.1767,7.9805600000000005
28,FABP7,2.25652,0.359381,0.7407279999999999,0.829984,5.60352,0.131606,4.11583,4.6843,159.575,0.609712,0.132922
29,FASN,124.609,5.79216,7.28892,37.1964,8.586780000000001,1.08924,955.9889999999999,46.1734,309.301,141.922,33.3583
30,FGFR4,2.32432,0.486908,0.162787,0.0,0.8219799999999999,0.0,13.4786,0.964925,7.30337,0.555021,6.27721
31,FGL2,2.48121,9.94236,4.60607,7.103689999999999,3.83394,10.4282,3.3399400000000004,5.57745,6.500380000000001,9.03785,1.65977
32,FOXA1,1.38574,1.13544,5.15771,23.1953,0.9985,94.0994,106.896,2.5463400000000003,46.262,0.399233,2.09953
33,FOXC1,9.10755,14.4227,27.0297,14.3622,61.5935,3.08754,4.09098,26.0138,2.49251,71.1802,8.20116
34,GABRP,8.66089,284.178,664.1030000000001,498.221,116.867,24.0058,2.34216,599.52,1.9642700000000002,192.75900000000001,25.1786
35,GALNT7,12.4003,19.2697,30.12,21.4797,16.3671,16.1462,103.531,11.9974,92.9805,13.0624,11.0325
36,GBP1,41.394,455.04699999999997,69.4365,257.26599999999996,144.925,172.96099999999998,76.4035,528.756,60.6462,226.399,291.445
37,GCHFR,0.42253100000000005,0.49881499999999995,0.0,0.118621,0.145981,0.0,1.26429,0.134001,1.17435,0.589551,0.0
38,GPR87,0.9514879999999999,0.799525,1.21789,0.0,1.51442,1.19563,0.6164390000000001,0.296476,0.16636800000000002,1.2016200000000001,0.160558
39,GZMB,1.4986,7.92905,4.58183,7.11879,1.0732,8.3297,0.716539,0.587438,2.31003,5.461040000000001,1.21038
40,HGD,4.21735,1.7478900000000002,4.08314,0.0,7.776619999999999,6.980580000000001,71.809,8.578439999999999,26.6912,0.948775,10.300999999999998
41,HTRA1,91.2943,27.1148,21.8461,33.8866,50.6764,45.2441,194.898,135.49200000000002,212.05599999999998,5.30595,146.35299999999998
42,IDO1,0.29142399999999996,35.7412,4.2683,0.588023,2.3577,22.2742,1.57799,6.50028,2.55753,17.0065,1.67701
43,IGFBP4,13.3498,0.5079020000000001,2.86954,3.3940099999999997,2.95592,0.331702,5.33575,8.68595,19.16,2.89407,52.3011
44,IGHM,55.218999999999994,497.514,232.99900000000002,353.006,8.56503,81.8868,9.79983,34.2624,103.525,145.031,0.0
45,IGJ,20.0186,970.4960000000001,506.164,545.047,5.5107,668.235,25.0265,14.8734,50.9066,34.6306,234.137
46,IGKC,182.34599999999998,13844.9,2492.68,3743.13,22.8967,2605.97,214.34,116.01799999999999,3990.24,2381.84,3004.06
47,IL23A,0.049007300000000004,0.353477,0.520363,0.890747,0.39657,0.0,0.0,0.351562,0.649216,0.157318,0.0
48,IL33,0.8833290000000001,1.235,3.52311,0.0,3.82804,2.91535,3.71591,0.900668,1.8899599999999999,1.05634,2.46716
49,INPP4B,37.1722,21.6641,8.29696,34.4208,22.1376,14.4201,24.1274,18.4035,32.4049,6.39065,30.0611
50,ITM2A,5.13433,24.0371,17.6113,11.7709,74.1134,46.8189,19.3476,7.833489999999999,13.1332,12.5426,19.0463
51,JAM2,11.2143,3.7899,6.04114,7.401839999999999,8.94908,19.8815,11.9239,3.25852,12.1372,1.4881,18.7018
