,gene_short_name,V515-06187-A1,TNT-201,TNT-177,TNT-322,17-00157-0_S11Aligned_cufflinks,TNT-313,TNT-311,17-00113-4_S11_cufflinks,TNT-152,TNT-45,17-00139-2_S9Aligned_cufflinks
89,SRPX,12.4869,4.59853,8.21848,3.19103,11.5373,3.32821,3.64121,4.32891,7.045730000000001,3.6817900000000003,1.27999
90,TCF7L1,11.751,18.7519,12.356,12.017000000000001,9.27533,11.0725,9.57248,12.1978,3.5148800000000002,8.33778,11.0243
91,TFAP2B,1.18026,0.514811,0.0,5.6748400000000006,0.435733,0.0319616,0.183917,0.300197,41.8386,0.199188,0.257357
92,THBS4,8.67223,13.2923,22.2968,39.4894,12.4065,7.024780000000001,47.667,2.00873,80.985,2.1029,6.218719999999999
93,TNFAIP8,5.97248,10.9691,10.7572,14.2634,8.940669999999999,23.985,21.8018,12.079,33.7402,27.8568,5.70276
94,TNFSF10,24.8142,31.0437,37.211,11.1771,11.2988,8.09372,25.8363,20.4693,54.9682,22.0889,48.6482
95,TRIM68,7.67148,0.516001,5.86097,2.0345,3.88962,0.829583,1.6463299999999998,2.78882,10.6999,1.82696,0.120771
96,TSC22D3,7.24202,7.32937,8.69121,21.122,47.9913,8.6376,4.78071,6.2024,85.87700000000001,5.146669999999999,3.85501
97,UBD,0.0,3.42841,26.4524,1.2589,0.0,40.1572,3.54236,57.6173,4.33349,35.8375,0.0
98,UGT2B28,0.0,1.67524,0.0,0.696688,0.0,0.0,0.409168,0.0,60.8148,0.236981,0.0
99,XBP1,26.3139,37.2038,11.0742,39.6349,32.6882,116.723,28.2336,31.089000000000002,158.579,94.0816,18.3573
100,ZCCHC24,0.75321,0.154573,0.08366749999999999,0.5140100000000001,1.4920799999999999,0.578819,0.539957,0.503292,4.1567099999999995,0.53233,0.116612
