,gene_short_name,V515-06187-A1,17-00156-7_S13Aligned_cufflinks,TNT-252,17-00125-8_S13Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,TNT-277,17-00113-4_S11_cufflinks,17-00119-5_S5_cufflinks,17-00103-7_S3Aligned_cufflinks,TNT-304,TNT-289
19,CROT,17.2031,0.0,14.7668,4.49909,10.4782,9.29257,5.8188,10.7352,9.5261,4.93747,11.3478
20,CXCL10,2.29941,0.0,12.4893,0.0,25.8238,23.6985,26.4345,17.0314,34.2045,191.918,5.73014
21,CXCL11,0.642556,0.0,2.66393,0.0,9.31613,4.14639,5.58739,11.8683,3.2623,27.7435,0.569746
22,CXCL13,0.0413495,0.0,106.426,0.0,19.3527,117.784,7.41406,30.9216,18.8237,38.1041,1.20819
23,CYP4F8,0.0480191,0.0,0.0,5.58269,0.0,0.0,0.0,0.0,0.0,0.0,0.773279
24,DBI,412.371,289.493,55.1479,14.5811,251.488,61.8252,79.2129,67.8746,71.6972,151.897,82.4001
25,DEFB1,3.16262,0.0,0.0,0.0,1.62226,0.0,0.0,1.44756,0.0,3.25182,1.06093
26,DHCR24,38.1374,54.2997,2.528,26.3007,20.2387,0.320053,4.51013,4.19175,43.1474,9.19186,17.0317
27,DUSP5,2.66143,0.0,2.4734,17.2635,6.05483,9.35653,2.29512,11.8552,3.92321,0.5457,3.52254
28,FABP7,2.25652,0.0,0.0,1.47972,2.42951,0.0,7.17503,0.571087,0.0,18.7847,13.5345
29,FASN,124.609,38.7403,1.5318,188.596,53.9528,0.510461,36.0866,20.8026,48.321,2.77579,7.68728
30,FGFR4,2.32432,21.8094,0.0,0.0,0.225221,0.138728,0.484282,1.18964,1.37858,0.0,5.34385
31,FGL2,2.48121,5.3298,12.8518,5.21316,18.1999,13.9472,3.70126,13.6287,12.1423,4.1749,3.17752
32,FOXA1,1.38574,0.0,3.50368,70.9237,0.742325,16.9152,1.02879,8.50756,4.26885,2.88396,0.742095
33,FOXC1,9.10755,41.8526,7.21536,12.1608,11.5344,0.385336,44.431,27.3498,16.9357,23.4572,60.9547
34,GABRP,8.66089,467.371,1.02746,79.957,61.8084,0.15685,461.206,22.5738,589.325,963.374,23.4685
35,GALNT7,12.4003,0.0,18.9048,20.9316,18.4078,9.3507,17.6967,12.5529,18.8425,22.0505,4.23746
36,GBP1,41.394,0.0,121.363,93.6234,162.069,127.903,75.7986,218.482,204.124,130.413,208.943
37,GCHFR,0.422531,0.0,0.227852,8.82467,2.50636,0.0,0.0,0.572959,0.28362,0.0,0.223262
38,GPR87,0.951488,0.0,0.766842,0.0,0.176977,0.583424,1.64538,0.173787,0.0857639,11.4268,0.776639
39,GZMB,1.4986,0.0,8.41786,6.68157,7.94791,6.83507,2.88027,4.79188,6.38493,2.90341,0.211303
40,HGD,4.21735,509.638,1.45083,0.0,1.72268,0.278291,1.52329,0.634893,1.21189,0.424599,1.87352
41,HTRA1,91.2943,22.5573,5.43078,84.7862,267.781,92.2482,48.8061,75.21,113.456,30.6134,82.6346
42,IDO1,0.291424,81.5059,15.7534,0.0,8.13453,33.9794,3.82295,11.7061,8.94561,6.73041,0.400109
43,IGFBP4,13.3498,0.0,0.0,60.3488,19.7173,0.298384,12.6485,18.3406,19.3841,0.532935,2.99541
