,gene_short_name,V515-06187-A1,TNT-300,17-00131-5_S8Aligned_cufflinks,17-00119-5_S5_cufflinks,TNT-224,TNT-194,TNT-48,17-00159-1_S1Aligned_cufflinks,TNT-281,TNT-71,TNT-322
42,IDO1,0.29142399999999996,58.7348,17.0065,11.7061,23.0307,5.87991,9.82597,19.2801,24.7108,4.2683,2.73532
43,IGFBP4,13.3498,0.976242,2.89407,18.3406,1.9677200000000001,4.61299,4.21509,7.13662,0.5106609999999999,2.86954,1.5095299999999998
44,IGHM,55.218999999999994,81.722,145.031,0.0,13.8008,32.755,143.437,0.0,213.67,232.99900000000002,22.8218
45,IGJ,20.0186,477.129,34.6306,848.005,39.1471,30.8332,427.30699999999996,77.3318,378.825,506.164,90.7233
46,IGKC,182.34599999999998,3901.31,2381.84,5155.81,711.2360000000001,600.582,1551.45,14095.2,2270.71,2492.68,4574.11
47,IL23A,0.049007300000000004,0.0811747,0.157318,0.749035,0.06553610000000001,0.0,0.0,0.0,0.147824,0.520363,0.175262
48,IL33,0.8833290000000001,0.46980500000000003,1.05634,10.104,0.255235,0.234677,12.198,0.859708,1.07443,3.52311,1.3740299999999999
49,INPP4B,37.1722,13.55,6.39065,42.2099,29.1727,11.2239,32.1903,11.3144,3.00811,8.29696,11.0585
50,ITM2A,5.13433,11.405999999999999,12.5426,46.61,7.06133,11.2737,45.5061,8.41499,68.0098,17.6113,8.41023
51,JAM2,11.2143,1.8518599999999998,1.4881,17.4894,12.0033,9.661719999999999,26.8603,2.70201,5.9953,6.04114,14.3878
52,KCNK5,7.320460000000001,0.741297,3.6835400000000003,0.260677,0.0814902,2.25602,1.00709,3.4465,1.91526,0.887702,1.8551400000000002
53,KIAA1324,6.46799,3.78249,2.73313,29.6361,42.5417,6.48423,48.1605,0.7918149999999999,4.29164,5.69649,44.5245
54,KMO,1.44589,2.60659,9.83803,9.29535,6.46681,1.32144,2.0465299999999997,4.766380000000001,24.4904,7.643680000000001,7.929060000000001
55,KRT14,118.37100000000001,1.1598,4.12401,8.22153,2.2672,389.075,50.2108,10.2547,276.062,6.66913,26.5788
56,KRT16,91.0343,18.1238,0.898924,0.399931,74.8609,324.98,9.22974,27.660999999999998,349.52099999999996,17.0193,89.57
57,KRT17,105.34700000000001,14.628,55.7211,2.72871,93.2654,524.3919999999999,55.6381,192.048,219.024,51.9748,75.4316
58,KRT6A,54.2242,56.762,81.4641,5.65316,408.949,259.214,28.3598,30.5498,622.6469999999999,27.6608,9.45253
59,KRT6B,86.6584,75.3859,22.3315,0.318894,24.2595,92.3174,17.7626,245.352,180.32,9.681510000000001,11.8312
