,gene_short_name,V515-06187-A1,TNT-225,TNT-209,TNT-8,TNT-152,TNT-278,TNT-194,TNT-71,17-00139-2_S9Aligned_cufflinks,TNT-139,TNT-122
91,TFAP2B,1.18026,0.551706,0.315354,2.2852200000000003,41.8386,82.1722,2.1715299999999997,4.96422,0.257357,1.54039,94.7121
92,THBS4,8.67223,57.9839,11.9925,21.1983,80.985,6.88127,16.24,5.57063,6.218719999999999,16.9838,246.52
93,TNFAIP8,5.97248,17.7713,134.107,3.41071,33.7402,31.3622,15.6913,19.1099,5.70276,18.1646,30.0768
94,TNFSF10,24.8142,15.0652,74.1737,14.0586,54.9682,57.7496,19.8522,73.0496,48.6482,42.7781,33.9192
95,TRIM68,7.67148,2.18322,0.41785100000000003,5.83645,10.6999,0.47893100000000005,4.0406699999999995,0.502216,0.120771,0.0549879,11.3454
96,TSC22D3,7.24202,21.8741,6.985710000000001,9.521510000000001,85.87700000000001,20.531999999999996,20.4103,2.8311599999999997,3.85501,0.42588000000000004,29.7131
97,UBD,0.0,3.05274,70.7467,6.70224,4.33349,6.17614,8.18793,188.513,0.0,10.9428,3.1804900000000003
98,UGT2B28,0.0,1.0251,0.0,8.20575,60.8148,23.4067,1.8360400000000001,0.679177,0.0,0.0,0.597445
99,XBP1,26.3139,46.1754,30.3003,28.7927,158.579,130.299,31.2455,61.7748,18.3573,92.5017,280.469
100,ZCCHC24,0.75321,0.562095,0.354545,0.171518,4.1567099999999995,0.07908939999999999,0.122868,0.12222000000000001,0.116612,2.05055,3.13315
