,gene_short_name,V515-06187-A1,TNT-133,17-00110-9_S15Aligned_cufflinks,TNT-122,TNT-231,TNT-154,TNT-271,TNT-186,TNT-304,17-00113-4_S11_cufflinks,TNT-195
36,GBP1,41.394,79.0541,51.5421,42.1939,82.1542,106.42200000000001,131.35,31.443,130.41299999999998,75.7986,180.14700000000002
37,GCHFR,0.42253100000000005,0.8878870000000001,0.7533340000000001,0.0,0.0,0.0,0.113979,0.0,0.0,0.0,0.0
38,GPR87,0.9514879999999999,0.0,0.0,4.2657,0.0,7.91863,3.4406199999999996,0.0,11.4268,1.6453799999999998,0.499684
39,GZMB,1.4986,0.114792,2.38321,0.0,4.58215,16.5766,7.384860000000001,1.2492299999999998,2.90341,2.88027,14.8104
40,HGD,4.21735,0.0,3.19875,106.495,6.21582,0.0,29.4843,0.0,0.424599,1.52329,0.884692
41,HTRA1,91.2943,57.5539,9.9117,61.1959,30.4542,15.4234,12.6539,107.346,30.6134,48.8061,145.91299999999998
42,IDO1,0.29142399999999996,0.0,3.8729,1.45754,86.3031,0.0,23.1689,4.64251,6.730410000000001,3.82295,28.6191
43,IGFBP4,13.3498,10.6492,21.2055,4.318980000000001,2.0754799999999998,0.0520306,0.158976,11.6178,0.532935,12.6485,7.54149
44,IGHM,55.218999999999994,144.781,70.363,149.828,483.259,104.77600000000001,56.023,35.694,58.2375,0.0,1091.9
45,IGJ,20.0186,651.057,33.6758,391.611,690.221,46.9569,155.781,13.7983,358.417,33.6241,373.709
46,IGKC,182.34599999999998,3728.87,1866.18,1651.75,7960.46,1253.87,924.153,604.516,2858.74,606.637,10105.0
47,IL23A,0.049007300000000004,0.243693,0.15148,0.22266599999999998,0.0,0.0,0.0,0.0,0.20618899999999998,0.619544,0.0
48,IL33,0.8833290000000001,3.54569,0.338005,11.6046,10.9333,0.0,3.25231,9.130989999999999,0.159485,2.7284900000000003,7.684819999999999
49,INPP4B,37.1722,9.4802,11.4627,47.8111,81.5535,27.0667,7.737239999999999,38.1567,7.3277,8.61467,45.4741
50,ITM2A,5.13433,5.674119999999999,2.72788,35.3177,66.1656,0.0,8.80392,20.666999999999998,14.73,6.46899,29.3389
51,JAM2,11.2143,8.22675,2.65935,19.7106,1.47935,0.47656099999999996,5.62351,9.36512,3.37066,6.6517100000000005,18.4024
52,KCNK5,7.320460000000001,0.0,4.80851,0.0,0.587631,0.0198674,0.537532,4.7119800000000005,0.620442,0.70677,0.025733199999999998
53,KIAA1324,6.46799,116.535,177.715,63.3608,8.24147,3.6749199999999997,41.736000000000004,23.6354,17.9592,10.0233,8.69715
54,KMO,1.44589,5.83209,1.4564700000000002,116.902,10.9062,0.0,9.41635,0.0,5.78913,13.7969,17.7686
55,KRT14,118.37100000000001,0.109117,2.6992700000000003,23.6489,2.55607,22.4748,2.72891,115.40700000000001,8.99563,161.559,11.6825
