,gene_short_name,V515-06187-A1,TNT-304,17-00149-2_S3_cufflinks,TNT-293,TNT-49,17-00152-9_S4Aligned_cufflinks,17-00111-2_S4_cufflinks,TNT-328,TNT-98,TNT-104,TNT-265
0,ABCA8,1.07397,3.65161,32.3573,8.951360000000001,46.919,0.0,3.13612,9.23817,46.1161,45.0011,2.63255
1,ADRA2A,0.196819,0.0,1.055,0.0,0.128019,0.0,1.38168,0.0,0.44963000000000003,0.0269278,0.8604940000000001
2,AKAP12,3.7524300000000004,1.8245099999999999,14.0612,2.2178400000000003,3.20903,0.0,6.91818,9.39584,5.98117,14.8787,4.09434
3,ALDH3B2,34.613,1.69334,3.87839,16.92,9.3486,159.809,7.41563,14.562000000000001,8.66927,134.5,7.944780000000001
4,APOD,101.54799999999999,171.87900000000002,446.564,9.12083,473.105,103.494,53.9198,32.4682,165.22799999999998,16699.3,3.24389
5,ART3,19.2103,181.128,12.8534,0.088062,31.5205,69.9625,0.0,13.5651,0.23561300000000002,0.0,29.0535
6,ASPN,31.1651,54.125,14.5927,10.0876,46.012,0.0,172.13400000000001,15.9623,28.8722,93.4608,6.48189
7,AZGP1,64.9749,300.948,40.5716,42.7428,53.7874,8.79505,35.5573,39.4368,5.12935,438.903,109.885
8,BLVRB,6.57613,4.18302,9.78599,3.3330699999999998,0.257732,3.61882,5.90259,1.26662,6.782489999999999,5.2299,2.82875
9,C7,0.29143,1.8841599999999998,91.1891,6.76911,3.14767,15.638,2.30553,0.0,25.5063,28.9865,16.1298
10,CCL5,1.03708,9.38296,37.03,3.0321700000000003,50.3871,0.0,20.6348,1.60917,25.8249,10.9451,6.73407
11,CD36,36.5005,40.2595,166.33900000000003,929.357,71.9816,0.0,34.8274,18.5983,44.3127,126.93700000000001,69.7685
12,CD52,5.15236,85.9483,25.8994,12.8056,92.3369,95.8765,43.6633,0.0,94.6313,29.5778,370.82300000000004
13,CDC20,19.1111,16.8101,5.02223,9.34047,4.09511,0.0,1.21622,10.2348,1.1533799999999998,0.06501280000000001,22.7002
14,CHI3L1,52.4824,5.51471,18.9358,7.55722,14.0802,21.7065,13.5814,30.5357,4.2127300000000005,1.02785,22.1167
15,COL2A1,124.822,219.15099999999998,0.127527,0.109884,26.9015,0.0,0.361854,147.203,0.0772557,0.22212300000000001,0.12088499999999999
16,COL5A1,145.37,19.8955,27.3903,32.5814,37.8918,18.0897,238.76,38.532,42.4369,47.013000000000005,6.09765
17,COL5A2,202.313,47.714,92.603,33.3523,53.004,0.0,418.121,25.6229,46.0351,87.7715,8.16721
18,CRAT,3.09639,1.28039,24.4152,2.8111599999999997,1.2801200000000001,0.0,7.61619,3.56428,25.9658,22.0853,2.73679
19,CROT,17.2031,4.937469999999999,2.63143,6.16501,0.6217159999999999,85.5425,9.11234,8.11488,8.24655,53.6453,5.86815
20,CXCL10,2.29941,191.918,49.8271,140.839,73.1395,0.0,26.4698,8.52238,197.953,10.2874,56.437
21,CXCL11,0.642556,27.7435,13.9609,34.2832,12.7646,0.0,9.11358,0.0,53.6756,3.13731,20.7628
22,CXCL13,0.0413495,38.1041,13.0693,11.5668,61.183,0.0,10.9874,0.0,12.9855,1.0281799999999999,79.1886
23,CYP4F8,0.048019099999999995,0.0,0.0,73.73899999999999,0.0,0.0,0.0,0.0,21.6456,1.2353399999999999,0.134844
24,DBI,412.371,151.89700000000002,98.0767,89.8314,51.5853,0.0,129.475,61.6366,74.6477,300.908,206.40099999999998
25,DEFB1,3.16262,3.25182,1.7242400000000002,1.13114,0.0,0.0,2.63568,3.2168400000000004,24.0657,0.0,5.6752
26,DHCR24,38.1374,9.19186,13.2626,25.4588,31.3659,18.8087,18.9708,9.57038,50.351000000000006,43.5835,38.6224
27,DUSP5,2.6614299999999997,0.5457,5.49924,14.419,5.478680000000001,0.0,4.24291,3.33009,4.34839,1.31806,3.7219599999999997
28,FABP7,2.25652,18.7847,1.9464400000000002,0.0,0.829984,0.0,0.111069,7.262560000000001,0.713272,1.60248,0.0
29,FASN,124.609,2.77579,63.1845,27.7993,37.1964,133.656,49.9008,4.8363,9.731589999999999,68.8874,22.6256
30,FGFR4,2.32432,0.0,0.9911909999999999,7.47289,0.0,0.0,0.265341,0.0,0.0,9.378739999999999,0.794633
31,FGL2,2.48121,4.1749,22.3538,5.11273,7.103689999999999,0.0,9.96545,13.4369,15.2264,9.87236,6.590339999999999
32,FOXA1,1.38574,2.8839599999999996,8.119439999999999,141.468,23.1953,20.6189,5.35827,3.16782,40.2709,106.805,3.09199
33,FOXC1,9.10755,23.4572,8.852730000000001,1.44127,14.3622,3.16898,15.3442,11.1992,12.4904,1.76016,34.8431
34,GABRP,8.66089,963.3739999999999,9.4546,0.8925059999999999,498.221,52.1578,0.995849,13.0795,391.156,7.01519,447.85699999999997
35,GALNT7,12.4003,22.0505,43.6994,27.0483,21.4797,12.9507,22.0053,0.875309,26.8092,359.37,11.2769
36,GBP1,41.394,130.41299999999998,113.411,105.46700000000001,257.26599999999996,0.0,191.718,22.651999999999997,319.245,36.3345,268.497
37,GCHFR,0.42253100000000005,0.0,0.28915599999999997,0.0,0.118621,0.0,1.08635,0.0,0.279883,0.200914,0.19162
38,GPR87,0.9514879999999999,11.4268,0.07313430000000001,0.345952,0.0,0.0,0.635927,0.0,1.56249,0.679588,0.251076
