,gene_short_name,V515-06187-A1,TNT-56,17-00163-6_S7Aligned_cufflinks,TNT-299,17-00121-8_S12_cufflinks,TNT-8,TNT-45,TNT-310,TNT-283,TNT-27,17-00100-2_S17Aligned_cufflinks
18,CRAT,3.09639,1.48946,9.7429,4.59752,4.42961,6.76964,1.07721,4.10859,1.09201,2.29762,1.61387
19,CROT,17.2031,24.9742,5.1833,13.238,20.8255,4.73515,5.64661,3.20186,7.69125,33.2998,12.8803
20,CXCL10,2.29941,383.873,24.1237,37.0993,6.51344,179.872,43.0563,111.717,57.2712,17.1828,33.681
21,CXCL11,0.642556,91.8946,1.88411,5.75257,5.30341,6.86339,13.4844,9.69977,9.65099,0.123562,13.7347
22,CXCL13,0.0413495,24.9641,1.72447,4.01488,0.26274,9.36499,1.80252,12.3011,30.5927,23.0044,12.9616
23,CYP4F8,0.0480191,0.0,0.0,2.01316,0.71787,1.05944,0.113976,0.0,0.368212,0.00678974,0.0
24,DBI,412.371,601.027,307.908,210.795,94.8186,205.306,61.8241,156.67,168.356,152.017,82.3534
25,DEFB1,3.16262,7.80312,0.14658,1.58477,1.39579,0.372892,0.17211,1.00589,0.857639,0.0,2.1062
26,DHCR24,38.1374,14.4239,62.1057,7.01083,39.1465,13.1796,6.56267,31.9861,46.4939,3.88958,60.8572
27,DUSP5,2.66143,8.5035,0.552712,4.16149,11.8711,6.2158,2.98412,13.7116,2.63261,0.0,2.8738
28,FABP7,2.25652,0.131606,5.85038,8.85291,2.92749,10.3147,19.2089,1.21934,0.521183,66.6622,10.516
29,FASN,124.609,1.08924,95.661,2.40165,36.53,14.5119,7.90951,3.16328,22.4823,1.39044,77.1645
30,FGFR4,2.32432,0.0,4.11049,2.10462,0.871586,2.50856,0.676813,0.0814148,0.42262,1.45713,1.22252
31,FGL2,2.48121,10.4282,1.78384,4.40214,12.79,6.19449,2.29528,4.93389,4.10317,11.4318,8.12208
32,FOXA1,1.38574,94.0994,0.108081,1.74342,58.3932,0.161866,4.18446,1.50615,135.889,0.606611,0.469399
33,FOXC1,9.10755,3.08754,78.4953,41.9665,19.229,26.6282,82.3449,11.1416,3.01998,24.7188,88.3177
34,GABRP,8.66089,24.0058,542.833,3.87573,89.7943,672.327,429.953,187.597,1.82586,709.436,227.371
35,GALNT7,12.4003,16.1462,33.3183,14.0614,23.2172,18.8899,34.2443,19.2626,80.39,17.0417,18.5846
36,GBP1,41.394,172.961,46.4511,101.957,148.097,109.555,124.809,338.003,95.4322,69.6213,194.719
37,GCHFR,0.422531,0.0,0.465567,0.0,0.19197,0.0,0.342741,0.178939,0.0,0.0,0.19724
38,GPR87,0.951488,1.19563,0.133773,3.18233,1.04821,0.0,3.55765,3.60517,1.11957,5.22374,0.98858
39,GZMB,1.4986,8.3297,1.03451,1.18102,0.501315,4.6982,3.96746,30.9291,0.77617,0.0,8.62832
40,HGD,4.21735,6.98058,24.1865,5.35348,6.06733,0.0,0.926136,1.62972,6.59139,1.32979,0.449058
41,HTRA1,91.2943,45.2441,14.6065,29.4327,107.586,19.4989,23.6414,34.0357,30.5015,21.1824,55.8889
42,IDO1,0.291424,22.2742,1.14673,5.30639,1.6029,56.6511,4.55117,38.4846,3.09202,2.01125,48.9137
