,gene_short_name,V515-06187-A1,17-00108-5_S18Aligned_cufflinks,TNT-202,TNT-157,TNT-322,TNT-62,TNT-100,TNT-166,TNT-2,TNT-183,TNT-270
25,DEFB1,3.16262,0.328307,3.24124,0.135413,0.0,0.0,3.17559,0.57757,21.423,5.7662,2.29778
26,DHCR24,38.1374,13.0362,22.1326,74.3837,13.3313,18.6129,11.8349,90.6298,56.9426,409.418,58.1848
27,DUSP5,2.66143,3.84803,6.07051,6.9571,3.62308,3.29349,5.35534,7.79961,13.1152,10.1188,9.28277
28,FABP7,2.25652,10.5533,90.0951,0.0547732,9.84249,49.2833,0.585031,4.6843,0.0,4.46561,61.6315
29,FASN,124.609,47.9147,6.0106,41.2107,4.11901,9.07795,11.798,46.1734,30.5933,208.173,24.5049
30,FGFR4,2.32432,0.384906,0.572056,4.54072,1.26775,1.12382,0.757059,0.964925,7.58388,1.83149,0.399559
31,FGL2,2.48121,4.67698,3.41656,10.3349,4.80815,6.69295,11.0687,5.57745,13.7442,2.36989,3.01475
32,FOXA1,1.38574,0.291452,0.420079,1.01931,3.72445,5.66134,1.26925,2.54634,55.8235,131.475,166.612
33,FOXC1,9.10755,41.1188,61.0001,28.4132,53.1081,32.0002,41.8014,26.0138,2.45497,1.07673,1.0739
34,GABRP,8.66089,72.6743,392.1,503.14,9.75716,410.733,358.421,599.52,0.944281,4.11811,1.19229
35,GALNT7,12.4003,7.65921,29.0905,12.2184,8.96135,12.125,29.8137,11.9974,57.6309,37.4187,157.514
36,GBP1,41.394,36.9994,350.463,527.597,72.4958,540.702,388.829,528.756,297.692,292.732,39.4209
37,GCHFR,0.422531,0.32196,0.699921,0.0,0.0,0.0847417,0.313997,0.134001,0.886545,0.376676,0.714842
38,GPR87,0.951488,0.289317,0.157315,0.402631,0.811492,1.63898,1.30861,0.296476,0.0,3.20705,0.524503
39,GZMB,1.4986,3.03103,4.89034,6.50588,2.85827,6.41301,8.78789,0.587438,29.9223,3.32715,0.665224
40,HGD,4.21735,1.29588,6.72724,2.29015,0.723087,3.7083,0.638701,8.57844,6.07336,30.1309,63.5226
41,HTRA1,91.2943,10.4438,12.8885,21.359,89.2861,37.4484,46.1997,135.492,34.4731,35.1959,28.7858
