,gene_short_name,V515-06187-A1,17-00271-8_S16Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-132,TNT-238,TNT-245,TNT-197,17-00163-6_S7Aligned_cufflinks,TNT-16,TNT-111
42,IDO1,0.291424,9.55688,9.38429,1.67701,25.0906,34.2077,54.219,6.26838,1.14673,1.57799,1.66038
43,IGFBP4,13.3498,57.7482,3.68364,52.3011,7.65827,0.341642,0.650443,0.243162,4.64398,5.33575,3.91104
44,IGHM,55.219,336.897,261.798,0.0,172.449,199.737,253.913,9.50982,18.7739,9.79983,595.725
45,IGJ,20.0186,446.489,93.7332,234.137,370.1,234.559,224.598,136.438,13.3345,25.0265,212.216
46,IGKC,182.346,2529.53,3271.85,3004.06,1759.1,1223.26,2347.46,3670.73,961.871,214.34,1492.04
47,IL23A,0.0490073,0.0,0.0419799,0.0,0.0,0.734684,1.12968,1.75919,0.0545834,0.0,0.0
48,IL33,0.883329,7.25951,0.236836,2.46716,7.50391,13.7201,7.17298,0.097186,0.150471,3.71591,0.690708
49,INPP4B,37.1722,30.2415,7.95597,30.0611,53.3265,43.5411,50.3025,6.59133,6.14113,24.1274,59.8419
50,ITM2A,5.13433,67.9227,8.61838,19.0463,144.044,50.0355,16.9192,0.294242,2.36489,19.3476,9.24223
51,JAM2,11.2143,20.8529,3.97655,18.7018,10.4549,6.92667,7.40358,5.83636,1.97447,11.9239,13.8203
52,KCNK5,7.32046,0.399446,4.97692,2.18497,0.0,1.74261,0.478414,0.0992269,3.80893,0.141386,0.153093
53,KIAA1324,6.46799,28.2916,0.90376,1.93052,26.2765,8.14788,11.1041,5.9885,29.0089,96.8405,125.869
54,KMO,1.44589,11.096,3.05037,0.752159,42.1064,20.1133,14.3286,10.0687,3.89631,43.0574,14.655
55,KRT14,118.371,111.476,0.909254,75.4352,18.8049,4.36773,3.29522,6.19749,12.3077,10.3312,6.89034
56,KRT16,91.0343,6.56254,36.6867,52.2307,2.54488,33.8557,72.4084,38.6102,331.452,1.60011,1.90386
57,KRT17,105.347,169.488,137.314,336.693,15.6965,28.5257,50.6806,99.1239,128.648,14.8626,4.03414
58,KRT6A,54.2242,26.0383,10.3745,27.6181,0.0533936,70.3375,501.908,21.6429,7.01012,0.816802,2.37252
59,KRT6B,86.6584,11.7636,105.963,8.2555,0.838378,46.362,57.1734,41.4921,36.4685,1.40484,1.76653
60,KYNU,14.7879,91.1552,6.34854,3.08382,145.011,17.213,51.3641,13.5188,17.2676,76.4536,172.138
61,LBP,0.573258,30.34,0.24971,0.0,5.49965,0.965151,3.30363,0.195841,0.215567,16.8719,32.7845
62,LHFP,2.0952,6.7217,0.461709,7.95848,3.70533,2.15408,0.786022,0.523456,0.448266,1.91694,2.58615
63,MFAP4,1.60954,41.3266,1.02248,23.1121,19.215,5.6763,3.01022,0.0912683,0.849838,33.4724,10.3604
64,MIA,21.0747,0.9598,0.580011,1.86336,0.0,3.15825,2.50099,9.51566,47.2477,0.250469,0.0
65,MID1,36.2366,14.4386,11.5278,11.2098,22.0039,15.5065,53.1071,18.348,28.5098,17.0436,15.5697
66,MYBL1,4.60362,1.77691,10.6239,2.16644,9.64146,13.2892,24.6381,35.5855,82.4844,5.06878,3.49325
67,NEK2,17.1321,2.752,26.3562,3.87849,3.18495,13.6131,10.7359,41.9641,32.5305,4.06294,4.20757
68,NTN3,0.0235576,0.0437792,0.0,0.0638543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,87.9032,1.35366,25.744,80.9535,10.1206,23.8909,20.8286,1.08168,107.645,13.2351
70,PI3,0.0,0.0,1.89686,1.07606,0.0,45.6396,9.06803,70.1415,4.07075,0.0,0.0
71,PLEKHB1,14.583,0.613339,5.06277,0.847489,0.0,0.233445,0.1661,1.18679,2.10874,0.257994,0.639033
72,PMAIP1,1.62393,2.49894,2.45811,0.531778,0.0,4.70499,1.51889,17.1524,1.47062,0.652403,0.334089
73,PSMB9,0.0,0.0,0.0,0.0,16.4014,36.7315,13.948,7.26712,7.11358,2.22437,4.54106
74,PTGDS,1.49063,32.4277,1.84309,11.2347,6.72747,15.4675,5.40318,0.36842,1.03946,3.89858,0.542022
75,RARRES3,10.7933,31.4226,6.71366,14.9961,37.6985,25.5765,20.4484,5.24148,2.74916,35.4638,30.5666
76,RTP4,0.772275,0.11482,3.21419,1.25012,3.84331,3.27616,2.42213,0.0,2.11816,0.473043,0.783504
77,S100A1,196.638,8.57125,13.8277,0.517951,0.0,1.30119,0.429034,2.86215,210.674,0.428082,0.248466
78,S100A7,6.57916,116.993,16.7462,0.777217,37.4403,1.91106,10.0773,3.16166,4.38432,2.50147,1.10461
79,S100A8,3.49996,98.5857,7.46874,0.306788,74.959,64.4657,23.884,19.1241,24.6743,10.1171,5.80152
80,SCRG1,23.222,0.162206,0.353705,0.0,0.0,0.609802,3.6547,6.33004,55.2941,4.35705,1.19671
81,SEMA3C,89.189,68.2334,5.61644,36.7929,24.1565,5.10211,53.3267,19.5544,13.6893,79.0897,36.4009
82,SERHL2,5.02658,574.127,2.62127,2.4453,9.62371,2.94451,6.5431,0.298226,2.30145,185.252,546.021
83,SFRP1,35.3095,4.81089,9.88577,3.78211,3.43042,3.25499,0.0,8.08381,1.57306,1.82529,2.22108
84,SIDT1,0.909009,8.51488,0.634227,2.94982,21.0521,32.8407,15.6307,1.70233,0.513963,17.5978,22.7282
85,SOX10,3.84721,0.709455,7.16494,1.75675,0.0750195,0.824529,0.0,0.0,0.0,0.0722504,0.122019
86,SPDEF,0.141878,3.82498,0.302264,0.0,4.62556,0.268316,0.0,0.0,0.223563,16.2187,8.59881
87,SPRR1B,0.0944781,0.0,0.52413,0.0,0.0,0.47054,0.0,0.188152,0.308586,0.0,0.0
88,SPTLC2,28.7351,49.9711,49.6177,15.1177,15.6968,46.953,36.6645,20.6077,32.8332,298.634,153.029
89,SRPX,12.4869,30.9274,1.60124,10.6326,7.88364,1.62707,0.502636,3.03199,1.92123,10.7163,9.55792
90,TCF7L1,11.751,6.54781,12.7575,13.3002,2.52194,5.73333,4.09108,11.6431,26.805,6.46698,3.05407
91,TFAP2B,1.18026,8.73733,0.0538654,1.07282,18.4351,0.0,0.586359,2.15162,0.956076,34.228,60.1361
92,THBS4,8.67223,11.9439,0.485063,4.27227,13.3943,5.51876,1.95089,10.4635,1.21156,10.0685,24.2651
93,TNFAIP8,5.97248,10.2542,9.44032,6.5877,58.0308,103.533,68.8324,34.4778,8.02079,28.6406,12.6779
94,TNFSF10,24.8142,18.0931,32.8667,8.1043,32.1512,60.8272,44.0606,12.9188,3.33955,158.82,20.7587
95,TRIM68,7.67148,5.80638,0.76994,2.83981,2.88826,2.7255,1.58243,0.0,0.83077,5.53874,7.69963
96,TSC22D3,7.24202,125.664,9.99221,25.9435,25.4171,9.88904,13.0707,12.3722,18.3645,35.7546,47.5759
97,UBD,0.0,0.0,0.0,0.0,15.0962,63.7004,35.3229,11.2956,0.0,2.09e-27,1.09897
98,UGT2B28,0.0,533.419,0.0,0.0,260.887,0.0371477,0.617993,0.0,0.0,4.88119,259.096
99,XBP1,26.3139,71.8158,57.7395,24.8762,90.569,27.5281,112.543,68.1152,39.7686,282.606,180.636
100,ZCCHC24,0.75321,2.3669,0.345243,3.84146,2.47759,0.0,0.0,0.0,0.257006,2.67221,2.02662
