,gene_short_name,V515-06187-A1,TNT-138,17-00270-5_S14Aligned_cufflinks,TNT-225,TNT-283,17-00127-8_S3Aligned_cufflinks,TNT-304,TNT-79,TNT-54,TNT-289,TNT-211
0,ABCA8,1.07397,12.6791,2.10963,19.7157,5.2258,5.2732,3.65161,1.8716599999999999,58.0877,7.5326,61.2901
1,ADRA2A,0.196819,1.91297,0.785147,0.313514,0.0,0.0,0.0,0.0,0.409427,0.0190859,0.395498
2,AKAP12,3.7524300000000004,7.20418,3.9364199999999996,11.700999999999999,3.43169,1.2662,1.8245099999999999,1.6442400000000001,14.9386,16.4518,10.4024
3,ALDH3B2,34.613,12.4995,173.954,0.0,2.4243200000000003,3.25937,1.69334,41.6244,9.506730000000001,0.340181,1.13534
4,APOD,101.54799999999999,27.4739,1702.36,86.1188,134.119,81.4037,171.87900000000002,9.53523,745.2,86.5343,44.836000000000006
5,ART3,19.2103,0.47330600000000006,0.0,44.2138,1.3833,34.0727,181.128,2.56881,3.22085,11.7816,8.18542
6,ASPN,31.1651,46.9364,97.1702,112.76799999999999,148.766,0.0,54.125,18.7191,17.7205,99.79700000000001,6.6100699999999994
7,AZGP1,64.9749,30.0339,433.668,68.2212,6.21353,195.738,300.948,9.81098,84.4769,22.8969,115.596
8,BLVRB,6.57613,9.23049,17.5144,0.9385680000000001,3.29221,0.0,4.18302,1.2176799999999999,1.03403,1.2233100000000001,2.0169
9,C7,0.29143,0.29318,0.913499,7.47819,1.21194,0.0,1.8841599999999998,0.483138,70.8319,2.7102,68.3765
10,CCL5,1.03708,5.65268,0.0,2.44293,13.0437,0.0,9.38296,2.0161,27.218000000000004,1.12449,5.11297
