,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-220,TNT-219,TNT-123,TNT-4,TNT-53,17-00113-4_S11_cufflinks,TNT-274,TNT-288,TNT-113
71,PLEKHB1,14.583,2.10874,3.70182,0.163102,0.239575,0.0,0.313393,1.27312,1.83653,0.805091,2.2507
72,PMAIP1,1.62393,1.47062,1.10505,5.16143,1.68006,0.0948834,3.49543,13.1758,0.67479,3.00845,0.0
73,PSMB9,0.0,7.11358,25.2165,11.1204,5.92243,6.91171,6.66335,0.0,14.263,13.613,36.9638
74,PTGDS,1.49063,1.03946,34.6464,11.7022,17.2444,2.49494,0.588428,4.56134,1.15817,1.4365,3.52126
75,RARRES3,10.7933,2.74916,21.933,45.042,7.29205,36.1807,7.36159,5.6112,23.9283,17.6638,44.1109
76,RTP4,0.772275,2.11816,0.881473,2.86061,1.06162,0.0,2.73071,3.38501,6.0925,2.6593,0.0
77,S100A1,196.638,210.674,1.98114,0.760753,46.337,0.0,28.8386,4.30015,1.48327,22.6423,1.81255
78,S100A7,6.57916,4.38432,0.697737,0.0,25.5385,138.622,226.527,0.277898,0.0,0.0,3.07872
79,S100A8,3.49996,24.6743,2.33908,1.15485,3.59375,105.692,44.2431,5.84994,1.33806,1.07561,0.0
80,SCRG1,23.222,55.2941,1.84844,0.253287,27.9532,0.917041,6.45002,0.0855807,2.34735,6.28012,0.0
81,SEMA3C,89.189,13.6893,10.7517,41.6009,16.9621,122.228,8.49986,31.7723,5.41211,24.9641,7.66827
82,SERHL2,5.02658,2.30145,1.4366,2.98422,1.43949,96.2706,0.96246,1.81287,0.250193,5.57275,3.6563
83,SFRP1,35.3095,1.57306,8.36326,0.601146,31.8088,2.25192,17.0348,1.93791,9.59906,35.9048,5.04083
84,SIDT1,0.909009,0.513963,16.2039,15.2371,1.94103,13.2347,1.47696,1.03892,5.93605,0.292844,19.857
85,SOX10,3.84721,0.0,1.01821,0.0738485,0.757518,0.0,2.81897,1.62839,2.35841,2.0321,0.112743
86,SPDEF,0.141878,0.223563,0.365414,4.07118,0.285567,3.17591,0.0299376,0.0,1.32696,0.191122,0.0
87,SPRR1B,0.0944781,0.308586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,32.8332,23.8886,44.4583,63.7563,29.6352,25.3893,37.4772,28.8158,37.3837,30.3911
89,SRPX,12.4869,1.92123,6.61767,3.4648,4.66545,6.64019,1.37933,4.32891,3.21448,13.0041,1.47954
90,TCF7L1,11.751,26.805,10.6683,2.14677,13.0712,7.72303,23.572,12.1978,5.90954,13.6998,33.2491
91,TFAP2B,1.18026,0.956076,3.98359,0.0,1.444,7.52846,0.612569,0.300197,6.5627,1.27913,0.0
92,THBS4,8.67223,1.21156,29.7523,105.4,4.32413,4.58691,5.73771,2.00873,1.26906,28.9139,13.0656
93,TNFAIP8,5.97248,8.02079,45.6794,43.0629,17.3322,26.519,18.9355,12.079,21.9263,21.5253,25.5365
94,TNFSF10,24.8142,3.33955,33.2544,17.9517,15.7489,23.4715,29.5446,20.4693,43.8558,12.1125,45.1035
95,TRIM68,7.67148,0.83077,1.17435,1.91721,0.0782492,0.779116,0.2459,2.78882,0.938093,6.38965,4.45127
96,TSC22D3,7.24202,18.3645,5.49314,28.1163,16.5792,19.5717,11.5905,6.2024,2.93125,20.7125,4.53729
97,UBD,0.0,0.0,16.25,7.89514,10.4594,6.7378,146.91,57.6173,0.0,5.42e-51,128.718
98,UGT2B28,0.0,0.0,0.0,0.0,0.0924854,70.8305,1.3952,0.0,1.94622,0.678299,0.0
99,XBP1,26.3139,39.7686,26.5347,235.39,60.9993,57.555,37.965,31.089,67.6655,39.1318,91.84
100,ZCCHC24,0.75321,0.257006,0.641638,2.29724,1.21593,1.65927,0.0592135,0.503292,0.0424641,1.3042,0.0
