,gene_short_name,V515-06187-A1,TNT-277,TNT-117,TNT-98,TNT-224,TNT-217,TNT-245,17-00123-8_S16Aligned_cufflinks,TNT-220,17-00243-6_S9Aligned_cufflinks,TNT-85
0,ABCA8,1.07397,126.537,14.5549,46.1161,11.0932,13.4229,8.9799,6.17733,29.3376,39.5772,13.9148
1,ADRA2A,0.196819,0.268735,1.06228,0.44963000000000003,0.5215270000000001,1.51081,0.139203,0.984298,1.45258,2.18221,0.126968
2,AKAP12,3.7524300000000004,21.3352,1.6917400000000002,5.98117,12.9614,11.1246,5.12106,6.51828,15.2167,18.6305,9.65515
3,ALDH3B2,34.613,3.3049800000000005,20.3454,8.66927,4.94473,0.0,4.80485,8.4669,0.906112,6.116709999999999,3.0914200000000003
4,APOD,101.54799999999999,274.556,63.9205,165.22799999999998,72.6231,29.5742,6.02412,38.787,121.15,222.14700000000002,880.669
5,ART3,19.2103,0.0,17.0419,0.23561300000000002,2.7877400000000003,9.09987,5.12479,1.05535,53.4512,0.6155229999999999,23.9716
6,ASPN,31.1651,80.4627,23.7047,28.8722,241.52200000000002,13.1715,12.6273,60.2143,24.9223,114.85700000000001,34.7116
7,AZGP1,64.9749,12.0988,11.4011,5.12935,3.9754199999999997,0.26194,0.815736,11.2503,129.656,63.7556,35.7304
8,BLVRB,6.57613,0.734987,1.5270299999999999,6.782489999999999,3.5285300000000004,0.6578510000000001,2.28742,2.48037,1.24432,4.7669999999999995,1.67536
9,C7,0.29143,322.762,0.964774,25.5063,1.91188,94.6797,11.4507,11.3646,368.54,24.3373,2.5042
10,CCL5,1.03708,13.4918,24.8368,25.8249,3.2060000000000004,21.6272,4.07395,10.7819,16.9124,11.5664,8.38996
11,CD36,36.5005,51.4948,19.3201,44.3127,20.0619,26.1072,9.4337,14.5033,25.9295,228.418,17.1364
12,CD52,5.15236,437.41,108.542,94.6313,21.1463,592.516,207.293,18.0695,233.482,53.8862,20.4057
13,CDC20,19.1111,0.0293837,11.3241,1.1533799999999998,10.5139,11.5408,4.63374,27.82,0.0,0.705943,9.41933
14,CHI3L1,52.4824,0.246048,49.0583,4.2127300000000005,3.66954,1.3713799999999998,1.14299,3.6709,3.21441,20.1565,13.6008
