,gene_short_name,V515-06187-A1,TNT-50,17-00111-2_S4_cufflinks,TNT-197,TNT-113,TNT-111,TNT-271,TNT-192,TNT-252,17-00113-4_S11_cufflinks,TNT-297
17,COL5A2,202.313,232.429,418.121,53.8271,46.0854,458.394,18.8124,216.858,6.94899,101.402,67.2474
18,CRAT,3.09639,9.18802,7.61619,3.01341,19.5146,70.4712,3.4731,12.229,0.663326,2.69333,5.6469
19,CROT,17.2031,5.88813,9.11234,2.8917,14.5467,61.6759,12.1045,70.1636,14.7668,5.8188,7.72068
20,CXCL10,2.29941,15.6837,26.4698,68.2187,290.819,3.96971,37.9725,10.1642,12.4893,26.4345,13.1438
21,CXCL11,0.642556,1.43911,9.11358,11.7024,36.1052,0.353852,13.7021,25.8333,2.66393,5.58739,3.98929
22,CXCL13,0.0413495,5.55664,10.9874,44.9298,155.442,23.2391,40.998,10.7731,106.426,7.41406,8.68471
23,CYP4F8,0.0480191,0.310565,0.0,0.271496,0.0,10.0194,3.53668,0.0,0.0,0.0,0.375541
24,DBI,412.371,139.829,129.475,115.771,147.908,701.686,128.253,542.624,55.1479,79.2129,174.365
25,DEFB1,3.16262,10.9841,2.63568,0.0,0.0,0.0,3.92841,3.86087,0.0,0.0,0.352438
26,DHCR24,38.1374,61.7799,18.9708,3.72752,9.0368,109.752,7.86456,49.4777,2.528,4.51013,29.6213
27,DUSP5,2.66143,4.47715,4.24291,6.03294,6.14911,9.23302,3.62355,10.3889,2.4734,2.29512,5.90178
28,FABP7,2.25652,0.0,0.111069,1.85446,0.0481688,289.357,5.55782,13.1366,0.0,7.17503,5.60352
29,FASN,124.609,57.4616,49.9008,2.32471,2.73138,122.384,6.34887,26.719,1.5318,36.0866,8.58678
30,FGFR4,2.32432,1.32382,0.265341,0.975753,0.0,8.91163,2.49633,1.14408,0.0,0.484282,0.82198
31,FGL2,2.48121,5.51389,9.96545,5.81374,14.189,2.79398,6.75181,8.68063,12.8518,3.70126,3.83394
32,FOXA1,1.38574,1.90232,5.35827,1.1978,0.184148,201.456,4.95611,55.0153,3.50368,1.02879,0.9985
33,FOXC1,9.10755,39.9886,15.3442,32.2897,38.9412,3.58246,67.9424,3.64372,7.21536,44.431,61.5935
34,GABRP,8.66089,23.6083,0.995849,4.73335,427.715,9.12478,86.5647,53.2833,1.02746,461.206,116.867
35,GALNT7,12.4003,11.5386,22.0053,24.4677,32.677,49.7457,16.9407,58.9319,18.9048,17.6967,16.3671
36,GBP1,41.394,71.5431,191.718,92.947,282.29,45.8172,131.35,185.853,121.363,75.7986,144.925
37,GCHFR,0.422531,0.20549,1.08635,0.0,0.0,1.04278,0.113979,0.948322,0.227852,0.0,0.145981
38,GPR87,0.951488,4.06842,0.635927,1.3995,0.0,0.301862,3.44062,0.0,0.766842,1.64538,1.51442
39,GZMB,1.4986,2.96307,11.3656,26.022,37.6163,2.45732,7.38486,2.56301,8.41786,2.88027,1.0732
40,HGD,4.21735,2.01073,2.98406,0.0,0.0,24.7993,29.4843,25.9325,1.45083,1.52329,7.77662
41,HTRA1,91.2943,121.513,194.174,13.698,22.529,201.751,12.6539,118.212,5.43078,48.8061,50.6764
42,IDO1,0.291424,8.63063,9.7812,6.26838,39.3203,1.66038,23.1689,3.9493,15.7534,3.82295,2.3577
43,IGFBP4,13.3498,3.08424,48.2344,0.243162,2.82959,3.91104,0.158976,3.45961,0.0,12.6485,2.95592
44,IGHM,55.219,119.376,511.359,9.50982,268.148,595.725,56.023,67.8109,106.34,0.0,8.56503
45,IGJ,20.0186,101.14,628.329,136.438,155.94,212.216,155.781,845.132,328.976,33.6241,5.5107
46,IGKC,182.346,1160.89,11731.0,3670.73,5559.58,1492.04,924.153,2130.1,992.901,606.637,22.8967
47,IL23A,0.0490073,0.391571,0.273034,1.75919,0.0,0.0,0.0,0.0,0.0,0.619544,0.39657
48,IL33,0.883329,0.928946,2.74182,0.097186,1.15545,0.690708,3.25231,13.1507,15.2296,2.72849,3.82804
