,gene_short_name,V515-06187-A1,TNT-217,TNT-71,TNT-152,TNT-83,TNT-214,17-00110-9_S15Aligned_cufflinks,TNT-299,TNT-186,17-00143-5_S2Aligned_cufflinks,TNT-14
21,CXCL11,0.642556,15.1105,11.3213,0.0,29.7078,17.161,0.758763,5.75257,4.2247,1.10673,6.51251
22,CXCL13,0.0413495,157.641,29.1612,15.7339,20.3493,24.9894,0.665638,4.01488,2.33203,4.2982,7.50828
23,CYP4F8,0.0480191,0.0,0.0,15.6348,9.35929,0.0,0.0,2.01316,0.358575,3.67657,0.0
24,DBI,412.371,54.1796,162.036,565.778,121.336,624.36,126.947,210.795,100.988,114.674,145.792
25,DEFB1,3.16262,0.0,34.9808,0.0,0.0,0.0,0.0,1.58477,0.0,12.7599,2.80244
26,DHCR24,38.1374,1.94539,41.8574,94.5633,75.9645,7.07305,56.8192,7.01083,3.76716,140.125,86.3851
27,DUSP5,2.66143,6.53692,3.61122,2.44871,14.2512,0.619154,1.6976,4.16149,1.65471,5.98185,6.16071
28,FABP7,2.25652,1.16187,0.740728,235.759,0.405342,2.13492,0.0770102,8.85291,6.08378,0.0,1.2532
29,FASN,124.609,8.13079,7.28892,218.648,155.987,1.35786,174.738,2.40165,21.0554,264.185,69.7638
30,FGFR4,2.32432,3.89774,0.162787,15.2911,16.3501,0.290372,3.48613,2.10462,0.564881,37.3663,0.547024
31,FGL2,2.48121,24.3703,4.60607,11.0158,5.12706,7.35359,1.53472,4.40214,3.35606,0.907804,3.21642
32,FOXA1,1.38574,0.0,5.15771,26.0362,121.246,5.57404,94.6264,1.74342,0.0,143.36,0.205656
33,FOXC1,9.10755,5.21185,27.0297,0.79214,0.746015,48.272,158.749,41.9665,30.2613,3.12932,32.1182
34,GABRP,8.66089,12.3893,664.103,18.8446,1.4016,124.557,4.80822,3.87573,336.445,22.4545,841.158
35,GALNT7,12.4003,27.3677,30.12,26.0401,25.489,8.64044,60.2869,14.0614,17.261,59.9791,7.97859
36,GBP1,41.394,212.554,69.4365,80.4756,140.442,174.836,51.5421,101.957,31.443,23.1936,144.463
37,GCHFR,0.422531,0.383667,0.0,1.02698,0.275027,0.096755,0.753334,0.0,0.0,0.606169,0.0
38,GPR87,0.951488,1.77664,1.21789,0.0,0.163561,1.90972,0.0,3.18233,0.0,0.0,0.958196
39,GZMB,1.4986,16.9195,4.58183,0.0,1.84185,3.38941,2.38321,1.18102,1.24923,2.22425,2.58473
40,HGD,4.21735,0.0,4.08314,92.871,1.96698,0.0,3.19875,5.35348,0.0,12.1696,0.59584
41,HTRA1,91.2943,10.9488,21.8461,142.922,89.2542,15.8426,9.9117,29.4327,107.346,10.2802,16.6235
42,IDO1,0.291424,21.7554,4.2683,0.843558,13.1393,40.6568,3.8729,5.30639,4.64251,2.11836,5.88304
43,IGFBP4,13.3498,0.823572,2.86954,7.36641,1.48589,0.927897,21.2055,0.510139,11.6178,2.56719,2.86242
44,IGHM,55.219,902.723,232.999,329.702,842.693,111.369,70.363,3.53685,35.694,19.4641,144.626
45,IGJ,20.0186,400.73,506.164,568.173,829.929,159.628,33.6758,33.8066,13.7983,4.32342,39.4167
46,IGKC,182.346,4419.39,2492.68,12039.2,11160.5,2153.64,1866.18,90.5595,604.516,62.7069,9184.18
