,gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,TNT-58,17-00121-8_S12_cufflinks,TNT-138,TNT-259,TNT-53,TNT-71,17-00174-6_S15Aligned_cufflinks,TNT-141,TNT-50
19,CROT,17.2031,20.2671,13.287,20.8255,25.7858,13.6541,3.75997,5.04884,18.127,5.49525,5.88813
20,CXCL10,2.29941,0.414279,0.0,6.51344,27.7287,384.484,1027.76,219.018,3.53341,28.4844,15.6837
21,CXCL11,0.642556,0.0733103,0.0,5.30341,11.7097,110.538,117.484,11.3213,0.954956,17.67,1.43911
22,CXCL13,0.0413495,0.20138,0.583879,0.26274,47.9078,627.493,13.8145,29.1612,1.16539,0.0,5.55664
23,CYP4F8,0.0480191,0.0,0.0,0.71787,0.0,0.184965,0.446875,0.0,1.4973,0.0,0.310565
24,DBI,412.371,51.5305,221.397,94.8186,140.302,102.259,341.228,162.036,69.2038,89.2729,139.829
25,DEFB1,3.16262,6.74654,0.0,1.39579,0.0,1.4857,1.69422,34.9808,7.12312,0.0,10.9841
26,DHCR24,38.1374,67.6527,8.59466,39.1465,10.8436,27.5106,20.8399,41.8574,82.1604,49.9297,61.7799
27,DUSP5,2.66143,2.25617,0.667679,11.8711,12.0054,0.760338,4.52794,3.61122,2.09469,20.0687,4.47715
28,FABP7,2.25652,16.3438,5.85369,2.92749,3.49154,9.44809,0.566084,0.740728,0.0,0.0,0.0
29,FASN,124.609,49.9543,12.6822,36.53,84.7906,1.18795,10.4043,7.28892,92.0659,74.7024,57.4616
30,FGFR4,2.32432,0.516594,2.10194,0.871586,0.23882,0.335385,0.230451,0.162787,0.56631,0.0,1.32382
31,FGL2,2.48121,0.393938,5.94705,12.79,8.12581,6.70472,5.87532,4.60607,2.71377,5.29114,5.51389
32,FOXA1,1.38574,7.66108,0.0,58.3932,0.90897,0.319283,0.2382,5.15771,3.41172,208.476,1.90232
33,FOXC1,9.10755,21.056,5.94384,19.229,22.5072,3.57756,34.1132,27.0297,29.4622,0.0,39.9886
34,GABRP,8.66089,26.6801,153.087,89.7943,866.449,740.411,837.778,664.103,1.23011,29.198,23.6083
35,GALNT7,12.4003,26.588,5.65318,23.2172,6.7878,9.15928,12.0992,30.12,11.8491,26.2825,11.5386
36,GBP1,41.394,12.1963,47.5023,148.097,235.575,218.737,169.811,69.4365,135.247,80.0908,71.5431
37,GCHFR,0.422531,0.190252,0.108339,0.19197,0.115251,0.0,0.0,0.0,1.3619,0.0,0.20549
38,GPR87,0.951488,21.0117,3.10629,1.04821,0.255178,7.69994,0.657897,1.21789,4.33496,1.54697,4.06842
39,GZMB,1.4986,0.0,5.09338,0.501315,1.47182,32.7245,5.61985,4.58183,1.89397,0.816927,2.96307
40,HGD,4.21735,2.79309,0.15142,6.06733,1.58196,5.68914,0.533701,4.08314,9.09241,28.3891,2.01073
41,HTRA1,91.2943,6.07297,10.4044,107.586,69.6612,40.9797,18.0935,21.8461,38.6136,57.1879,121.513
42,IDO1,0.291424,0.0,0.0,1.6029,5.92848,56.6019,14.6102,4.2683,21.1778,0.0,8.63063
43,IGFBP4,13.3498,9.80542,0.824005,40.6251,3.77543,0.438883,2.04998,2.86954,18.0548,2.98923,3.08424
