,gene_short_name,V515-06187-A1,TNT-311,TNT-13,TNT-272,TNT-132,TNT-304,TNT-4,17-00212-8_S3Aligned_cufflinks,TNT-104,TNT-245,17-00097-1_S9_cufflinks
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0,0.0164927,0.0,0.0,0.175515
69,OGN,1.27872,19.2765,13.7195,4.63833,80.9535,6.47238,82.4171,17.1544,75.4417,23.8909,0.632217
70,PI3,0.0,0.104431,0.0,1.75987,0.0,0.0,2.09959,2.95712,0.0,9.06803,2.08188
71,PLEKHB1,14.583,0.0,0.0,4.17103,0.0,0.441845,0.0,0.291418,0.0,0.1661,0.949499
72,PMAIP1,1.62393,4.56386,0.0,6.87497,0.0,2.78943,0.0948834,0.701642,0.0,1.51889,2.63308
73,PSMB9,0.0,4.98019,2.88786,9.40904,16.4014,8.81251,6.91171,0.0,1.03818,13.948,0.0
74,PTGDS,1.49063,0.644267,0.0,0.752749,6.72747,0.406698,2.49494,14.6355,3.24923,5.40318,0.585706
75,RARRES3,10.7933,11.1266,28.1044,20.9999,37.6985,21.8538,36.1807,22.884,0.484158,20.4484,7.35418
76,RTP4,0.772275,1.10953,7.55152,0.749472,3.84331,5.27146,0.0,1.14486,0.141051,2.42213,0.724984
77,S100A1,196.638,2.51417,2.6609,6.65775,0.0,40.8906,0.0,0.346523,0.42918,0.429034,5.58359
78,S100A7,6.57916,305.178,3.57573,239.183,37.4403,0.0,138.622,115.285,1.58306,10.0773,0.528765
79,S100A8,3.49996,25.4144,0.0,259.716,74.959,5.27527,105.692,11.5963,0.543271,23.884,3.62696
80,SCRG1,23.222,2.59455,12.1846,1.5624,0.0,76.7889,0.917041,0.0353548,0.0664366,3.6547,0.143501
81,SEMA3C,89.189,13.1071,51.7291,33.857,24.1565,1.96994,122.228,53.0699,302.366,53.3267,46.9475
82,SERHL2,5.02658,2.84307,0.361312,2.16369,9.62371,1.30511,96.2706,256.397,185.863,6.5431,9.03314
83,SFRP1,35.3095,36.9399,26.1441,6.14424,3.43042,23.9901,2.25192,0.426925,1.4594,0.0,31.8986
