,gene_short_name,V515-06187-A1,17-00121-8_S12_cufflinks,TNT-202,TNT-133,TNT-270,TNT-183,TNT-69,TNT-45,17-00252-2_S13Aligned_cufflinks,TNT-57,17-00212-8_S3Aligned_cufflinks
0,ABCA8,1.07397,43.7288,0.419579,75.7969,7.25541,3.81267,6.334280000000001,69.6238,10.1006,6.46901,10.9008
1,ADRA2A,0.196819,1.4831299999999998,0.10423800000000001,0.598187,0.416253,0.0692467,0.150311,0.0861151,0.666199,0.408656,0.804
2,AKAP12,3.7524300000000004,26.8543,2.88543,6.895230000000001,6.02093,8.8469,8.43398,3.04989,3.59153,6.26016,6.45585
3,ALDH3B2,34.613,14.3473,9.39125,15.4526,97.5075,38.4582,2.33555,0.95725,57.0737,0.10081699999999999,54.5406
4,APOD,101.54799999999999,574.763,11.7008,152.924,7752.41,180.386,334.26099999999997,41.6221,2264.75,51.8919,1024.91
5,ART3,19.2103,0.115521,33.6664,16.1857,0.27854,0.0,11.878,13.519,2.61983,29.1496,0.0878982
6,ASPN,31.1651,30.3876,19.8095,99.3177,10.0964,31.8742,32.2778,28.9929,17.5097,78.5235,191.273
7,AZGP1,64.9749,177.34599999999998,174.74099999999999,81.6664,693.581,358.98699999999997,41.8629,34.8083,375.78,118.51799999999999,257.36400000000003
8,BLVRB,6.57613,5.304819999999999,0.838176,3.9630300000000003,2.58756,6.526619999999999,0.226859,0.760424,9.26335,4.3314699999999995,80.8059
9,C7,0.29143,23.1979,0.491271,10.3059,8.16232,4.1618900000000005,2.44299,0.936934,11.5843,2.87842,4.5721099999999995
10,CCL5,1.03708,0.0,2.81882,11.4843,1.34774,5.8518300000000005,2.95312,1.6864,0.0,3.70974,5.79704
11,CD36,36.5005,104.969,18.456,123.501,26.5814,18.5522,24.2,35.4874,40.6657,21.4543,59.1195
12,CD52,5.15236,9.90376,22.4442,56.1498,16.3111,27.578000000000003,15.9388,10.8174,19.3989,16.7951,31.8435
13,CDC20,19.1111,0.207432,43.36600000000001,9.27248,4.4109300000000005,14.1964,31.1055,8.45575,2.81438,26.4927,3.74191
14,CHI3L1,52.4824,9.01373,23.2638,0.874603,1.0985,7.0212699999999995,13.2155,22.6098,2.7861,15.99,3.5127800000000002
15,COL2A1,124.822,1.51601,0.0214933,0.0,0.101651,0.157197,143.94299999999998,42.1761,0.157048,0.548056,0.029408999999999998
16,COL5A1,145.37,34.9603,31.7171,68.0468,51.6893,128.517,40.5398,30.6618,57.8154,87.4963,109.637
17,COL5A2,202.313,40.3863,55.4751,83.052,47.358999999999995,149.547,54.6831,58.7905,105.309,121.088,225.09400000000002
18,CRAT,3.09639,4.42961,0.301212,2.03308,11.3929,7.317130000000001,5.31904,1.07721,30.4788,8.625630000000001,37.2093
19,CROT,17.2031,20.8255,4.69295,6.0225,103.521,25.6105,4.64999,5.64661,37.0803,4.78488,55.8078
20,CXCL10,2.29941,6.51344,80.0122,6.53556,2.65309,40.563,83.8667,43.0563,17.8862,4.72286,10.818
21,CXCL11,0.642556,5.3034099999999995,5.16683,0.0,1.01607,9.919780000000001,1.3225,13.4844,3.95835,0.9768040000000001,2.1760200000000003
22,CXCL13,0.0413495,0.26274000000000003,16.756,4.97297,36.615,8.31043,5.602609999999999,1.8025200000000001,5.9954,2.6762200000000003,16.0517
23,CYP4F8,0.048019099999999995,0.71787,1.23981,0.0,3.49045,0.134864,0.54584,0.113976,0.20556999999999997,0.859841,93.9124
24,DBI,412.371,94.8186,81.6514,172.40099999999998,770.5239999999999,253.44400000000002,110.56,61.8241,141.197,123.693,180.87
25,DEFB1,3.16262,1.3957899999999999,3.2412400000000003,0.41695600000000005,2.29778,5.7662,0.0,0.17210999999999999,0.207869,0.23947399999999996,0.8506879999999999
26,DHCR24,38.1374,39.1465,22.1326,64.1324,58.1848,409.418,10.5851,6.56267,108.111,26.688000000000002,41.4729
27,DUSP5,2.6614299999999997,11.8711,6.07051,0.0,9.28277,10.1188,1.8848200000000002,2.98412,1.75253,2.64648,2.6576400000000002
28,FABP7,2.25652,2.92749,90.0951,0.0,61.6315,4.46561,31.3579,19.2089,7.675910000000001,33.7576,159.575
29,FASN,124.609,36.53,6.0106,36.0783,24.5049,208.173,5.368180000000001,7.909510000000001,636.474,20.7734,309.301
30,FGFR4,2.32432,0.8715860000000001,0.572056,0.416916,0.399559,1.83149,3.41509,0.676813,12.591,0.19916,7.30337
31,FGL2,2.48121,12.79,3.41656,10.1991,3.01475,2.3698900000000003,2.2448200000000003,2.29528,5.83078,3.20866,6.500380000000001
32,FOXA1,1.38574,58.3932,0.420079,101.26700000000001,166.612,131.475,0.252733,4.18446,154.41299999999998,1.82645,46.262
33,FOXC1,9.10755,19.229,61.0001,0.0,1.0739,1.07673,33.4287,82.3449,3.4336599999999997,53.8272,2.49251
34,GABRP,8.66089,89.7943,392.1,0.0,1.19229,4.11811,723.575,429.95300000000003,1.5920299999999998,573.122,1.9642700000000002
35,GALNT7,12.4003,23.2172,29.0905,89.2718,157.514,37.4187,15.0502,34.2443,105.712,11.9499,92.9805
36,GBP1,41.394,148.097,350.463,79.0541,39.4209,292.732,128.634,124.809,66.9108,99.51100000000001,60.6462
37,GCHFR,0.42253100000000005,0.19197,0.699921,0.8878870000000001,0.714842,0.376676,0.0870739,0.34274099999999996,0.55625,0.167516,1.17435
38,GPR87,0.9514879999999999,1.04821,0.157315,0.0,0.5245029999999999,3.20705,2.20498,3.55765,0.048275,1.00728,0.16636800000000002
39,GZMB,1.4986,0.501315,4.89034,0.114792,0.6652239999999999,3.32715,2.27449,3.96746,2.1377900000000003,1.4836799999999999,2.31003
40,HGD,4.21735,6.06733,6.727239999999999,0.0,63.5226,30.1309,0.0599395,0.9261360000000001,138.276,13.2817,26.6912
41,HTRA1,91.2943,107.586,12.8885,57.5539,28.7858,35.1959,27.0333,23.6414,49.4055,72.1096,212.05599999999998
42,IDO1,0.29142399999999996,1.6029,7.40508,0.0,1.39216,16.4467,2.31777,4.55117,3.06081,1.98322,2.55753
43,IGFBP4,13.3498,40.6251,0.876592,10.6492,0.30803,4.128080000000001,0.690966,0.6104310000000001,13.3171,4.93166,19.16
