,gene_short_name,V515-06187-A1,17-00269-8_S12Aligned_cufflinks,17-00119-5_S5_cufflinks,TNT-26,TNT-115,TNT-50,17-00212-8_S3Aligned_cufflinks,TNT-81,17-00243-6_S9Aligned_cufflinks,TNT-252,TNT-35
22,CXCL13,0.0413495,10.1775,30.9216,1.4694,92.5893,5.55664,16.0517,9.30649,5.5519099999999995,106.426,54.2101
23,CYP4F8,0.048019099999999995,0.0,0.0,0.0,0.980398,0.31056500000000004,93.9124,0.0,4.40353,0.0,21.2027
24,DBI,412.371,139.231,67.8746,99.8671,264.715,139.829,180.87,212.48,68.6185,55.1479,176.50900000000001
25,DEFB1,3.16262,1.1212799999999998,1.44756,0.0,4.61075,10.9841,0.8506879999999999,0.684066,0.460946,0.0,0.42481199999999997
26,DHCR24,38.1374,35.2547,4.19175,15.2315,12.9893,61.7799,41.4729,34.6919,27.6291,2.528,166.30900000000003
27,DUSP5,2.6614299999999997,2.6019,11.8552,4.38127,5.81537,4.47715,2.6576400000000002,2.93328,12.0934,2.4734,12.0404
28,FABP7,2.25652,711.5219999999999,0.571087,1.1090200000000001,0.359381,0.0,159.575,0.310352,1.58738,0.0,18.504
29,FASN,124.609,37.527,20.8026,5.82045,5.79216,57.4616,309.301,33.2144,68.9283,1.5318,149.665
30,FGFR4,2.32432,0.468103,1.18964,0.560783,0.486908,1.32382,7.30337,2.7362900000000003,0.41132799999999997,0.0,7.897930000000001
31,FGL2,2.48121,7.09258,13.6287,1.5139799999999999,9.94236,5.51389,6.500380000000001,4.93832,8.60775,12.8518,12.85
32,FOXA1,1.38574,5.58076,8.50756,0.36304200000000003,1.13544,1.90232,46.262,0.618512,36.4209,3.50368,67.0924
33,FOXC1,9.10755,15.7271,27.3498,62.2426,14.4227,39.9886,2.49251,40.556999999999995,10.9936,7.21536,3.63065
34,GABRP,8.66089,110.37299999999999,22.5738,138.871,284.178,23.6083,1.9642700000000002,181.197,12.1721,1.02746,16.394000000000002
35,GALNT7,12.4003,33.2821,12.5529,19.6479,19.2697,11.5386,92.9805,41.0609,25.96,18.9048,35.5447
36,GBP1,41.394,132.468,218.482,54.4518,455.04699999999997,71.5431,60.6462,169.347,243.862,121.363,150.278
37,GCHFR,0.42253100000000005,0.294779,0.572959,0.1355,0.49881499999999995,0.20549,1.17435,0.216991,0.737737,0.227852,0.266475
38,GPR87,0.9514879999999999,0.632517,0.173787,0.8265629999999999,0.799525,4.06842,0.16636800000000002,0.404947,0.46162299999999995,0.766842,0.895159
39,GZMB,1.4986,3.9503199999999996,4.79188,0.11918800000000002,7.92905,2.96307,2.31003,8.98988,5.20754,8.417860000000001,24.6299
40,HGD,4.21735,0.353446,0.634893,0.244245,1.7478900000000002,2.01073,26.6912,5.39687,3.72477,1.4508299999999998,65.5599
41,HTRA1,91.2943,40.5043,75.21,169.942,27.1148,121.51299999999999,212.05599999999998,20.6326,381.336,5.43078,92.7031
42,IDO1,0.29142399999999996,30.934,11.7061,0.879626,35.7412,8.63063,2.55753,7.928389999999999,3.1867799999999997,15.7534,32.8161
43,IGFBP4,13.3498,8.82504,18.3406,1.3705399999999999,0.5079020000000001,3.0842400000000003,19.16,0.6105,42.5683,0.0,4.31
44,IGHM,55.218999999999994,0.0,0.0,3.04095,497.514,119.376,103.525,61.1895,0.0,106.34,1198.52
45,IGJ,20.0186,113.14200000000001,848.005,21.932,970.4960000000001,101.14,50.9066,177.291,501.588,328.976,1876.16
46,IGKC,182.34599999999998,1150.07,5155.81,127.93,13844.9,1160.89,3990.24,1570.97,8367.3,992.9010000000001,9549.54
47,IL23A,0.049007300000000004,6.55169,0.749035,0.083901,0.353477,0.391571,0.649216,0.305157,0.17344400000000001,0.0,1.05001
48,IL33,0.8833290000000001,2.2137700000000002,10.104,1.17252,1.235,0.9289459999999999,1.8899599999999999,0.33563200000000004,5.03543,15.2296,5.4115400000000005
49,INPP4B,37.1722,6.02461,42.2099,13.2894,21.6641,17.8934,32.4049,11.2516,31.7449,58.8828,51.7312
50,ITM2A,5.13433,9.43338,46.61,6.31847,24.0371,4.171819999999999,13.1332,6.43805,51.0475,45.778,65.8933
51,JAM2,11.2143,5.72804,17.4894,10.5988,3.7899,6.59347,12.1372,1.8402,29.0208,8.813880000000001,10.3561
