,gene_short_name,V515-06187-A1,TNT-238,TNT-239,TNT-209,TNT-224,TNT-33,17-00252-2_S13Aligned_cufflinks,17-00124-3_S12Aligned_cufflinks,TNT-138,TNT-328,TNT-304
20,CXCL10,2.29941,53.2897,30.7011,44.9135,35.6,101.54799999999999,17.8862,7.528910000000001,27.7287,8.52238,191.918
21,CXCL11,0.642556,9.54068,4.0889999999999995,11.491,6.50349,19.4311,3.95835,1.4162299999999999,11.7097,0.0,27.7435
22,CXCL13,0.0413495,66.4045,181.287,48.6593,3.2785800000000003,85.5384,5.9954,0.0,47.9078,0.0,38.1041
23,CYP4F8,0.048019099999999995,0.0,0.0,0.0,0.064249,0.00161719,0.20556999999999997,0.0,0.0,0.0,0.0
24,DBI,412.371,37.3285,81.9375,62.2924,71.4454,238.327,141.197,21.4471,140.30200000000002,61.6366,151.89700000000002
25,DEFB1,3.16262,6.17349,5.28242,7.6855899999999995,75.0567,1.17739,0.207869,0.0,0.0,3.2168400000000004,3.25182
26,DHCR24,38.1374,14.4175,9.51047,12.4287,35.0216,3.82499,108.111,3.58161,10.8436,9.57038,9.19186
27,DUSP5,2.6614299999999997,7.092739999999999,2.56,13.6718,13.804,5.034,1.75253,6.5948199999999995,12.0054,3.33009,0.5457
28,FABP7,2.25652,0.459537,4.89626,0.38502800000000004,0.0,0.341104,7.675910000000001,0.0,3.49154,7.262560000000001,18.7847
29,FASN,124.609,2.5632599999999996,4.16085,2.64918,2.27257,8.31724,636.474,77.9135,84.7906,4.8363,2.77579
30,FGFR4,2.32432,2.2803,0.31004699999999996,0.229108,1.20116,1.9194,12.591,0.0,0.23881999999999998,0.0,0.0
31,FGL2,2.48121,17.1009,12.4948,18.6347,5.29089,16.6367,5.83078,9.62687,8.125810000000001,13.4369,4.1749
32,FOXA1,1.38574,1.53088,0.0622759,0.921874,35.7877,36.9889,154.41299999999998,0.181899,0.9089700000000001,3.16782,2.8839599999999996
33,FOXC1,9.10755,8.49762,21.1296,6.7351,9.267430000000001,21.2141,3.4336599999999997,1.6466900000000002,22.5072,11.1992,23.4572
34,GABRP,8.66089,481.995,204.747,463.37300000000005,0.360717,8.236239999999999,1.5920299999999998,269.497,866.449,13.0795,963.3739999999999
35,GALNT7,12.4003,14.2293,36.8265,15.0174,97.6033,18.1979,105.712,5.790690000000001,6.7878,0.875309,22.0505
36,GBP1,41.394,170.47299999999998,123.15799999999999,181.239,95.76700000000001,179.69400000000002,66.9108,90.1077,235.575,22.651999999999997,130.41299999999998
37,GCHFR,0.42253100000000005,0.44478500000000004,0.276966,0.152916,0.12175799999999999,0.130833,0.55625,0.0,0.11525099999999999,0.0,0.0
38,GPR87,0.9514879999999999,2.2105,2.76913,0.611755,5.18365,0.702407,0.048275,0.0,0.255178,0.0,11.4268
39,GZMB,1.4986,12.1068,17.8403,12.1013,3.7382199999999997,15.5177,2.1377900000000003,1.12176,1.4718200000000001,0.0,2.90341
40,HGD,4.21735,2.0074400000000003,0.9746299999999999,0.0,6.23131,0.0,138.276,7.50475,1.58196,9.049489999999999,0.424599
41,HTRA1,91.2943,6.35896,14.7131,4.805219999999999,140.532,42.0242,49.4055,49.397,69.6612,22.5486,30.6134
42,IDO1,0.29142399999999996,34.2077,11.0866,40.1029,23.0307,27.4319,3.06081,29.3957,5.92848,4.34852,6.730410000000001
43,IGFBP4,13.3498,0.341642,0.24547800000000003,0.523827,1.9677200000000001,3.58334,13.3171,45.4229,3.7754300000000005,1.2525899999999999,0.532935
44,IGHM,55.218999999999994,199.737,235.71400000000003,143.454,13.8008,640.558,0.0,152.941,2048.59,18.2147,58.2375
45,IGJ,20.0186,234.55900000000003,255.014,278.422,39.1471,692.748,328.423,159.86,667.293,28.6686,358.417
46,IGKC,182.34599999999998,1223.26,1565.35,1074.44,711.2360000000001,12164.7,6002.41,2589.9,12117.4,73.3224,2858.74
47,IL23A,0.049007300000000004,0.734684,0.342107,0.0,0.06553610000000001,0.0,0.314108,0.0,0.0,0.0,0.20618899999999998
