,gene_short_name,V515-06187-A1,TNT-2,TNT-325,17-00114-7_S13_cufflinks,17-00160-1_S2Aligned_cufflinks,17-00159-1_S1Aligned_cufflinks,TNT-6,17-00111-2_S4_cufflinks,TNT-139,TNT-1,TNT-204
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0553104,0.127498,0.0,0.0,0.0,0.0
69,OGN,1.27872,6.09545,31.1962,24.1344,1.35366,0.708249,16.9313,9.98837,11.8601,3.94282,18.2162
70,PI3,0.0,0.0,151.462,5.54214,1.89686,1.86329,0.0,2.48626,0.749434,1.17309,0.0
71,PLEKHB1,14.583,1.03345,0.0,5.00022,5.06277,3.64876,0.0,1.24233,1.25768,1.82197,0.0
72,PMAIP1,1.62393,0.335407,5.23496,0.19425,2.45811,2.72951,0.52918,0.589743,5.27086,1.54581,5.34089
73,PSMB9,0.0,30.6622,24.3438,17.1742,0.0,0.0,7.20066,0.0,8.61911,51.6017,13.0232
74,PTGDS,1.49063,33.7755,0.0,2.11065,1.84309,1.85197,0.382259,11.4409,3.64368,0.0,5.47321
75,RARRES3,10.7933,58.6398,51.3022,13.1396,6.71366,16.1216,11.9073,24.2394,18.0742,214.764,41.4027
76,RTP4,0.772275,2.85869,0.0,0.923387,3.21419,4.29513,0.166381,1.49429,6.42063,1.68055,2.81104
77,S100A1,196.638,0.0,0.0,184.77,13.8277,3.22839,0.182271,12.5874,45.0482,0.0,0.0
78,S100A7,6.57916,0.0,150.357,0.0,16.7462,21.2915,7.0736,38.5416,7.31966,1.695,3.49901
79,S100A8,3.49996,8.04674,72.5769,1.42492,7.46874,3.98419,0.659167,24.6541,2.84797,6.86933,8.7204
80,SCRG1,23.222,1.34104,0.0,0.996564,0.353705,0.152753,0.367952,0.130842,0.985764,1.23273,0.700362
81,SEMA3C,89.189,20.5534,17.0593,33.7191,5.61644,5.02335,22.884,32.9593,22.0941,26.6623,55.0883
82,SERHL2,5.02658,0.260188,0.0,18.7642,2.62127,1.77492,894.96,2.39409,2.80262,0.603352,56.482
83,SFRP1,35.3095,0.346055,4.72912,15.6747,9.88577,5.7912,3.34294,2.96769,15.2094,0.445617,1.93916
84,SIDT1,0.909009,29.3222,43.0664,7.32397,0.634227,3.49898,29.5009,5.32792,1.97089,14.2356,17.7867
85,SOX10,3.84721,0.0,0.0,4.06913,7.16494,6.33002,0.120566,1.2086,3.85785,0.283338,0.0
86,SPDEF,0.141878,4.22867,0.983012,1.04377,0.302264,0.23276,21.657,0.735854,0.692795,10.6382,5.67909
87,SPRR1B,0.0944781,0.0,0.512416,0.799141,0.52413,2.66537,1.3745,93.0754,0.0,5.85202,1.11173
88,SPTLC2,28.7351,51.4217,8.20777,36.838,49.6177,39.8789,95.8327,32.5144,99.0664,32.4383,38.3141
89,SRPX,12.4869,2.93003,0.476734,6.34974,1.60124,1.90092,3.8595,8.0017,7.10769,3.72821,1.88131
90,TCF7L1,11.751,2.31134,5.27969,8.07737,12.7575,7.08186,4.03833,5.32251,12.025,2.02222,2.498
91,TFAP2B,1.18026,1.66301,1.15901,0.327111,0.0538654,0.0,147.877,1.07807,1.54039,0.0,27.5623
92,THBS4,8.67223,9.77135,2.09302,4.39824,0.485063,1.58316,37.4631,2.12714,16.9838,0.761345,52.0386
93,TNFAIP8,5.97248,42.9762,45.8522,19.3631,9.44032,14.9388,11.5332,14.428,18.1646,12.598,55.4688
94,TNFSF10,24.8142,17.5029,57.3512,13.6293,32.8667,22.6113,40.0102,21.9902,42.7781,34.7003,27.04
95,TRIM68,7.67148,5.19011,0.415434,2.53739,0.76994,2.67506,13.4917,4.82695,0.0549879,6.65522,2.84899
96,TSC22D3,7.24202,39.5943,8.92594,16.6763,9.99221,6.06061,41.1453,105.067,0.42588,19.0169,16.318
97,UBD,0.0,68.3213,74.485,0.0,0.0,0.0,4.8e-35,0.0,10.9428,28.7398,35.4542
98,UGT2B28,0.0,1.13481,0.0,0.0,0.0,0.0552717,513.99,0.0354788,0.0,0.0,0.492406
99,XBP1,26.3139,142.807,38.2012,73.4973,57.7395,111.005,199.648,74.466,92.5017,50.1395,341.116
100,ZCCHC24,0.75321,1.45581,0.0,0.843194,0.345243,0.399621,2.6067,3.40631,2.05055,0.502634,1.14291
