,gene_short_name,V515-06187-A1,TNT-92,TNT-177,17-00270-5_S14Aligned_cufflinks,TNT-214,TNT-224,17-00165-0_S10Aligned_cufflinks,17-00112-1_S7_cufflinks,TNT-133,TNT-1,TNT-48
0,ABCA8,1.07397,32.1067,9.29659,2.10963,6.30619,11.0932,16.9844,0.0,75.7969,47.3435,251.734
1,ADRA2A,0.196819,0.187864,0.268389,0.785147,0.5343899999999999,0.5215270000000001,0.861454,0.40375500000000003,0.598187,0.120636,1.7314599999999998
2,AKAP12,3.7524300000000004,5.51587,2.95332,3.9364199999999996,6.27307,12.9614,6.211130000000001,1.65867,6.895230000000001,4.00906,12.1732
3,ALDH3B2,34.613,8.09628,8.06703,173.954,5.43093,4.94473,1.1644700000000001,5.14396,15.4526,8.46557,10.1174
4,APOD,101.54799999999999,227.12400000000002,139.493,1702.36,78.8272,72.6231,126.973,1.08372,152.924,6.4374,578.9540000000001
5,ART3,19.2103,1.03436,4.00471,0.0,92.4518,2.7877400000000003,44.8952,24.2354,16.1857,0.194101,31.8858
6,ASPN,31.1651,108.54700000000001,37.577,97.1702,5.46924,241.52200000000002,13.6802,10.7154,99.3177,38.4711,90.9032
7,AZGP1,64.9749,23.496,95.197,433.668,603.7869999999999,3.9754199999999997,200.774,4.528980000000001,81.6664,13.4994,83.2889
8,BLVRB,6.57613,2.3271,3.74146,17.5144,2.09444,3.5285300000000004,4.50545,5.08205,3.9630300000000003,23.8841,2.19929
9,C7,0.29143,5.15895,0.643378,0.913499,19.8767,1.91188,14.7516,0.24694699999999997,10.3059,0.277686,34.6236
10,CCL5,1.03708,5.3861,7.50898,0.0,9.4678,3.2060000000000004,12.1232,5.41056,11.4843,5.85725,21.9388
11,CD36,36.5005,13.668,57.821000000000005,5.78937,20.8269,20.0619,83.1513,4.14895,123.501,12.6625,251.09099999999998
