,gene_short_name,V515-06187-A1,17-00212-8_S3Aligned_cufflinks,17-00114-7_S13_cufflinks,TNT-141,TNT-58,17-00100-2_S17Aligned_cufflinks,TNT-224,TNT-41,TNT-277,17-00118-2_S5Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks
87,SPRR1B,0.09447810000000001,0.06539339999999999,0.799141,0.0,0.0,0.0649554,19.5733,0.0,0.0,0.0,0.669671
88,SPTLC2,28.7351,69.0722,36.838,39.1107,4.23276,34.5352,52.7982,40.6695,43.5769,10.1009,36.9972
89,SRPX,12.4869,3.76485,6.34974,2.33744,0.102861,2.21329,5.92513,9.47686,6.43555,7.353160000000001,7.7255
90,TCF7L1,11.751,2.6816,8.07737,5.11118,22.6994,7.3748,3.49831,44.3834,1.6715,15.4859,12.2126
91,TFAP2B,1.18026,28.0595,0.327111,5.01163,2.55401,1.80719,18.2922,0.41227600000000003,8.63893,10.5496,1.31903
92,THBS4,8.67223,10.1305,4.39824,63.14,1.68743,3.8008699999999997,43.7954,16.1641,20.1354,0.844511,9.05913
93,TNFAIP8,5.97248,23.0422,19.3631,12.9335,8.26238,11.0254,26.8295,13.7256,99.2981,12.507,19.7065
94,TNFSF10,24.8142,48.7501,13.6293,72.8703,9.4525,45.96,27.5024,115.984,34.8402,13.4055,15.2118
95,TRIM68,7.67148,7.4270000000000005,2.5373900000000003,0.048427,0.251423,5.43264,1.52447,4.9053,0.298528,0.51408,4.55783
96,TSC22D3,7.24202,18.1725,16.6763,3.74531,0.0487917,6.84425,21.898000000000003,15.5388,9.40428,41.9399,47.9444
97,UBD,0.0,0.0,0.0,3.378,0.0,0.0,1.80785,9.98192,30.8867,0.0,12.4914
98,UGT2B28,0.0,2.89132,0.0,0.0,0.0,0.0,1.0239200000000002,0.0847062,1.2680200000000001,0.0,0.0330028
99,XBP1,26.3139,136.75,73.4973,222.104,29.2347,66.946,54.6752,23.1296,32.9098,82.6609,87.5133
100,ZCCHC24,0.75321,1.17116,0.843194,0.0,0.00572394,1.10658,0.847806,0.70298,0.173812,1.23345,1.67888
