,gene_short_name,V515-06187-A1,TNT-14,TNT-259,TNT-227,17-00101-5_S19Aligned_cufflinks,TNT-293,TNT-269,17-00119-5_S5_cufflinks,TNT-54,TNT-62,TNT-13
24,DBI,412.371,145.792,102.259,147.596,144.903,89.8314,128.767,67.8746,101.01,120.785,154.939
25,DEFB1,3.16262,2.80244,1.4857,1.68765,7.16452,1.13114,1.89863,1.44756,0.0,0.0,1.60599
26,DHCR24,38.1374,86.3851,27.5106,3.44353,68.2719,25.4588,26.682,4.19175,8.20185,18.6129,0.731201
27,DUSP5,2.66143,6.16071,0.760338,3.49885,1.50819,14.419,9.34232,11.8552,6.61308,3.29349,0.0467183
28,FABP7,2.25652,1.2532,9.44809,0.19135,8.46856,0.0,1.82876,0.571087,5.13367,49.2833,23.0699
29,FASN,124.609,69.7638,1.18795,0.597191,52.0136,27.7993,3.15494,20.8026,14.5167,9.07795,2.66772
30,FGFR4,2.32432,0.547024,0.335385,0.0,1.10201,7.47289,0.270629,1.18964,0.111696,1.12382,0.198193
31,FGL2,2.48121,3.21642,6.70472,9.16764,1.70668,5.11273,7.52936,13.6287,14.4419,6.69295,2.36283
32,FOXA1,1.38574,0.205656,0.319283,0.882457,0.169467,141.468,1.54293,8.50756,14.8548,5.66134,0.0
33,FOXC1,9.10755,32.1182,3.57756,35.2188,116.096,1.44127,19.7763,27.3498,10.7698,32.0002,35.8813
34,GABRP,8.66089,841.158,740.411,136.776,400.965,0.892506,834.386,22.5738,10.0879,410.733,383.947
35,GALNT7,12.4003,7.97859,9.15928,19.0978,22.6302,27.0483,18.4089,12.5529,29.2673,12.125,7.36137
36,GBP1,41.394,144.463,218.737,154.722,38.8152,105.467,201.665,218.482,112.329,540.702,115.376
37,GCHFR,0.422531,0.0,0.0,0.396591,0.259813,0.0,0.0,0.572959,0.0,0.0847417,0.0
38,GPR87,0.951488,0.958196,7.69994,1.74954,0.842406,0.345952,1.85309,0.173787,0.134264,1.63898,8.19588
39,GZMB,1.4986,2.58473,32.7245,47.2509,2.00797,1.97432,3.47409,4.79188,22.9207,6.41301,4.32756
40,HGD,4.21735,0.59584,5.68914,0.211731,0.573859,9.78665,2.32145,0.634893,9.23906,3.7083,0.0
41,HTRA1,91.2943,16.6235,40.9797,23.2036,101.754,17.1681,76.2697,75.21,64.1031,37.4484,16.2643
42,IDO1,0.291424,5.88304,56.6019,9.18626,1.78266,5.33777,7.54905,11.7061,22.9377,33.6168,3.55293
43,IGFBP4,13.3498,2.86242,0.438883,0.125222,10.0909,0.428086,0.457959,18.3406,2.86017,0.729982,2.78036
44,IGHM,55.219,144.626,136.843,108.37,0.0,78.512,44.5514,0.0,126.71,1047.04,57.5582
45,IGJ,20.0186,39.4167,120.395,237.062,23.2122,192.232,195.931,848.005,802.568,377.016,192.972
46,IGKC,182.346,9184.18,1516.83,1861.88,420.755,728.295,5166.69,5155.81,3790.35,9856.55,298.136
47,IL23A,0.0490073,0.0,0.0,0.0,0.0,0.373443,0.0,0.749035,0.360752,0.264702,0.0
48,IL33,0.883329,0.458886,0.602038,3.88299,0.0,0.348064,1.73481,10.104,13.8928,0.178782,1.92829
49,INPP4B,37.1722,12.2175,13.6166,29.7754,3.88367,10.0589,9.69757,42.2099,70.1898,13.0048,6.21043
50,ITM2A,5.13433,4.72404,18.4724,28.7881,0.930089,7.60788,9.52181,46.61,48.3458,10.9137,44.1535
51,JAM2,11.2143,2.37097,2.31682,12.2004,5.13911,1.93265,9.30236,17.4894,25.4863,5.82519,18.4318
52,KCNK5,7.32046,1.8995,0.449249,0.215012,1.67155,0.533724,0.729846,0.260677,0.293658,1.83848,0.0
53,KIAA1324,6.46799,0.938493,1.34983,1.40756,13.6502,37.4749,15.4293,29.6361,125.743,10.6981,24.4954
54,KMO,1.44589,10.7046,8.82002,10.0663,3.17228,11.3961,4.17707,9.29535,17.2072,4.93658,5.24219
55,KRT14,118.371,2.10125,0.595829,5.50909,1682.5,0.118683,280.186,8.22153,10.1796,234.524,123.369
56,KRT16,91.0343,24.2042,32.6636,21.6531,944.346,0.450311,65.8219,0.399931,0.225316,51.2569,32.6146
57,KRT17,105.347,48.217,23.5076,39.2046,1387.34,0.10699,423.059,2.72871,15.9813,248.891,44.3352
58,KRT6A,54.2242,10.656,132.032,6.26618,2603.4,1.64438,191.293,5.65316,3.20964,39.3992,112.715
59,KRT6B,86.6584,4.38034,152.121,2.79773,326.775,0.044044,93.8724,0.318894,3.38428,14.9447,13.9964
60,KYNU,14.7879,2.87511,28.7073,10.9807,45.4193,31.2463,13.5045,6.0292,14.6996,6.55581,22.9316
61,LBP,0.573258,9.36242,0.126927,0.895875,1.76553,4.93654,0.966479,0.0936314,0.0361976,0.185482,0.0
62,LHFP,2.0952,0.444006,0.675045,0.436254,0.613725,0.488182,0.730913,4.24425,1.97618,0.220629,0.0
63,MFAP4,1.60954,0.611251,1.72318,3.62078,0.874124,0.652204,0.951592,21.8434,15.402,1.26828,8.21735
64,MIA,21.0747,13.5693,8.68449,8.0551,4.06612,0.51859,5.15897,0.515727,10.6721,35.4567,1.61864
65,MID1,36.2366,27.3804,14.7907,9.67663,21.615,21.0676,20.813,12.5283,9.3377,39.6211,4.53203
66,MYBL1,4.60362,161.042,15.8264,54.3826,13.8818,23.7944,21.5336,5.70975,17.2978,33.6012,97.8265
67,NEK2,17.1321,22.8411,7.06742,31.5505,19.2704,25.7407,19.2192,7.4495,3.0213,25.2029,13.8283
68,NTN3,0.0235576,0.184201,0.0,0.0,0.0595422,0.0,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,6.07508,15.1809,10.118,15.2553,19.9502,10.316,3.56763,47.7903,9.35918,13.7195
70,PI3,0.0,0.327406,84.1807,0.0,46.1418,0.630875,1.10054,0.0,0.144572,0.852695,0.0
71,PLEKHB1,14.583,5.895,4.05949,0.0,0.0651375,0.13943,1.49254,4.26713,3.18058,2.45002,0.0
72,PMAIP1,1.62393,3.0045,3.94632,12.6682,10.0438,0.839744,4.10292,0.990152,3.87836,4.94654,0.0
73,PSMB9,0.0,20.2724,29.5826,6.20802,0.0,8.91372,11.1926,0.0,21.6541,15.7677,2.88786
74,PTGDS,1.49063,2.6254,4.47236,6.41824,1.18425,0.314559,1.94719,46.0158,13.7563,0.579019,0.0
75,RARRES3,10.7933,10.9955,27.7703,15.6305,2.42794,43.7136,17.6594,40.8124,34.8722,17.812,28.1044
76,RTP4,0.772275,9.08781,6.60475,2.60194,0.174918,2.4733,2.94246,2.40448,0.464337,3.40133,7.55152
77,S100A1,196.638,69.4896,2.36985,11.0714,20.9965,0.361616,8.73881,3.46,3.76498,20.1712,2.6609
78,S100A7,6.57916,2.50007,0.0,0.0,271.001,6.68707,2.95783,0.0,0.0,0.453435,3.57573
79,S100A8,3.49996,8.07722,14.6467,3.22332,100.677,2.92903,3.39661,1.28559,0.878715,0.860568,0.0
80,SCRG1,23.222,4.0537,12.0923,25.4006,0.0193065,1.0085,1.87914,0.0,1.55734,15.5805,12.1846
81,SEMA3C,89.189,7.38516,46.0447,5.34039,73.134,25.0484,25.4501,4.72481,21.6573,18.5492,51.7291
82,SERHL2,5.02658,11.0643,0.0,1.21357,2.86803,71.7846,3.41625,7.02274,1.83304,0.84822,0.361312
83,SFRP1,35.3095,12.4205,0.399455,8.69625,1.14134,0.0869003,3.45491,1.51569,14.4536,50.8834,26.1441
84,SIDT1,0.909009,4.10468,18.1512,14.5798,0.697295,19.8668,4.39133,21.6157,21.7554,2.8378,0.557344
85,SOX10,3.84721,3.30603,0.0,0.0633104,0.0,0.0,0.850839,0.786433,1.61582,2.12555,0.79293
86,SPDEF,0.141878,1.77865,0.0,0.0,0.0,5.743,0.0780796,4.46731,0.788334,0.125309,0.365963
87,SPRR1B,0.0944781,0.0,0.0,0.0,3.26633,0.0,0.486325,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,50.5338,51.5029,101.033,40.5093,165.094,49.8859,46.6552,78.933,30.4717,11.7933
89,SRPX,12.4869,1.23219,6.79803,0.702949,3.51572,1.01191,4.5408,4.45723,12.1905,3.95488,5.93244
90,TCF7L1,11.751,51.7263,2.74681,7.03705,13.5439,2.28561,7.46634,8.2904,5.8485,18.6337,14.4279
91,TFAP2B,1.18026,2.54938,0.0328593,0.488196,0.625831,93.3454,0.547532,2.94134,13.5869,1.32869,4.86966
92,THBS4,8.67223,0.667736,13.4075,1.73265,7.68199,5.02284,32.1965,0.898207,94.121,2.546,13.4366
93,TNFAIP8,5.97248,12.4301,33.4226,67.6812,6.64522,9.34912,20.2453,45.9788,40.9456,17.2372,6.38458
