,gene_short_name,V515-06187-A1,TNT-239,TNT-299,TNT-117,17-00159-1_S1Aligned_cufflinks,TNT-271,TNT-281,TNT-310,TNT-224,17-00163-6_S7Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks
47,IL23A,0.049007300000000004,0.342107,0.44470299999999996,0.872439,0.0,0.0,0.147824,0.378659,0.06553610000000001,0.054583400000000004,0.0
48,IL33,0.8833290000000001,21.9688,0.618799,1.801,0.859708,3.25231,1.07443,1.29778,0.255235,0.150471,0.0
49,INPP4B,37.1722,27.6685,7.82662,14.0739,11.3144,7.737239999999999,3.00811,16.2271,29.1727,6.14113,40.7486
50,ITM2A,5.13433,41.0562,10.8233,27.0888,8.41499,8.80392,68.0098,6.27794,7.06133,2.36489,17.7311
51,JAM2,11.2143,8.91494,7.395589999999999,2.2762,2.70201,5.62351,5.9953,5.41631,12.0033,1.9744700000000002,0.0
52,KCNK5,7.320460000000001,0.285043,0.9591649999999999,1.1937200000000001,3.4465,0.537532,1.91526,1.14972,0.0814902,3.80893,0.0
53,KIAA1324,6.46799,25.3584,17.3401,14.9899,0.7918149999999999,41.736000000000004,4.29164,3.7069300000000003,42.5417,29.0089,30.4415
54,KMO,1.44589,24.7087,11.9762,7.107480000000001,4.766380000000001,9.41635,24.4904,8.79561,6.46681,3.8963099999999997,0.0
55,KRT14,118.37100000000001,2.00679,25.6825,25.0607,10.2547,2.72891,276.062,12.8933,2.2672,12.3077,34.0491
56,KRT16,91.0343,17.9436,56.8354,72.4501,27.660999999999998,46.2,349.52099999999996,383.517,74.8609,331.452,0.0
57,KRT17,105.34700000000001,34.4338,26.0235,278.51099999999997,192.048,14.5706,219.024,521.369,93.2654,128.648,0.0
