,gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-325,TNT-245,TNT-67,17-00110-9_S15Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-214,17-00258-5_S5Aligned_cufflinks,TNT-152
17,COL5A2,202.313,45.6436,26.139,39.9525,12.1055,330.43,36.052,236.741,19.3943,47.3189,322.448
18,CRAT,3.09639,3.73345,0.737631,9.22186,6.39344,8.76498,7.77622,10.8298,0.567394,7.21592,31.2169
19,CROT,17.2031,34.0231,21.1361,7.78834,14.0462,12.809,4.61565,13.6305,12.2198,10.1169,26.5717
20,CXCL10,2.29941,12.7818,14.1618,85.8427,69.0365,8.31688,4.36531,3.53507,45.9677,16.6569,11.4495
21,CXCL11,0.642556,1.42336,0.0,3.55874,12.5715,1.34316,0.758763,1.68925,17.161,7.99702,0.0
22,CXCL13,0.0413495,12.3406,0.0,47.4504,43.5915,2.82177,0.665638,1.16042,24.9894,2.88489,15.7339
23,CYP4F8,0.0480191,0.0,0.0,0.0,10.0754,0.0558274,0.0,0.0,0.0,0.0,15.6348
24,DBI,412.371,19.3784,94.0731,21.2225,37.6406,146.652,126.947,24.5286,624.36,166.079,565.778
25,DEFB1,3.16262,1.33079,0.0,50.9421,10.5864,0.583211,0.0,0.0,0.0,1.93523,0.0
26,DHCR24,38.1374,65.7614,9.27006,62.9418,29.3965,58.5741,56.8192,10.2971,7.07305,27.1696,94.5633
27,DUSP5,2.66143,3.47578,2.0363,4.8256,5.52204,10.2672,1.6976,7.98056,0.619154,2.8326,2.44871
28,FABP7,2.25652,0.0,4.2431,0.0,0.0,0.504147,0.0770102,0.132922,2.13492,2.60242,235.759
29,FASN,124.609,97.7484,36.2518,10.8743,1.73233,33.9861,174.738,33.3583,1.35786,68.8053,218.648
30,FGFR4,2.32432,3.56694,0.755862,6.60236,0.0,2.07236,3.48613,6.27721,0.290372,0.316761,15.2911
31,FGL2,2.48121,3.09946,0.0598873,7.19821,11.3854,8.22928,1.53472,1.65977,7.35359,6.23406,11.0158
32,FOXA1,1.38574,23.318,5.49379,23.6446,18.2225,41.2711,94.6264,2.09953,5.57404,5.23722,26.0362
33,FOXC1,9.10755,52.0178,26.7646,13.7862,10.5082,9.42451,158.749,8.20116,48.272,38.8687,0.79214
34,GABRP,8.66089,191.482,223.362,271.083,591.755,101.907,4.80822,25.1786,124.557,475.426,18.8446
35,GALNT7,12.4003,29.3886,27.8541,22.686,38.4835,43.7686,60.2869,11.0325,8.64044,23.3908,26.0401
36,GBP1,41.394,82.2882,162.607,194.968,138.955,116.33,51.5421,291.445,174.836,98.347,80.4756
37,GCHFR,0.422531,1.22014,0.857477,0.0,0.0,0.176906,0.753334,0.0,0.096755,0.326596,1.02698
38,GPR87,0.951488,3.38113,3.83835,42.6912,2.33446,0.16933,0.0,0.160558,1.90972,0.0741723,0.0
39,GZMB,1.4986,2.81597,0.0,14.0912,8.37932,1.42534,2.38321,1.21038,3.38941,9.66196,0.0
40,HGD,4.21735,6.37271,27.7859,0.0,0.0,22.0706,3.19875,10.301,0.0,9.84492,92.871
41,HTRA1,91.2943,27.5882,2.7259,11.641,10.2875,211.365,9.9117,146.353,15.8426,30.3202,142.922
