,gene_short_name,V515-06187-A1,TNT-289,TNT-83,TNT-82,TNT-225,TNT-56,TNT-282,17-00157-0_S11Aligned_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-79,TNT-121
91,TFAP2B,1.18026,0.445715,91.2466,0.378274,0.551706,34.3267,0.0384123,0.435733,0.330716,0.0,0.0
92,THBS4,8.67223,25.1457,8.67857,5.24717,57.9839,23.8532,1.69832,12.4065,2.8859,2.09436,30.4901
93,TNFAIP8,5.97248,15.142,26.934,12.5866,17.7713,38.1764,18.8429,8.94067,7.56284,18.9576,7.65783
94,TNFSF10,24.8142,14.0271,50.7573,9.16731,15.0652,102.78,273.724,11.2988,23.8705,25.2807,34.2835
95,TRIM68,7.67148,7.17307,3.34384,0.680226,2.18322,0.825205,2.04787,3.88962,2.62711,3.06815,0.305368
96,TSC22D3,7.24202,22.6667,77.8816,16.1831,21.8741,28.3239,8.62,47.9913,4.91444,10.0686,15.8148
97,UBD,0.0,0.301306,1.80774,1.03575,3.05274,13.7983,48.1235,0.0,0.0,13.958,0.669742
98,UGT2B28,0.0,1.26947,0.0177382,0.0,1.0251,4.22517,0.915341,0.0,0.0,0.0703226,13.3265
99,XBP1,26.3139,37.5827,206.047,13.4489,46.1754,65.331,71.5768,32.6882,47.1995,53.1686,33.0322
100,ZCCHC24,0.75321,1.77067,4.52648,0.289876,0.562095,0.152013,0.791422,1.49208,0.869927,0.00902465,0.183032
