,gene_short_name,V515-06187-A1,17-00166-3_S11Aligned_cufflinks,TNT-322,TNT-20,17-00165-0_S10Aligned_cufflinks,TNT-318,17-00105-7_S10_cufflinks,TNT-293,17-00159-1_S1Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,TNT-157
81,SEMA3C,89.189,13.7459,24.3407,90.543,24.187,33.6265,36.7929,25.0484,5.02335,73.134,20.029
82,SERHL2,5.02658,17.3606,6.08545,53.8477,11.0512,1.62353,2.4453,71.7846,1.77492,2.86803,2.29392
83,SFRP1,35.3095,9.12729,26.554,0.547809,14.3896,62.9304,3.78211,0.0869003,5.7912,1.14134,5.69443
84,SIDT1,0.909009,2.2453,1.77926,38.2892,4.71277,6.21714,2.94982,19.8668,3.49898,0.697295,5.13203
85,SOX10,3.84721,7.36076,2.17461,0.257498,6.15337,2.23541,1.75675,0.0,6.33002,0.0,0.515416
86,SPDEF,0.141878,0.251675,0.516921,4.70318,2.14608,0.0,0.0,5.743,0.23276,0.0,0.352868
87,SPRR1B,0.0944781,0.0,0.0,5.43696,0.669671,0.0,0.0,0.0,2.66537,3.26633,0.0
88,SPTLC2,28.7351,34.4548,35.8602,83.8432,36.9972,41.8028,15.1177,165.094,39.8789,40.5093,23.1361
89,SRPX,12.4869,1.95249,3.19103,10.2693,7.7255,4.89765,10.6326,1.01191,1.90092,3.51572,3.4083
90,TCF7L1,11.751,15.9373,12.017,1.95526,12.2126,28.1337,13.3002,2.28561,7.08186,13.5439,19.2652
91,TFAP2B,1.18026,0.330716,5.67484,0.908734,1.31903,0.236125,1.07282,93.3454,0.0,0.625831,0.0
92,THBS4,8.67223,2.8859,39.4894,98.0214,9.05913,6.8529,4.27227,5.02284,1.58316,7.68199,10.2009
93,TNFAIP8,5.97248,7.56284,14.2634,22.5543,19.7065,23.671,6.5877,9.34912,14.9388,6.64522,37.2349
94,TNFSF10,24.8142,23.8705,11.1771,44.2258,15.2118,15.4007,8.1043,83.9819,22.6113,31.6048,37.5497
95,TRIM68,7.67148,2.62711,2.0345,5.24492,4.55783,2.08187,2.83981,2.45632,2.67506,2.50059,0.674364
96,TSC22D3,7.24202,4.91444,21.122,28.9779,47.9444,10.0065,25.9435,10.5057,6.06061,4.73979,9.78657
97,UBD,0.0,0.0,1.2589,0.769052,12.4914,50.1398,0.0,3.78e-11,0.0,0.0,30.8208
98,UGT2B28,0.0,0.0,0.696688,13.4235,0.0330028,0.0408627,0.0,0.0814354,0.0552717,0.0,0.532721
99,XBP1,26.3139,47.1995,39.6349,40.8036,87.5133,29.8963,24.8762,139.92,111.005,16.4091,51.8027
100,ZCCHC24,0.75321,0.869927,0.51401,1.27769,1.67888,0.360548,3.84146,0.298602,0.399621,0.896906,1.25974
