,gene_short_name,V515-06187-A1,TNT-278,TNT-204,TNT-18,TNT-48,TNT-54,TNT-326,TNT-209,17-00121-8_S12_cufflinks,TNT-288,17-00160-1_S2Aligned_cufflinks
67,NEK2,17.1321,6.9343,3.68013,7.85741,4.81712,3.0213,30.0864,8.19896,0.954536,23.2893,26.3562
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115061,0.0,0.0
69,OGN,1.27872,21.2801,18.2162,42.3317,106.768,47.7903,9.13511,16.9272,59.6459,146.24,1.35366
70,PI3,0.0,0.0,0.0,0.105544,0.0,0.144572,26.7844,36.0043,4.09301,0.942434,1.89686
71,PLEKHB1,14.583,0.284093,0.0,3.08625,1.01819,3.18058,0.0,0.937892,1.97379,0.805091,5.06277
72,PMAIP1,1.62393,0.808025,5.34089,2.0914,1.46208,3.87836,0.752031,3.86427,0.931723,3.00845,2.45811
73,PSMB9,0.0,4.4101,13.0232,12.9038,6.53207,21.6541,4.83253,39.4181,0.0,13.613,0.0
74,PTGDS,1.49063,1.81872,5.47321,1.80836,7.09918,13.7563,0.0,10.7944,21.2047,1.4365,1.84309
75,RARRES3,10.7933,13.9324,41.4027,22.4368,3.7106,34.8722,5.39538,21.1557,41.5227,17.6638,6.71366
76,RTP4,0.772275,0.0868604,2.81104,0.788525,0.348383,0.464337,1.81004,4.54023,0.450242,2.6593,3.21419
77,S100A1,196.638,0.915583,0.0,2.43927,6.33437,3.76498,3.63567,2.19622,7.33411,22.6423,13.8277
78,S100A7,6.57916,2.87785,3.49901,0.0,5.70436,0.0,0.0,1.53294,0.154637,0.0,16.7462
79,S100A8,3.49996,3.13544,8.7204,2.46168,2.22548,0.878715,2.63903,71.2434,4.58775,1.07561,7.46874
80,SCRG1,23.222,4.08243,0.700362,3.5533,8.00871,1.55734,1.87698,0.817431,0.0372818,6.28012,0.353705
81,SEMA3C,89.189,21.9546,55.0883,31.6493,60.8777,21.6573,27.273,13.7044,122.44,24.9641,5.61644
82,SERHL2,5.02658,23.6951,56.482,0.0,0.107499,1.83304,0.0,1.66477,22.6899,5.57275,2.62127
83,SFRP1,35.3095,0.244185,1.93916,3.7535,16.8272,14.4536,10.1147,1.9717,22.2943,35.9048,9.88577
84,SIDT1,0.909009,19.3007,17.7867,4.20869,8.99332,21.7554,3.11273,28.4101,9.90997,0.292844,0.634227
85,SOX10,3.84721,0.0,0.0,0.339244,1.82181,1.61582,0.241657,0.281703,5.7557,2.0321,7.16494
86,SPDEF,0.141878,1.68026,5.67909,0.0,1.17641,0.788334,0.0,0.0449808,3.26226,0.191122,0.302264
87,SPRR1B,0.0944781,0.0,1.11173,0.192372,0.0,0.0,0.0,0.0,0.109718,0.0,0.52413
88,SPTLC2,28.7351,47.7442,38.3141,16.2373,38.3509,78.933,19.0873,66.6195,47.5721,37.3837,49.6177
89,SRPX,12.4869,1.06881,1.88131,2.91963,18.5705,12.1905,2.17439,1.62465,14.9014,13.0041,1.60124
90,TCF7L1,11.751,0.853785,2.498,13.6733,22.2101,5.8485,27.8505,5.12794,18.4465,13.6998,12.7575
91,TFAP2B,1.18026,82.1722,27.5623,0.0264427,7.76836,13.5869,9.64635,0.315354,5.71247,1.27913,0.0538654
92,THBS4,8.67223,6.88127,52.0386,24.2912,53.9149,94.121,1.19803,11.9925,2.38517,28.9139,0.485063
93,TNFAIP8,5.97248,31.3622,55.4688,30.5044,20.3114,40.9456,29.3606,134.107,9.13379,21.5253,9.44032
94,TNFSF10,24.8142,57.7496,27.04,65.3121,23.6433,35.323,37.3773,74.1737,39.5965,12.1125,32.8667
95,TRIM68,7.67148,0.478931,2.84899,3.00034,1.04887,1.61214,0.822314,0.417851,3.06494,6.38965,0.76994
96,TSC22D3,7.24202,20.532,16.318,3.91348,6.22922,38.0792,1.96725,6.98571,52.072,20.7125,9.99221
97,UBD,0.0,6.17614,35.4542,30.6124,1.02953,33.4749,2.44506,70.7467,0.0,5.42e-51,0.0
98,UGT2B28,0.0,23.4067,0.492406,3.15284,0.0,0.0,0.0,0.0,2.56628,0.678299,0.0
99,XBP1,26.3139,130.299,341.116,30.2895,27.9336,99.5383,99.6604,30.3003,159.843,39.1318,57.7395
100,ZCCHC24,0.75321,0.0790894,1.14291,0.120759,1.27114,0.589845,0.015883,0.354545,1.65591,1.3042,0.345243
