,gene_short_name,V515-06187-A1,TNT-132,17-00124-3_S12Aligned_cufflinks,TNT-44,TNT-73,TNT-53,TNT-296,17-00112-1_S7_cufflinks,TNT-231,TNT-92,TNT-6
27,DUSP5,2.66143,10.068,6.59482,6.42948,2.62585,4.52794,7.56295,2.17358,12.2249,7.78564,20.7856
28,FABP7,2.25652,0.260094,0.0,1.81101,0.245451,0.566084,41.4076,1.26749,0.166318,15.3098,461.687
29,FASN,124.609,209.081,77.9135,6.20384,2.2914,10.4043,8.63939,61.5871,11.447,3.44193,619.272
30,FGFR4,2.32432,12.2067,0.0,0.634329,0.103253,0.230451,0.749579,0.935502,0.0,0.543839,23.8482
31,FGL2,2.48121,8.49231,9.62687,7.86297,5.20114,5.87532,3.56203,3.14896,11.6829,13.8813,2.74346
32,FOXA1,1.38574,88.9966,0.181899,4.48069,0.840333,0.2382,30.7378,0.139388,107.32,4.61343,193.552
33,FOXC1,9.10755,2.14003,1.64669,20.1979,39.4518,34.1132,15.1327,90.645,5.24262,15.6674,3.31141
34,GABRP,8.66089,21.6841,269.497,162.789,788.549,837.778,85.2671,22.9519,40.2214,1884.93,0.739897
35,GALNT7,12.4003,29.4882,5.79069,8.8823,32.0451,12.0992,17.9387,7.13278,45.0253,28.7253,166.072
36,GBP1,41.394,119.359,90.1077,181.968,162.272,169.811,50.2438,60.3429,82.1542,144.004,72.8056
37,GCHFR,0.422531,0.271182,0.0,0.0,0.0,0.0,0.0,0.129631,0.0,0.154028,0.554533
38,GPR87,0.951488,7.79938,0.0,3.86145,5.26291,0.657897,3.55664,0.195888,0.0,1.65936,0.480814
39,GZMB,1.4986,31.8713,1.12176,1.57691,3.86003,5.61985,8.28493,6.01382,4.58215,12.6172,0.835723
40,HGD,4.21735,10.573,7.50475,2.59817,0.0,0.533701,6.16313,5.72912,6.21582,2.84976,22.4211
41,HTRA1,91.2943,81.7669,49.397,135.477,18.7356,18.0935,15.8886,21.3345,30.4542,40.4089,151.88
42,IDO1,0.291424,25.0906,29.3957,11.717,9.27438,14.6102,32.1341,1.5041,86.3031,3.55287,3.83281
43,IGFBP4,13.3498,7.65827,45.4229,6.03804,1.43517,2.04998,0.627519,6.50565,2.07548,2.38984,6.3947
44,IGHM,55.219,172.449,152.941,50.9729,92.9612,45.6794,34.2648,0.0,483.259,68.2459,37.4842
45,IGJ,20.0186,370.1,159.86,252.016,384.288,140.383,37.8897,250.085,690.221,224.462,13.2475
46,IGKC,182.346,1759.1,2589.9,928.331,2785.71,503.449,1035.63,11629.5,7960.46,1125.71,532.116
47,IL23A,0.0490073,0.0,0.0,0.0,0.40242,0.253118,4.28803,0.0,0.0,0.239774,0.130425
48,IL33,0.883329,7.50391,20.4372,10.2893,4.19605,0.556894,1.301,0.0231033,10.9333,3.0914,1.10622
49,INPP4B,37.1722,53.3265,31.2191,35.38,9.91178,7.19501,4.70777,7.44908,81.5535,22.7429,45.7751
50,ITM2A,5.13433,144.044,37.63,43.8775,7.0714,12.1728,7.45732,5.68974,66.1656,23.8877,25.4941
51,JAM2,11.2143,10.4549,11.1531,28.1835,7.17962,4.91331,5.70155,1.48826,1.47935,7.05302,8.80717
52,KCNK5,7.32046,0.0,1.67404,1.29317,0.0679313,0.602485,0.295017,5.90846,0.587631,0.133175,0.0
53,KIAA1324,6.46799,26.2765,11.4137,12.3385,3.70884,10.5274,6.12043,45.812,8.24147,6.34263,151.768
54,KMO,1.44589,42.1064,8.75989,3.68019,8.27372,14.9961,10.6676,5.09386,10.9062,2.7613,82.0963
