,gene_short_name,V515-06187-A1,17-00118-2_S5Aligned_cufflinks,TNT-283,TNT-277,17-00166-3_S11Aligned_cufflinks,TNT-219,TNT-326,TNT-85,TNT-154,TNT-211,TNT-293
14,CHI3L1,52.4824,12.7697,1.1316899999999999,0.246048,6.08895,0.043036000000000005,1.96055,13.6008,10.7803,1.69353,7.55722
15,COL2A1,124.822,0.0,1.11024,0.0,0.927259,4.67146,5.7244,98.027,0.08732410000000002,0.726554,0.109884
16,COL5A1,145.37,52.95,30.5437,39.8868,124.721,47.8762,27.0058,45.6382,42.7856,11.6013,32.5814
17,COL5A2,202.313,24.6562,90.4159,67.0038,174.918,49.8738,23.1253,129.77,47.9239,8.718119999999999,33.3523
18,CRAT,3.09639,10.0312,1.0920100000000001,1.53874,5.89456,3.7134699999999996,0.143253,2.57163,2.39557,2.71205,2.8111599999999997
19,CROT,17.2031,11.6213,7.69125,9.29257,7.40678,18.417,2.16177,12.7296,14.3596,55.7176,6.16501
20,CXCL10,2.29941,3.6803,57.2712,23.6985,28.1471,25.0919,56.2198,11.7658,33.6507,26.1821,140.839
21,CXCL11,0.642556,0.0,9.65099,4.14639,12.1489,4.67742,13.0665,2.7381599999999997,4.87385,0.0,34.2832
22,CXCL13,0.0413495,0.0,30.5927,117.78399999999999,3.38269,13.2194,85.4836,4.71574,0.332221,8.82121,11.5668
23,CYP4F8,0.048019099999999995,0.0,0.368212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.73899999999999
24,DBI,412.371,19.5872,168.356,61.8252,46.0439,76.507,65.8549,133.489,147.326,90.8411,89.8314
25,DEFB1,3.16262,0.0,0.8576389999999999,0.0,0.498385,0.0,0.0,0.38140999999999997,0.0,0.0,1.13114
26,DHCR24,38.1374,14.4419,46.4939,0.32005300000000003,26.1331,68.512,11.0616,4.28671,11.695,0.45603599999999994,25.4588
27,DUSP5,2.6614299999999997,11.1119,2.6326099999999997,9.356530000000001,2.81645,6.56814,1.6522400000000002,2.37387,2.10403,2.08853,14.419
28,FABP7,2.25652,0.428058,0.521183,0.0,0.40384200000000003,0.0,13.8638,6.33376,0.357028,0.0475985,0.0
29,FASN,124.609,23.8917,22.4823,0.5104609999999999,45.6413,53.3196,7.60798,4.8539699999999995,52.6081,7.09244,27.7993
30,FGFR4,2.32432,1.08178,0.42262,0.138728,1.8959099999999998,0.0,0.0,0.210286,0.327716,0.0,7.47289
31,FGL2,2.48121,3.5442400000000003,4.1031699999999995,13.9472,5.5827599999999995,6.8079600000000005,5.61145,2.7094,4.60628,29.2128,5.11273
32,FOXA1,1.38574,90.0389,135.889,16.9152,3.05573,91.4593,9.37556,0.0,0.0,0.0259267,141.468
33,FOXC1,9.10755,15.4442,3.01998,0.385336,70.048,0.735023,19.3417,79.8081,26.0512,42.6333,1.44127
34,GABRP,8.66089,123.86,1.8258599999999998,0.15685,457.05400000000003,0.0,493.65,1053.74,827.9060000000001,174.106,0.8925059999999999
35,GALNT7,12.4003,17.0883,80.39,9.3507,38.6016,42.2046,18.1204,38.9402,27.9426,26.8887,27.0483
36,GBP1,41.394,50.1795,95.4322,127.90299999999999,191.847,95.0405,518.4630000000001,94.8531,106.42200000000001,61.8333,105.46700000000001
37,GCHFR,0.42253100000000005,0.0,0.0,0.0,0.525515,0.0,0.0,0.0,0.0,0.0,0.0
38,GPR87,0.9514879999999999,1.69062,1.1195700000000002,0.5834239999999999,8.13279,0.96726,0.820931,0.274371,7.91863,0.0,0.345952
39,GZMB,1.4986,0.0,0.77617,6.83507,0.8774620000000001,4.365419999999999,4.26578,0.156752,16.5766,2.34563,1.97432
40,HGD,4.21735,0.460552,6.59139,0.278291,2.14065,5.92545,0.946356,0.344177,0.0,0.0,9.78665
41,HTRA1,91.2943,47.1622,30.5015,92.2482,76.5058,58.4941,7.8475600000000005,26.8807,15.4234,5.43417,17.1681
42,IDO1,0.29142399999999996,0.0,3.09202,33.9794,10.7333,11.2391,17.2985,1.2597200000000002,0.0,38.5196,5.33777
43,IGFBP4,13.3498,70.1925,0.49661000000000005,0.29838400000000004,9.77887,2.90062,1.0725,1.20676,0.0520306,0.972145,0.42808599999999997
44,IGHM,55.218999999999994,86.3239,5.19747,60.5221,189.21,168.525,250.338,15.7823,104.77600000000001,64.7857,78.512
45,IGJ,20.0186,279.78700000000003,27.8626,585.126,121.97,240.695,141.02100000000002,28.9327,46.9569,182.497,192.232
46,IGKC,182.34599999999998,1148.8,801.068,2331.36,2977.05,8029.29,5790.14,544.65,1253.87,664.077,728.295
47,IL23A,0.049007300000000004,0.0,0.0,0.0,0.123057,0.0,0.0,0.0,0.0,0.0,0.37344299999999997
