,gene_short_name,V515-06187-A1,TNT-8,17-00121-8_S12_cufflinks,TNT-141,TNT-288,17-00258-5_S5Aligned_cufflinks,TNT-239,TNT-321,TNT-293,TNT-3,TNT-132
30,FGFR4,2.32432,2.50856,0.871586,0.0,3.64999,0.316761,0.310047,1.14407,7.47289,0.748303,12.2067
31,FGL2,2.48121,6.19449,12.79,5.29114,2.4655,6.23406,12.4948,7.86768,5.11273,7.67522,8.49231
32,FOXA1,1.38574,0.161866,58.3932,208.476,0.323396,5.23722,0.0622759,1.41443,141.468,0.458748,88.9966
33,FOXC1,9.10755,26.6282,19.229,0.0,73.7762,38.8687,21.1296,1.81013,1.44127,14.4609,2.14003
34,GABRP,8.66089,672.327,89.7943,29.198,16.815,475.426,204.747,36.8389,0.892506,0.106364,21.6841
35,GALNT7,12.4003,18.8899,23.2172,26.2825,5.88805,23.3908,36.8265,20.0622,27.0483,30.9222,29.4882
36,GBP1,41.394,109.555,148.097,80.0908,217.057,98.347,123.158,96.45,105.467,25.9257,119.359
37,GCHFR,0.422531,0.0,0.19197,0.0,0.0,0.326596,0.276966,0.0,0.0,0.0,0.271182
38,GPR87,0.951488,0.0,1.04821,1.54697,0.800444,0.0741723,2.76913,0.0,0.345952,0.823973,7.79938
39,GZMB,1.4986,4.6982,0.501315,0.816927,0.375847,9.66196,17.8403,1.34449,1.97432,0.08602,31.8713
40,HGD,4.21735,0.0,6.06733,28.3891,1.92722,9.84492,0.97463,0.0,9.78665,2.09291,10.573
41,HTRA1,91.2943,19.4989,107.586,57.1879,82.3084,30.3202,14.7131,8.17597,17.1681,135.755,81.7669
42,IDO1,0.291424,56.6511,1.6029,0.0,2.89899,8.022,11.0866,10.8723,5.33777,0.955533,25.0906
43,IGFBP4,13.3498,3.16559,40.6251,2.98923,5.49812,18.7336,0.245478,0.201905,0.428086,1.3785,7.65827
44,IGHM,55.219,109.855,0.0,32.3916,1.60124,0.0,235.714,12.2838,78.512,2.26941,172.449
45,IGJ,20.0186,60.6776,1857.11,151.693,4.11939,229.526,255.014,73.5181,192.232,3.71254,370.1
46,IGKC,182.346,695.666,5230.68,368.829,30.4239,3962.3,1565.35,261.971,728.295,14.9245,1759.1
47,IL23A,0.0490073,0.0,0.0,0.0,0.195698,0.362634,0.342107,0.0,0.373443,0.0,0.0
48,IL33,0.883329,0.914559,15.1477,2.97647,0.20175,4.04765,21.9688,0.654726,0.348064,0.206585,7.50391
49,INPP4B,37.1722,4.79361,42.4202,49.4555,2.2043,20.8078,27.6685,6.40754,10.0589,8.7244,53.3265
50,ITM2A,5.13433,2.28009,109.881,0.0,7.76191,20.5502,41.0562,8.80774,7.60788,17.8944,144.044
51,JAM2,11.2143,7.85367,43.4717,2.19326,13.6999,6.89795,8.91494,21.0118,1.93265,12.8064,10.4549
52,KCNK5,7.32046,1.41812,0.897058,0.0817072,1.51053,2.79978,0.285043,0.207024,0.533724,0.0475578,0.0
53,KIAA1324,6.46799,21.9507,51.9074,24.0352,33.3498,8.89978,25.3584,3.41216,37.4749,0.28655,26.2765
54,KMO,1.44589,14.9334,0.307289,13.9778,2.1727,4.74365,24.7087,5.43145,11.3961,4.33364,42.1064
55,KRT14,118.371,1.82674,616.609,19.0054,43.4194,49.9799,2.00679,0.558435,0.118683,0.794509,18.8049
56,KRT16,91.0343,38.1514,44.915,0.0,19.4252,123.37,17.9436,0.667732,0.450311,0.602876,2.54488
