,gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,TNT-182,TNT-139,17-00103-7_S3Aligned_cufflinks,TNT-209,TNT-57,TNT-111,TNT-283,TNT-123,17-00159-1_S1Aligned_cufflinks
87,SPRR1B,0.09447810000000001,10.5353,0.0,0.0,0.38435199999999997,0.0,0.42824700000000004,0.0,0.0,0.0,2.6653700000000002
88,SPTLC2,28.7351,11.985,74.3666,99.0664,36.1338,66.6195,51.2638,153.029,46.537,63.7563,39.8789
89,SRPX,12.4869,4.18922,5.445119999999999,7.10769,6.0477,1.62465,7.25335,9.55792,2.36183,4.66545,1.9009200000000002
90,TCF7L1,11.751,29.4036,17.4982,12.025,4.27525,5.12794,51.5262,3.0540700000000003,0.731486,13.0712,7.081860000000001
91,TFAP2B,1.18026,0.117817,0.296831,1.54039,0.374233,0.315354,0.631304,60.1361,0.851188,1.444,0.0
92,THBS4,8.67223,7.5362800000000005,34.1712,16.9838,5.72026,11.9925,6.38016,24.2651,4.76762,4.32413,1.5831600000000001
93,TNFAIP8,5.97248,13.5491,28.5502,18.1646,16.8954,134.107,12.7164,12.6779,12.5094,17.3322,14.9388
94,TNFSF10,24.8142,12.4991,18.4707,42.7781,77.0824,74.1737,14.0494,20.7587,30.3826,15.7489,22.6113
95,TRIM68,7.67148,2.71829,1.91287,0.0549879,1.7915,0.41785100000000003,3.50355,7.69963,5.22976,0.07824919999999999,2.6750599999999998
96,TSC22D3,7.24202,1.8407099999999998,7.29858,0.42588000000000004,28.9859,6.985710000000001,9.533710000000001,47.5759,61.7873,16.5792,6.06061
97,UBD,0.0,0.0,124.22399999999999,10.9428,0.0,70.7467,1.25475,1.09897,6.55876,10.4594,0.0
98,UGT2B28,0.0,0.0,0.034224300000000006,0.0,0.0,0.0,0.803126,259.096,2.7391900000000002,0.0924854,0.0552717
99,XBP1,26.3139,41.883,78.4326,92.5017,71.1081,30.3003,62.5597,180.636,377.60400000000004,60.9993,111.005
100,ZCCHC24,0.75321,0.204038,0.8638319999999999,2.05055,1.05722,0.354545,0.80106,2.02662,0.290128,1.21593,0.399621
