,gene_short_name,V515-06187-A1,17-00123-8_S16Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-271,17-00116-9_S2Aligned_cufflinks,TNT-219,TNT-209,TNT-81,TNT-282,17-00252-2_S13Aligned_cufflinks,TNT-201
77,S100A1,196.638,2.6816,0.0,3.97199,2.97989,0.760753,2.19622,7.54413,1.77668,19.0594,58.3911
78,S100A7,6.57916,0.0,800.868,0.183064,13.0315,0.0,1.53294,2.04606,318.707,90.7809,0.0
79,S100A8,3.49996,1.82827,356.125,1.17487,7.83451,1.15485,71.2434,3.01338,366.359,24.2471,0.64226
80,SCRG1,23.222,0.0491506,0.0,12.0128,0.146746,0.253287,0.817431,48.1519,1.61784,0.0471849,26.926
81,SEMA3C,89.189,60.4379,84.3966,5.74939,151.089,41.6009,13.7044,6.0655,59.1956,158.167,7.6334
82,SERHL2,5.02658,4.08928,0.0,7.25241,31.3695,2.98422,1.66477,2.5315,2.15706,399.146,4.88326
83,SFRP1,35.3095,2.2113,4.28439,14.8229,16.9775,0.601146,1.9717,12.993,4.15131,0.424498,44.181
84,SIDT1,0.909009,5.97505,1.81069,10.5153,5.80579,15.2371,28.4101,4.27793,5.48231,21.9994,2.67896
85,SOX10,3.84721,0.258799,0.0,0.85607,4.77844,0.0738485,0.281703,3.87501,0.0744644,0.0753492,4.45913
86,SPDEF,0.141878,0.409478,0.790368,1.04728,1.30039,4.07118,0.0449808,0.0297448,0.115434,26.3392,1.48852
87,SPRR1B,0.0944781,0.0,408.354,0.0,20.3387,0.0,0.0,0.0,7.65229,0.0,1.12615
88,SPTLC2,28.7351,30.4775,11.6443,37.9832,34.1525,44.4583,66.6195,32.8837,178.102,45.0153,55.1168
89,SRPX,12.4869,5.96584,6.32479,2.86267,25.4276,3.4648,1.62465,2.22247,0.979694,2.65072,4.59853
90,TCF7L1,11.751,20.1422,8.40343,16.9241,17.4147,2.14677,5.12794,9.41361,1.45767,5.74571,18.7519
