,gene_short_name,V515-06187-A1,TNT-100,TNT-278,TNT-299,17-00111-2_S4_cufflinks,TNT-85,TNT-267,TNT-26,TNT-272,TNT-177,TNT-310
23,CYP4F8,0.048019099999999995,0.0,3.90855,2.01316,0.0,0.0,0.0418865,0.0,0.0274281,2.7660400000000003,0.0
24,DBI,412.371,96.7272,90.4076,210.795,129.475,133.489,8.62491,99.8671,138.503,138.371,156.67
25,DEFB1,3.16262,3.17559,0.0,1.58477,2.63568,0.38140999999999997,0.341007,0.0,15.2837,0.0,1.00589
26,DHCR24,38.1374,11.8349,7.5602,7.01083,18.9708,4.28671,0.146062,15.2315,24.5306,18.1352,31.9861
27,DUSP5,2.6614299999999997,5.35534,1.86001,4.161490000000001,4.24291,2.37387,0.359641,4.38127,3.1821200000000003,9.42159,13.7116
28,FABP7,2.25652,0.5850310000000001,0.47545699999999996,8.852910000000001,0.111069,6.33376,8.49745,1.1090200000000001,7.265910000000001,9.038260000000001,1.2193399999999999
29,FASN,124.609,11.798,1.5303,2.40165,49.9008,4.8539699999999995,3.4030699999999996,5.82045,8.138639999999999,22.3397,3.16328
30,FGFR4,2.32432,0.757059,0.381338,2.10462,0.265341,0.210286,1.03641,0.560783,0.174625,4.81442,0.08141480000000001
31,FGL2,2.48121,11.0687,6.265630000000001,4.40214,9.96545,2.7094,8.86134,1.5139799999999999,3.3796800000000005,3.7914,4.93389
32,FOXA1,1.38574,1.26925,70.669,1.74342,5.35827,0.0,4.93459,0.36304200000000003,1.46699,7.3197,1.50615
33,FOXC1,9.10755,41.8014,0.656008,41.9665,15.3442,79.8081,4.4918,62.2426,33.4799,108.721,11.1416
34,GABRP,8.66089,358.421,17.6287,3.8757300000000003,0.995849,1053.74,3.02588,138.871,664.5930000000001,602.953,187.597
35,GALNT7,12.4003,29.8137,177.51,14.0614,22.0053,38.9402,17.9817,19.6479,16.4421,5.39991,19.2626
36,GBP1,41.394,388.829,53.7536,101.95700000000001,191.718,94.8531,16.5986,54.4518,155.75799999999998,153.465,338.00300000000004
37,GCHFR,0.42253100000000005,0.31399699999999997,0.0,0.0,1.08635,0.0,0.0,0.1355,0.377754,0.0,0.17893900000000001
38,GPR87,0.9514879999999999,1.30861,0.0,3.18233,0.635927,0.274371,0.0,0.8265629999999999,2.1381900000000003,8.35425,3.6051699999999998
39,GZMB,1.4986,8.787889999999999,8.82977,1.1810200000000002,11.3656,0.156752,0.709413,0.11918800000000002,2.63024,1.7166,30.9291
40,HGD,4.21735,0.6387010000000001,2.51632,5.35348,2.98406,0.344177,0.0,0.244245,0.707048,0.0,1.62972
41,HTRA1,91.2943,46.1997,26.2691,29.4327,194.174,26.8807,3.74508,169.942,34.512,78.6975,34.0357
42,IDO1,0.29142399999999996,26.7969,3.05783,5.30639,9.7812,1.2597200000000002,4.0778099999999995,0.879626,4.83116,10.2732,38.4846
43,IGFBP4,13.3498,1.63244,0.34994000000000003,0.510139,48.2344,1.20676,0.0,1.3705399999999999,1.16592,9.74421,0.379314
44,IGHM,55.218999999999994,2633.01,94.4486,3.53685,511.35900000000004,15.7823,61.7722,3.04095,17.8612,14.0452,16.8415
45,IGJ,20.0186,1101.02,361.046,33.8066,628.3290000000001,28.9327,78.6381,21.932,87.5275,44.6267,50.8293
46,IGKC,182.34599999999998,13908.6,1159.8,90.5595,11731.0,544.65,338.281,127.93,1785.49,102.77600000000001,198.732
47,IL23A,0.049007300000000004,0.11145799999999999,0.0,0.44470299999999996,0.273034,0.0,0.0,0.083901,0.22579000000000002,0.0,0.378659
48,IL33,0.8833290000000001,4.16297,1.50942,0.618799,2.74182,2.95705,0.0,1.17252,3.8106,0.0,1.29778
49,INPP4B,37.1722,16.4583,31.4489,7.82662,24.0991,12.045,16.9244,13.2894,7.693789999999999,1.63841,16.2271
50,ITM2A,5.13433,43.1574,18.3801,10.8233,19.0709,13.6575,13.6795,6.31847,2.5224900000000003,0.0,6.27794
51,JAM2,11.2143,8.00646,14.3004,7.395589999999999,11.2274,16.8022,11.8907,10.5988,2.1981,0.0,5.41631
52,KCNK5,7.320460000000001,0.647269,0.0171516,0.9591649999999999,0.610668,1.42137,0.587326,8.64592,1.87473,9.51881,1.14972
53,KIAA1324,6.46799,22.5117,46.4182,17.3401,14.3826,26.8834,7.65217,31.4718,5.59984,52.1132,3.7069300000000003
54,KMO,1.44589,4.03722,103.88600000000001,11.9762,6.17594,2.61179,13.9442,0.646642,6.06652,1.26288,8.79561
